>>swe<< Go.	Gå.
>>swe<< The game may have been put off till next week.	Matchen kan ha skjutits upp till nästa vecka.
>>swe<< The girl kindly told me the way to the museum.	Flickan var snäll och berättade vägen till museet.
>>swe<< The island is six times the size of Manhattan.	Ön är sex gånger Manhattans storlek.
>>swe<< The judge sentenced him to one year in prison.	Domaren dömde honom till ett års fängelse.
>>swe<< The situation is a lot worse than we imagined.	Situationen är mycket värre än vi föreställt oss.
>>swe<< The situation is a lot worse than we imagined.	Situationen är mycket värre än vi hade föreställt oss.
>>swe<< The situation is a lot worse than we imagined.	Situationen är mycket värre än vad vi föreställt oss.
>>swe<< The storm had a serious effect on the economy.	Stormen fick allvarliga följder för ekonomin.
>>swe<< The teacher wrote something on the blackboard.	Läraren skrev någonting på svarta tavlan.
>>swe<< The truth is that I can't speak French at all.	Sanningen är att jag inte kan tala franska alls.
>>swe<< There could be no doubt as to who the man was.	Det kunde inte finnas något tvivel om vem mannen var.
>>swe<< There is no telling what may happen next year.	Det går inte att förutsäga vad som kommer hända nästa år.
>>swe<< There were few students left in the classroom.	Det var få elever kvar i klassrummet.
>>swe<< These factories are polluting the environment.	Dessa fabriker förorenar miljön.
>>swe<< These three beautiful girls are all my nieces.	De här tre vackra flickorna är allihopa mina systerdöttrar.
>>swe<< This happens more than was previously thought.	Detta sker oftare än man tidigare trott.
>>swe<< Tom added some interesting spices to the stew.	Tom tillsatte några intressanta kryddor i stuvningen.
>>swe<< Tom and Mary ate the whole cake by themselves.	Tom och Mary åt upp hela tårtan själva.
>>swe<< Tom and Mary ate the whole cake by themselves.	Tom och Mary åt upp hela kakan själva.
>>swe<< Tom bought a Christmas tree for Mary's family.	Tom köpte en julgran till Marias familj.
>>swe<< Tom devoted his whole life to studying sharks.	Tom ägnade hela sitt liv åt att studera hajar.
>>swe<< Tom didn't realize that he had made a mistake.	Tom förstod inte att han gjorde ett misstag.
>>swe<< Tom doesn't like it when his juice isn't cold.	Tom gillar inte när hans juice inte är kall.
>>swe<< Tom finished doing his homework before dinner.	Tom gjorde klart läxan innan kvällsmaten.
>>swe<< Tom found a hundred dollar bill on the street.	Tom hittade en hundradollarssedel på gatan.
>>swe<< Tom has two sons. Both of them live in Boston.	Tom har två söner. Bägge bor i Boston.
>>swe<< Tom hung out in a bar with Mary all afternoon.	Tom hängde med Mary i en bar hela eftermiddagen.
>>swe<< Tom looked deeply into Mary's eyes and smiled.	Tom tittade Mary djupt i ögonen och log.
>>swe<< Tom needed to be replaced, so we replaced him.	Tom behövde ersättas, så vi ersatte honom.
>>swe<< Tom probably knows a lot more than he told us.	Tom vet troligen mycket mer än han berättade för oss.
>>swe<< Tom pulled out his knife and peeled the apple.	Tom tog fram sin kniv och skalade äpplet.
>>swe<< Tom said that the coffee was too hot to drink.	Tom sade att kaffet var för varmt för att dricka.
>>swe<< Tom seemed to be carrying some kind of weapon.	Tom verkade ha någon slags vapen på sig.
>>swe<< Tom told Mary that John would be at the party.	Tom sade till Mary att John skulle vara på festen.
>>swe<< Tom took a handkerchief out and blew his nose.	Tom tog fram en näsduk och snöt sig.
>>swe<< Tom tries to write a new blog entry every day.	Tom försöker skriva ett nytt blogginlägg varje dag.
>>swe<< Tom warned Mary not to eat anything John made.	Tom varnade Mary att inte äta något som John har lagat.
>>swe<< Unfortunately, Tom let the cat out of the bag.	Olyckligtvis släppte Tom ut katten ur säcken.
>>swe<< Unfortunately, Tom let the cat out of the bag.	Olyckligtvis pratade Tom bredvid mun.
>>swe<< Unfortunately, Tom let the cat out of the bag.	Olyckligtvis försade sig Tom.
>>swe<< Unfortunately, Tom let the cat out of the bag.	Olyckligtvis avslöjade Tom hemligheten.
>>swe<< We are familiar with the legend of Robin Hood.	Vi känner till legenden om Robin Hood.
>>swe<< We may have to be in Boston for a week or two.	Vi kanske måste vara i Boston en vecka eller två.
>>swe<< We need to make sure Tom knows how to do that.	Vi måste vara säkra på att Tom vet hur man gör det.
>>swe<< What time does the next train leave for Tokyo?	Hur dags går nästa tåg till Tokyo?
>>swe<< Which one do you prefer, this one or that one?	Vilken föredrar du? Den här eller den där?
>>swe<< While you drive, you should focus on the road.	Medan du kör, borde du ha fokus på vägen.
>>swe<< Will both of these suitcases fit in the trunk?	Ryms båda de här resväskorna i bagageutrymmet?
>>swe<< Will you look after our pets while we're away?	Kan du ta hand om våra husdjur medan vi är borta?
>>swe<< Will you look after our pets while we're away?	Kan ni ta hand om våra husdjur medan vi är borta?
>>swe<< You have to do it, whether you like it or not.	Du måste göra det, oavsett om du vill eller inte.
>>swe<< You look tired, so you should go to bed early.	Du ser trött ut, så du borde gå och lägga dig tidigt.
>>swe<< You look tired, so you should go to bed early.	Ni ser trötta ut, så ni borde gå och lägga er tidigt.
>>swe<< You were here just the other day, weren't you?	Du var här nyligen, eller hur?
>>swe<< You won't be able to talk Tom into doing that.	Du kommer inte kunna övertala Tom att göra det där.
>>swe<< You're the most beautiful girl I've ever seen.	Du är den vackraste flickan jag någonsin sett.
>>swe<< You're the most beautiful girl I've ever seen.	Du är den vackraste flicka jag någonsin sett.
>>swe<< You're the only person I know who can help me.	Du är den enda person jag känner som kan hjälpa mig.
>>swe<< "Do you want to leave a message?" "No, thanks."	”Vill du lämna ett meddelande?” ”Nej, tack.”
>>swe<< A good teacher must be patient with his pupils.	En bra lärare måste vara tålmodig med sina elever.
>>swe<< A man who knows two languages is worth two men.	En man som kan två språk är värd två män.
>>swe<< A quarrel arose about what to do with the land.	Ett gräl uppstod om vad som man skulle göra med marken.
>>swe<< An angle of 90 degrees is called a right angle.	En 90-gradig vinkel kallas en rät vinkel.
>>swe<< Are you in contact with the people who made it?	Har du kontakt med de som gjorde den?
>>swe<< Besides French, he can obviously speak English.	Förutom franska talar han förstås också engelska.
>>swe<< Boston has grown rapidly in the last ten years.	Boston har vuxit i snabb takt de senaste tio åren.
>>swe<< Boston has grown rapidly in the last ten years.	Boston har vuxit snabbt de senaste tio åren.
>>swe<< Excuse me, could you lower your voice a little?	Ursäkta mig, kan du sänka rösten lite?
>>swe<< Generally speaking, women live longer than men.	Generellt sett lever kvinnor längre än män.
>>swe<< Go wake Tom up and tell him breakfast is ready.	Väck Tom och säg att frukosten är färdig.
>>swe<< Go wake Tom up and tell him breakfast is ready.	Gå och väck Tom och säg att frukosten är färdig.
>>swe<< He came to New York in order to look for a job.	Han kom till New York för att söka jobb.
>>swe<< He decided to give up smoking once and for all.	Han bestämde sig för att en gång för alla sluta röka.
>>swe<< He did not know what to do with the extra food.	Han visste inte vad han skulle göra med den ytterligare maten.
>>swe<< He gave a detailed description of the accident.	Han beskrev olyckan i detalj.
>>swe<< He makes mistakes every time he speaks English.	Han gör misstag varje gång han pratar engelska.
>>swe<< He shaves with an electric razor every morning.	Han rakar sig med en elektrisk rakapparat varje morgon.
>>swe<< He won the first prize at the chess tournament.	Han vann första pris på schackturneringen.
>>swe<< How environmentally friendly are electric cars?	Hur miljövänliga är elbilar?
>>swe<< How many engineers took part in the conference?	Hur många ingenjörer deltog i konferensen?
>>swe<< I am not used to drinking coffee without sugar.	Jag är inte van att dricka kaffe utan socker.
>>swe<< I am not used to drinking coffee without sugar.	Jag är inte van vid att dricka kaffe utan socker.
>>swe<< I didn't get even one Christmas card last year.	Jag fick inte ett enda julkort förra julen.
>>swe<< I didn't know how I should answer his question.	Jag visste inte hur jag skulle svara på hans fråga.
>>swe<< I didn't quite catch the name of that designer.	Jag uppfattade inte riktigt namnet på den där designern.
>>swe<< I hate women who say that all men are the same.	Jag avskyr kvinnor som säger att alla män är likadana.
>>swe<< I have to go shopping. I'll be back in an hour.	Jag måste gå och handla. Jag är tillbaka om en timme.
>>swe<< I know that Tom isn't allergic to strawberries.	Jag vet att Tom inte är allergisk mot jordgubbar.
>>swe<< I like swimming, but I don't like to swim here.	Jag tycker om att simma, men inte här.
>>swe<< I saw a very interesting documentary yesterday.	Jag såg en väldigt intressant dokumentär igår.
>>swe<< I suggest we take it a little slower this time.	Jag föreslår att vi tar det lite långsammare den här gången.
>>swe<< I think Tom isn't a driving instructor anymore.	Jag tror inte att Tom är bilskollärare längre.
>>swe<< I think we picked the wrong person for the job.	Jag tror att vi valde fel person för jobbet.
>>swe<< I thought you were used to living in a trailer.	Jag trodde du var van vid att bo i husvagn.
>>swe<< I want you to tell me everything that happened.	Jag vill att du berättar allt som hände.
>>swe<< I want you to tell me everything that happened.	Jag vill att du berättar allting som hände.
>>swe<< I was hoping that you'd answer a few questions.	Jag hoppades att du skulle besvara några frågor.
>>swe<< I'll be spending Christmas by myself this year.	Jag ska fira jul för mig själv i år.
>>swe<< I'll phone you as soon as I get to the airport.	Jag ringer dig så fort jag kommer till flygplatsen.
>>swe<< I'm absolutely sure that Tom doesn't know Mary.	Jag är helt säker på att Tom inte känner Mary.
>>swe<< I'm really tired. Today, I walked way too much.	Jag är riktigt trött. Idag gick jag alldeles för mycket.
>>swe<< If you're going to kill me, I want to know why.	Om du tänker döda mig så vill jag veta varför.
>>swe<< Is it just me or does he look a bit like Obama?	Är det bara jag, eller liknar han Obama lite?
>>swe<< Is there something in particular that you want?	Är det något särskilt som du vill?
>>swe<< It took me two hours to memorize this sentence.	Det tog mig två timmar att memorera den här meningen.
>>swe<< It took me two hours to memorize this sentence.	Det tog mig två timmar att memorera denna mening.
>>swe<< It was not until yesterday that I got the news.	Det var inte förrän igår jag fick nyheterna.
>>swe<< It was not until yesterday that I got the news.	Det var inte förrän i går som jag nåddes av nyheten.
>>swe<< It was not until yesterday that I got the news.	Det var inte förrän i går som jag nåddes av nyheterna.
>>swe<< It wouldn't hurt you to sit still for a second.	Det skulle inte göra dig ont att sitta stilla en stund.
>>swe<< It's good that you don't have to study so hard.	Det är bra att du inte behöver studera så hårt.
>>swe<< John and Mary have known each other since 1976.	John och Mary har känt varandra sedan 1976.
>>swe<< My brother helps me with my homework sometimes.	Min bror hjälper mig med läxorna ibland.
>>swe<< My house is ten minutes' walk from the station.	Mitt hus ligger tio minuters gångväg från stationen.
>>swe<< Nuclear weapons are a threat to the human race.	Atomvapen är ett hot mot mänskligheten.
>>swe<< Our university has excellent sports facilities.	Vårt universitet har utmärkta idrottsanläggningar.
>>swe<< She can speak not only English but also French.	Hon kan inte bara tala engelska, utan också franska.
>>swe<< She could not keep her daughter from going out.	Hon kunde inte hindra sin dotter från att gå ut.
>>swe<< She paints every day no matter how busy she is.	Hon målar varje dag, oavsett hur mycket hon har att göra.
>>swe<< She suggested that the customer buy a blue tie.	Hon föreslog att kunden skulle köpa en blå slips.
>>swe<< She's curious to find out who sent the flowers.	Hon är nyfiken på att få reda på vem det var som skickade blommorna.
>>swe<< Someone must have taken my umbrella by mistake.	Någon måste ha tagit mitt paraply av misstag.
>>swe<< The basketball team doesn't practice on Monday.	Basketlaget tränar inte på måndagar.
>>swe<< The children ate chocolate pudding for dessert.	Barnen åt chokladpudding till efterrätt.
>>swe<< The coffee was so hot that I couldn't drink it.	Kaffet var så varmt så jag inte kunde dricka det.
>>swe<< The hostages will be released before Christmas.	Gisslan släpps fri före jul.
>>swe<< The patient's injuries aren't life-threatening.	Patientens skador är inte livshotande.
>>swe<< The recent advances in medicine are remarkable.	De senaste medicinska framgångarna är anmärkningsvärda.
>>swe<< The traffic is stopped because of the accident.	Det är stopp i trafiken på grund av olyckan.
>>swe<< There are no food stores in the immediate area.	Det finns inga matbutiker i närheten.
>>swe<< There aren't that many synagogues in this city.	Det finns inte så många synagogor i den här stan.
>>swe<< There is no regular boat service to the island.	Det finns ingen reguljär båttrafik till ön.
>>swe<< They sell various kinds of goods at that store.	De säljer diverse varor på den affären.
>>swe<< They sell various kinds of goods at that store.	De säljer diverse varor i den affären.
>>swe<< This is a limited edition signed by the author.	Detta är en begränsad upplaga signerad av författaren.
>>swe<< Tom accidentally broke his favorite coffee mug.	Tom råkade ta sönder sin favoritkopp.
>>swe<< Tom and I didn't recognize each other at first.	Tom och jag kände först inte igen varandra.
>>swe<< Tom and Mary looked at each other with concern.	Tom och Mary tittade bekymrat på varandra.
>>swe<< Tom didn't learn to swim until he was thirteen.	Tom lärde sig inte att simma förrän han var 13.
>>swe<< Tom doesn't doubt Mary's ability to do the job.	Tom tvivlar inte på Marys förmåga att utföra jobbet.
>>swe<< Tom gave Mary some money to buy some chocolate.	Tom gav Mary pengar för att köpa choklad.
>>swe<< Tom goes for a walk every morning with his dog.	Tom går på en promenad varje morgon med sin hund.
>>swe<< Tom is probably not going to stay here tonight.	Tom kommer antagligen inte stanna här i natt.
>>swe<< Tom made me promise not to say anything to you.	Tom fick mig att lova att inte säga någonting till dig.
>>swe<< Tom said that he thought Mary knew how to weld.	Tom sa att han trodde att Mary kunde svetsa.
>>swe<< Tom said that he's not in any hurry to do that.	Tom sa att han inte har bråttom med att göra det.
>>swe<< Tom wanted me to play chess with him, so I did.	Tom ville att jag skulle spela schack med honom, så det gjorde jag.
>>swe<< Tom was brought into the clinic on a stretcher.	Tom fördes in på kliniken på en bår.
>>swe<< Tom was surprised that Mary was on John's side.	Tom blev överraskad av att Mary var på Johns sida.
>>swe<< Two-thirds of the students came to the meeting.	Två tredjedelar av eleverna kom till mötet.
>>swe<< We don't have time to conduct a detailed study.	Vi har inte tid att genomföra en detaljerad studie.
>>swe<< We have to make sure that doesn't happen again.	Vi måste försäkra oss om att det inte händer igen.
>>swe<< We haven't yet decided where we'll go tomorrow.	Vi har inte bestämt ännu vart vi ska åka imorgon.
>>swe<< We sold our three-bedroom house on Park Street.	Vi sålde vårt trerumshus på Park Street (Parkgatan).
>>swe<< We use chopsticks in place of knives and forks.	Vi använder ätpinnar istället för kniv och gaffel.
>>swe<< When it comes to tennis, she is second to none.	När det gäller tennis är hon överlägsen.
>>swe<< Why don't you apply for the job of interpreter?	Varför inte ansöka om jobbet som tolk?
>>swe<< Women feel that men are often very complicated.	Kvinnor känner att män ofta är väldigt komplicerade.
>>swe<< You need good equipment to climb that mountain.	Du behöver en bra utrustning för att klättra upp för det där berget.
>>swe<< You should've rejected such an unfair proposal.	Du borde ha avvisat ett sådant orättvist förslag.
>>swe<< You've still got all your life in front of you.	Du har fortfarande hela livet framför dig.
>>swe<< "Why did you do that?" "Because I felt like it."	"Varför gjorde du det där?" "Därför att jag fick lust."
>>swe<< A thief broke into the house while we were away.	En tjuv bröt sig in i huset när vi var borta.
>>swe<< An old man was resting in the shade of the tree.	En gammal man vilade sig i skuggan av trädet.
>>swe<< As you can see, I can't take care of everything.	Som du märker så kan jag inte ta hand om allt.
>>swe<< By the way, how many of you are keeping a diary?	Förresten, hur många av er för dagbok?
>>swe<< Could you please tell me your height and weight?	Kan du snälla säga hur lång du är och din vikt?
>>swe<< Did Tom know that he was doing it the wrong way?	Visste Tom att han gjorde det på fel sätt?
>>swe<< Don't be offended. Tom's that way with everyone.	Bli inte sårad. Tom är så där med alla.
>>swe<< Don't be offended. Tom's that way with everyone.	Bli inte stött. Tom är så där med alla.
>>swe<< For the thousandth time, I don't need your help.	För tusende gången: jag behöver inte din hjälp.
>>swe<< For the time being, I intend to stay at a hotel.	Jag planerar att bo på hotell tills vidare.
>>swe<< He composed a funeral march for his own funeral.	Han komponerade en begravningsmarsch till sin egen begravning.
>>swe<< He demanded that the savage dog be kept tied up.	Han krävde att den vilda hunden skulle hållas bunden.
>>swe<< He had difficulty in hearing and could not walk.	Han hörde illa och kunde inte gå.
>>swe<< He had to leave the city, so he moved to Berlin.	Han var tvungen att lämna staden, så han flyttade till Berlin.
>>swe<< He thought it would be wise to accept the offer.	Han tänkte att det skulle vara vettigt att acceptera erbjudandet.
>>swe<< He translated Homer from the Greek into English.	Han översatte Homeros från grekiska till engelska.
>>swe<< He works as a teacher, but actually he is a spy.	Han arbetar som lärare, men egentligen är han spion.
>>swe<< How do you know light travels faster than sound?	Hur vet du att ljuset färdas fortare än ljudet?
>>swe<< I can't stand the thought of losing you forever.	Jag står inte ut med tanken på att förlora dig för evigt.
>>swe<< I didn't think that Tom would forget to do that.	Jag trodde inte att Tom skulle glömma att göra det.
>>swe<< I don't feel well. Please give me some medicine.	Jag mår inte bra. Snälla ge mig lite medicin.
>>swe<< I don't think that Tom knows where you did that.	Jag tror inte att Tom vet var du gjorde det.
>>swe<< I don't understand a word of what you're saying.	Jag begriper inte ett ord av vad du säger.
>>swe<< I don't understand why people believe in ghosts.	Jag förstår inte varför folk tror på spöken.
>>swe<< I forgot to turn off the TV before going to bed.	Jag glömde stänga av tv:n före jag gick och lade mig.
>>swe<< I received a letter informing me of his arrival.	Jag fick ett brev som underrättade mig om hans ankomst.
>>swe<< I think that Tom is three years older than Mary.	Jag tror att Tom är tre år äldre än Mary.
>>swe<< I took it for granted that you were on our side.	Jag tog för givet att du var på vår sida.
>>swe<< I want to eat some Korean food that isn't spicy.	Jag vill äta koreansk mat som inte är kryddstark.
>>swe<< I was told that you know Tom's telephone number.	Jag fick veta att du kände till Toms telefonnummer.
>>swe<< I'd like to know how long you plan to stay here.	Jag skulle vilja veta hur länge du planerar att stanna här.
>>swe<< I'd rather not talk about it, if you don't mind.	Du får ursäkta, men jag vill helst inte prata om det.
>>swe<< I'm grateful for everything you've done for Tom.	Jag är tacksam för allt du har gjort för Tom.
>>swe<< I'm not satisfied with the quality of your work.	Jag är inte nöjd med kvalitén på ditt arbete.
>>swe<< If you don't study harder, you'll fail for sure.	Om du inte studerar mer så kommer du helt säkert att misslyckas.
>>swe<< In the 80's, things were really quite different.	På 80-talet var det minsann andra bullar som gällde.
>>swe<< It was not in his nature to speak ill of others.	Det låg inte i hans natur att tala illa om andra.
>>swe<< It was not until then that he learned the truth.	Inte förrän då fick han reda på sanningen.
>>swe<< It's my money. I can do whatever I want with it.	Det är mina pengar. Jag kan göra vad jag vill med dem.
>>swe<< Maybe Tom was the one who stole Mary's necklace.	Det kanske var Tom som stal Marys halsband.
>>swe<< More and more students are joining the protests.	Fler och fler studenter ansluter sig till protesterna.
>>swe<< My father insisted on our waiting for the train.	Min pappa insisterade på att vi skulle vänta på tåget.
>>swe<< My father insisted on our waiting for the train.	Min far insisterade på att vi skulle vänta på tåget.
>>swe<< My father is, so to speak, a walking dictionary.	Min far är så att säga en vandrande ordbok.
>>swe<< My grandfather is 90 years old and very healthy.	Min farfar är 90 år gammal och mycket frisk.
>>swe<< My grandfather is 90 years old and very healthy.	Min morfar är 90 år gammal och mycket frisk.
>>swe<< No doubt she loves him, but she won't marry him.	Det råder ingen tvekan om att hon älskar honom, men hon vill inte gifta sig med honom.
>>swe<< One for all, and all for one, this is our motto.	En för alla och alla för en, det är vårt motto.
>>swe<< Perhaps you even know more about this than I do.	Du kanske rent av vet mer om det här än vad jag gör.
>>swe<< She is shy and always remains in the background.	Hon är blyg och håller sig i bakgrunden.
>>swe<< She was ashamed of herself for her carelessness.	Hon skämdes för sin obetänksamhet.
>>swe<< Tell me what to write and I'll write it for you.	Säg åt mig vad jag skall skriva, och jag kommer att skriva det åt dig.
>>swe<< That blonde girl with curly hair is from Sweden.	Den där blonda tjejen med lockigt hår är från Sverige.
>>swe<< That was the first time I had ever driven a car.	Det var första gången någonsin jag körde bil.
>>swe<< The Thames is a river that flows through London.	Themsen är en flod som flyter genom London.
>>swe<< The doctor advised my father to give up smoking.	Läkaren rådde min pappa att sluta röka.
>>swe<< The dog was busy burying his bone in the garden.	Hunden var upptagen med att gräva ner sitt ben i trädgården.
>>swe<< The evolution of dinosaurs interests me greatly.	Dinosauriernas utveckling intresserar mig mycket.
>>swe<< The explorers discovered a skeleton in the cave.	Utforskarna upptäckte ett skelett i grottan.
>>swe<< The flu and the common cold are very contagious.	Influensor och förkylningar är mycket smittsamma.
>>swe<< The garden was full of beautiful yellow flowers.	Trädgården var full av vackra gula blommor.
>>swe<< The last day to apply is the day after tomorrow.	Sista ansökningsdag är i övermorgon.
>>swe<< The two men sitting on the bench were Americans.	De två männen som satt på bänken var amerikaner.
>>swe<< The wind was so strong that the windows rattled.	Vinden var så kraftig att fönstren skallrade.
>>swe<< There are many Americans who can speak Japanese.	Det finns många amerikaner som kan tala japanska.
>>swe<< There were four pieces of furniture in the room.	Det fanns fyra möbler i rummet.
>>swe<< These senseless killings will not go unpunished.	Detta meningslösa dödande ska inte förbli ostraffat.
>>swe<< These senseless killings will not go unpunished.	Dessa meningslösa mord ska inte gå ostraffade förbi.
>>swe<< They haven't fixed a date for their wedding yet.	De har ännu inte fastlagt datumet för sitt bröllop.
>>swe<< They started to sell a new type of car in Tokyo.	De började sälja en ny typ av bil i Tokyo.
>>swe<< This article was written by a college professor.	Denna artikel skrevs av en högskoleprofessor.
>>swe<< This is the most beautiful flower in the garden.	Det här är den vackraste blomman i trädgården.
>>swe<< Tom always carries a map and compass in his bag.	Tom bär alltid en karta och kompass i sin väska.
>>swe<< Tom and Mary are watching TV in the living room.	Tom och Mary tittar på teve i vardagsrummet.
>>swe<< Tom couldn't figure out how to get the box open.	Tom kunde inte lista ut hur han skulle få lådan öppnad.
>>swe<< Tom couldn't figure out how to get the box open.	Tom kunde inte komma på hur han skulle få lådan öppnad.
>>swe<< Tom didn't want me to go to Australia with Mary.	Tom ville inte att jag skulle åka till Australien med Mary.
>>swe<< Tom doesn't even know how to start a lawn mower.	Tom vet inte ens hur man startar en gräsklippare.
>>swe<< Tom eats breakfast every morning at six o'clock.	Tom äter frukost varje morgon klockan sex.
>>swe<< Tom said that he didn't want to talk about work.	Tom sade att han inte ville tala om arbete.
>>swe<< Tom said that he hopes that you like to do that.	Tom sade att han hoppades att du skulle vilja göra det.
>>swe<< Tom swerved off the road to avoid hitting a dog.	Tom körde av vägen när han väjde för en hund.
>>swe<< Tom took his dog for a long walk this afternoon.	Tom tog en lång promenad med sin hund i eftermiddags.
>>swe<< Tom took off his coat and threw it on the floor.	Tom tog av sig rocken och kastade den på golvet.
>>swe<< Tom used to smoke two packs of cigarettes a day.	Tom brukade röka två paket cigaretter varje dag.
>>swe<< Tom was fired for constantly being late to work.	Tom fick sparken för att han ständigt kom för sent till jobbet.
>>swe<< Tom's house is only three blocks away from here.	Toms hus ligger bara tre kvarter härifrån.
>>swe<< We have the same father but not the same mother.	Vi har samma far men inte samma mor.
>>swe<< We never got a clear explanation of the mystery.	Vi fick aldrig någon tydlig förklaring på mysteriet.
>>swe<< What about you? Will you have orange juice, too?	Du då? Vill du också ha apelsinjuice?
>>swe<< What about you? Will you have orange juice, too?	Du då? Vill du också ha apelsinjos?
>>swe<< What makes you think that Tom likes heavy metal?	Vad får dig att tro att Tom gillar heavy metal?
>>swe<< What will happen if there's a power failure now?	Vad händer om det blir ett strömavbrott nu?
>>swe<< What's the difference between jam and marmalade?	Vad är skillnaden mellan sylt och marmelad?
>>swe<< When I grow up, I'm going to get married to Tom.	När jag blir stor, så gifter jag mig med Tom.
>>swe<< When I grow up, I'm going to get married to Tom.	När jag blir stor ska jag gifta mig med Tom.
>>swe<< You should be proud of what you've accomplished.	Du bör vara stolt över vad du har åstadkommit.
>>swe<< You should tell your mother as soon as possible.	Du borde säga det till din mamma så snart som möjligt.
>>swe<< You will soon get accustomed to your new school.	Du vänjer dig snart vid din nya skola.
>>swe<< A teaspoon of ground cinnamon is about two grams.	En tesked malen kanel är ungefär två gram.
>>swe<< According to the newspaper, he committed suicide.	Enligt tidningen begick han självmord.
>>swe<< Anything that is too stupid to be spoken is sung.	Allt som är för dumt för att sägas sjungs.
>>swe<< Can I get your attention for a couple of seconds?	Kan jag få er uppmärksamhet i två sekunder?
>>swe<< Can you help me carry these suitcases to the car?	Kan du hjälpa mig att bära de här resväskorna till bilen.
>>swe<< Don't you know that he passed away two years ago?	Vet du inte att han gick bort för två år sedan?
>>swe<< Everyone says that he looks just like his father.	Alla säger att han ser ut precis som sin far.
>>swe<< Excuse me, can you lower your voice a little bit?	Ursäkta, kan du sänka rösten lite?
>>swe<< Forests cover around 9.4% of the earth's surface.	Ungefär 9,4% av jordens yta är täckt av skog.
>>swe<< Get a move on kids or you'll miss the school bus.	Snabba er, ungar, annars missar ni skolbussen.
>>swe<< Have you ever been the victim of a violent crime?	Har du någonsin varit offer för ett våldsbrott?
>>swe<< Have you ever read any novels by Agatha Christie?	Läste du någonsin några romaner av Agatha Christie?
>>swe<< He contracted malaria while living in the jungle.	Han ådrog sig malaria när han bodde i djungeln.
>>swe<< He got up early so he'd be in time for the train.	Han gick upp tidigt för att han skulle komma i tid till tåget.
>>swe<< He returned home after being away for ten months.	Han återvände hem efter att ha varit borta under tio månader.
>>swe<< He said that he was going home the following day.	Han sade att han skulle hem nästkommande dag.
>>swe<< He tried to make his wife happy, but he couldn't.	Han försökte att göra sin fru lycklig, men han kunde inte.
>>swe<< He was interested in the mysteries of the Orient.	Han var intresserad av Orientens mysterium.
>>swe<< How did Tom get Mary to go to the dance with him?	Hur fick Tom Mary till att dansa med honom?
>>swe<< How many Christmas cards did you write last year?	Hur många julkort skrev du förra året?
>>swe<< I always drink two cups of coffee in the morning.	Jag dricker alltid två koppar kaffe varje morgon.
>>swe<< I can neither confirm nor deny these allegations.	Jag kan varken bekräfta eller förneka dessa påståenden.
>>swe<< I can't remember exactly what I'm supposed to do.	Jag minns inte exakt vad jag ska göra.
>>swe<< I didn't know Tom didn't have a driver's license.	Jag visste inte att Tom inte har ett körkort.
>>swe<< I had to cancel my trip on account of the strike.	Jag fick avboka min resa på grund av strejken.
>>swe<< I have a friend whose father is a famous pianist.	Jag har en vän vars far är en känd pianist.
>>swe<< I held on to the rope tightly so I wouldn't fall.	Jag höll i repet hårt så att jag inte skulle falla.
>>swe<< I held on to the rope tightly so I wouldn't fall.	Jag höll hårt i repet så att jag inte skulle falla.
>>swe<< I put ten thousand yen into the bank every month.	Jag sätter in tiotusen yen varje månad.
>>swe<< I put ten thousand yen into the bank every month.	Jag sätter in tiotusen yen på banken varje månad.
>>swe<< I want a boat that'll take me far away from here.	Jag vill ha en båt som kan ta mig långt härifrån.
>>swe<< I want this building searched from top to bottom.	Jag vill att denna byggnad genomsöks från översta till nedersta våningen.
>>swe<< I want to eat something that I can only eat here.	Jag vill äta något som jag bara kan äta här.
>>swe<< I'm not sure that's going to happen anytime soon.	Jag är inte säker på att det kommer att hända när som helst snart.
>>swe<< I've been trying to solve this problem for hours.	Jag har försökt att lösa det här problemet i timmar.
>>swe<< I've heard Tom say that at least a hundred times.	Jag har hört Tom säga det minst hundra gånger.
>>swe<< If it sounds too good to be true, it probably is.	Om det låter för bra för att vara sant så är det troligen det.
>>swe<< It hurts to have to say this, but it's the truth.	Det gör ont att behöva säga det här, men det är sanningen.
>>swe<< It is not necessary for us to attend the meeting.	Det är inte nödvändigt för oss att närvara vid mötet.
>>swe<< It took me half an hour to work out this problem.	Det tog mig en halvtimme att lösa det här problemet.
>>swe<< It wasn't necessary for him to bring an umbrella.	Det var inte nödvändigt att han skulle ta med ett paraply.
>>swe<< It's very dangerous to walk around here at night.	Det är mycket farligt att gå här om nätterna.
>>swe<< Let's find a restaurant and get something to eat.	Låt oss hitta en restaurang och äta något.
>>swe<< Make sure to thaw out the chicken before cooking.	Se till att tina upp kycklingen helt före tillagning.
>>swe<< Make sure to thaw the chicken out before cooking.	Se till att tina upp kycklingen helt före tillagning.
>>swe<< Neither Tom nor Mary has been seeing a therapist.	Varken Tom eller Mary har varit hos en terapeut.
>>swe<< Participants in a seance try to contact the dead.	Seansdeltagare försöker få kontakt med de döda.
>>swe<< Please let me pick up your sister at the station.	Snälla låt mig få plocka upp din syster på stationen.
>>swe<< Rainforests provide the earth with many benefits.	Regnskogarna ger jorden många fördelar.
>>swe<< Schools and roads are services paid for by taxes.	Skolor och vägar är tjänster som betalas för med skatter.
>>swe<< She provided the traveler with food and clothing.	Hon såg till att resenären hade mat och kläder.
