>>npi<< Who?	को?
>>npi<< What was that song you were singing?	तपाईंले गाएको त्यो गीत के थियो ?
>>npi<< When will you come back from Boston?	बोस्टनबाट कहिले फर्किदै हुनुहुन्छ ?
>>npi<< Which one of these do you like best?	तपाईलाई यी मध्ये कुन राम्रो लाग्छ?
>>npi<< Would you put those bags in the car?	के तपाईं ती झोलाहरू कारमा राख्नु हुन्छ?
>>npi<< All of a sudden, it got dark outside.	एक्कासी बाहिर अँध्यारो भयो।
>>npi<< Beauty is in the eye of the beholder.	सुन्दरता हेर्नेको नजरमा भर पर्छ।
>>npi<< Do Tom and Mary both want to do that?	के टम र मेरी दुबै त्यसो गर्न चाहन्छन् ?
>>npi<< Don't you have anything better to do?	के तपाईसँग राम्रो गर्न केहि छैन र?
>>npi<< Gradually, things are getting better.	बिस्तारै, चीजहरू राम्रो हुँदैछन्।
>>npi<< He reads the newspaper every morning.	ऊ हरेक बिहान पत्रिका पढ्छ।
>>npi<< How far is it from Boston to Chicago?	बोस्टन देखि शिकागो कति टाढा छ?
>>npi<< I can understand what you are saying.	मलाई थाहा छ तिमी के भन्दै छौ।
>>npi<< I don't remember who wrote that song.	त्यो गीत कसले लेखेको मलाई याद छैन।
>>npi<< I found it easy when I gave it a try.	मैले प्रयास गर्दा यो सजिलो लाग्यो।
>>npi<< I saw the girl swimming in the river.	मैले केटीलाई खोलामा पौडी खेलेको देखेँ।
>>npi<< I want to be with you whenever I can.	जब म सक्छु म तिम्रो साथ हुन चाहन्छु।
>>npi<< I'll meet you there as soon as I can.	जति सक्दो चाँडो त्यहाँ भेट्छु।
>>npi<< I'm, as you know, a very busy person.	म, तपाईलाई थाहा नै छ, धेरै व्यस्त व्यक्ति हुँ।
>>npi<< If the weather's fine, let's do that.	यदि मौसम ठीक छ भने, त्यसो गरौं।
>>npi<< It probably won't be easy to do that.	सायद यो गर्न सजिलो छैन।
>>npi<< Japan produces a lot of good cameras.	जापानले धेरै राम्रा क्यामेराहरू उत्पादन गर्छ।
>>npi<< Language is a means of communication.	भाषा संचार को एक माध्यम हो।
>>npi<< Let us know if you'd like to join us.	यदि तपाईं हामीसँग सामेल हुन चाहनुहुन्छ भने हामीलाई थाहा दिनुहोस्।
>>npi<< Mary spread the big map on the table.	मेरीले आफ्नो टेबलमा ठूलो नक्सा फैलाइन।
>>npi<< My sister is my daughter's godmother.	मेरी बहिनी मेरी छोरीको धर्ममाता हो।
>>npi<< My watch is more accurate than yours.	मेरो घडी तपाईको भन्दा धेरै सटीक छ।
>>npi<< Not knowing what to do, I called her.	के गर्ने भनेर थाहा नभएर , मैले उनलाई बोलाए।
>>npi<< Only time will tell if Tom was right.	केवल समयले बताउनेछ कि टम सही थियो।
>>npi<< Please remind me to call Tom at 2:30.	कृपया मलाई 2:30 मा टमलाई कल गर्न सम्झाउनुहोस्।
>>npi<< She used to play tennis every Sunday.	उनी हरेक आइतबार टेनिस खेल्ने गर्दथिन्।
>>npi<< Sorry, but I can't go along with you.	माफ गर्नुहोस्, तर म तपाईंसँग जान सक्दिन।
>>npi<< The drink I drink the most is coffee.	मैले सबैभन्दा धेरै पिउने पेय भनेको कफी हो।
>>npi<< The game was put off because of rain.	वर्षाका कारण खेल स्थगित भएको थियो।
>>npi<< The sun is setting below the horizon.	सूर्य क्षितिज मुनि अस्ताउँदैछ।
>>npi<< There's a cat in the conference room.	सम्मेलन कक्षमा बिरालो छ।
>>npi<< Those two children were the same age.	ती दुई बच्चा एउटै उमेरका थिए।
>>npi<< Tom and Mary both enjoyed that movie.	टम र मेरी दुबैले चलचित्रको आनन्द लिए।
>>npi<< Tom didn't know what the problem was.	टमलाई समस्या के हो थाहा थिएन।
>>npi<< Tom has also spent time in Australia.	टमले अष्ट्रेलियामा पनि समय बिताएका छन्।
>>npi<< Tom isn't going to help Mary do that.	टमले मेरीलाई त्यसो गर्न मद्दत गर्ने छैन।
>>npi<< Tom realized that I couldn't do that.	टमले बुझे कि म त्यो गर्न सक्दिन।
>>npi<< Tom refused to shake hands with Mary.	टमले मेरीसँग हात मिलाउन अस्वीकार गरे।
>>npi<< Tom spends a lot of money on clothes.	टमले कपडाको लागि धेरै पैसा खर्च गर्दछ।
>>npi<< Tom took a book out of his briefcase.	टमले आफ्नो ब्रिफकेसबाट एउटा किताब निकाले।
>>npi<< Tom was obviously not very impressed.	टम स्पष्ट रूपमा धेरै प्रभावित थिएनन्।
>>npi<< Tom was the first person to sit down.	पहिलो बस्ने व्यक्ति टम थियो।
>>npi<< Tom was there, but he didn't help us.	टम त्यहाँ थियो, तर उसले हामीलाई मद्दत गरेन।
>>npi<< What color is the roof of your house?	तपाईको घरको छानो कस्तो रङको छ?
>>npi<< What do you call that bird in French?	तपाईं त्यो चरालाई फ्रेन्चमा कसरी भन्नुहुन्छ?
>>npi<< What do you want to be in the future?	भविष्यमा के बन्न चाहनुहुन्छ?
>>npi<< What do you want to do in the future?	तिमी भविष्यमा के गर्न चाहान्छौ?
>>npi<< What time does that restaurant close?	त्यो रेस्टुरेन्ट कति बजे बन्द हुन्छ?
>>npi<< What website do you visit most often?	तपाइँ प्रायः कुन वेबसाइट चलाउने गर्नुहुन्छ?
>>npi<< What'll the weather be like tomorrow?	भोलिको मौसम कस्तो रहनेछ?
>>npi<< Who is better at French, Tom or Mary?	फ्रान्सेली मा को राम्रो छ, टम वा मेरी?
>>npi<< Why did you stop only the foreigners?	तिमीले किन विदेशीलाई मात्र रोकेको ?
>>npi<< Why did you stop only the foreigners?	तपाईले किन विदेशीलाई मात्र रोक्नुभएको ?
>>npi<< Will you please call me this evening?	के तपाईं मलाई आज बेलुका फोन गर्न सक्नुहुन्छ?
>>npi<< Women generally live longer than men.	महिलाहरु सामान्यतया पुरुषहरु भन्दा लामो समय बाँच्ने गर्दछ।
>>npi<< You can never forget your first love.	तिमीले आफ्नो पहिलो प्रेमलाई कहिल्यै भुल्न सक्दैनौ।
>>npi<< You must not forget your schoolbooks.	तिमीले आफ्नो स्कूलका किताबहरू बिर्सनु हुँदैन।
>>npi<< You're the only one who wants to win.	तपाईं मात्र एक हुनुहुन्छ जसले जित्न चाहन्छ।
>>npi<< Answering that question was difficult.	त्यो प्रश्नको जवाफ दिन गाह्रो भयो।
>>npi<< Do you have any time to help me today?	के तपाईसँग आज मलाई मद्दत गर्नको लागि कुनै समय छ?
>>npi<< How do you say "I love you" in French?	फ्रान्सेली भाषामा "म तिमीलाई माया गर्छु" भन्दा कसरी भन्छौ?
>>npi<< How many times a day does the bus run?	बस दिनमा कति पटक चल्छ?
>>npi<< How often do you think that'll happen?	तपाइँ कति पटक यो हुनेछ भन्ने सोच्नुहुन्छ?
>>npi<< I can't leave work until five o'clock.	म ५ बजेसम्म काम छोड्न सक्दिन।
>>npi<< I haven't decided yet if I want to go.	यदि म जान चाहन्छु कि भनेर मैले अझै निर्णय गरेको छैन।
>>npi<< I haven't finished paying off my loan.	मैले अझै पनि ऋण तिर्न सकेको छैन।
>>npi<< I knew that Tom was afraid of heights.	मलाई थाहा थियो कि टम उचाइबाट डराउँछन्।
>>npi<< I like white roses more than red ones.	मलाई रातो गुलाब भन्दा सेतो गुलाब मन पर्छ।
>>npi<< I need to talk to you about this soon.	मलाई यस बारे तपाईंसँग चाँडै कुरा गर्न आवश्यक छ।
>>npi<< I think I know what Tom is doing here.	टम यहाँ के गर्दैछ भनेर मलाई थाहा छ।
>>npi<< I think you shouldn't have called Tom.	मलाई लाग्छ तपाईंले टमलाई बोलाउनु हुँदैनथ्यो।
>>npi<< I thought that Tom would want it back.	मैले सोचे कि टमले यो फिर्ता चाहन्छ।
>>npi<< I'm just buying some stuff for dinner.	म बेलुकाको खानाको लागि केही सामान किन्दै छु।
>>npi<< I'm not going to speak to Tom anymore.	म अब टमसँग कुरा गर्ने छैन।
>>npi<< I'm pretty sure Tom's happy in Boston.	म पक्का छु कि टम बोस्टनमा खुसी छ।
>>npi<< I'm sorry to hear that Tom is so sick.	टम धेरै बिरामी भएको कुरा सुनेर मलाई दुख लाग्यो।
>>npi<< I've been boxing since I was thirteen.	म तेह्र वर्षको उमेरदेखि बक्सिङ गर्दै आएको छु।
>>npi<< It has been raining since last Monday.	गत सोमबारदेखि पानी परिरहेको छ।
>>npi<< It would've been unethical to do that.	त्यसो गर्नु अनैतिक हुने थियो।
>>npi<< Making model planes is his only hobby.	मोडल प्लेन बनाउनु उनको एकमात्र शौक हो।
>>npi<< Mathematics is an interesting subject.	गणित एउटा रोचक विषय हो।
>>npi<< Only one person survived the accident.	दुर्घटनामा एकजना मात्र बाँचेका थिए।
>>npi<< The house with the green roof is mine.	हरियो छानो भएको घर मेरो हो।
>>npi<< The mountaintops are hidden by clouds.	पहाडको चुचुरोलाई बादलले छोपेको छ ।
>>npi<< The store opens for business tomorrow.	भोलिदेखि पसल खुल्नेछ।
>>npi<< They went on many adventures together.	उनीहरु सँगै धेरै साहसिक कार्यमा गए ।
>>npi<< This is a poem written by Tom Jackson.	यो टम ज्याक्सन द्वारा लेखिएको कविता हो।
>>npi<< This is the perfect Father's Day gift.	यो उत्तम बुबाको मुख हेर्ने दिनको उपहार हो।
>>npi<< Tom always blames Mary for everything.	टमले सधैं सबै कुरामा मेरीलाई दोष दिन्छ।
>>npi<< Tom and I danced together all evening.	टम र मैले पुरै साँझमा सँगै नाच्यौं।
>>npi<< Tom didn't do what you told him to do.	टमले तपाईंले उसलाई जे गर्न भन्नुभएको थियो त्यो गरेन।
>>npi<< Tom died when he was thirty years old.	तीस वर्षको हुँदा टमको मृत्यु भयो।
>>npi<< Tom doesn't like to talk about Boston.	टम बोस्टनको बारेमा कुरा गर्न मन पराउँदैनन्।
>>npi<< Tom has an umbrella, but Mary doesn't.	टमसँग छाता छ, तर मेरीसँग छैन।
>>npi<< Tom is a very talented young director.	टम धेरै प्रतिभाशाली युवा निर्देशक हुन्।
>>npi<< Tom is probably still waiting for you.	टम सायद अझै तपाइँको लागि पर्खिरहेको छ।
>>npi<< Tom is probably still waiting for you.	टम सायद अझै तिम्रो लागि पर्खिरहेको छ।
>>npi<< Tom is the one who gave me this apple.	टम एक हो जसले मलाई यो स्याउ दियो।
>>npi<< Tom is the one who told us what to do.	टम एक हो जसले हामीलाई के गर्ने भन्यो।
>>npi<< Tom isn't as intelligent as you think.	टम तपाईले सोचे जस्तो बुद्धिमानी छैन।
>>npi<< Tom probably went to a friend's house.	टम सायद साथीको घरमा गएको छ।
>>npi<< Tom says he doesn't like his nickname.	टम भन्छन् कि उसलाई आफ्नो उपनाम मन पर्दैन।
>>npi<< Tom translated the letter into French.	टमले पत्रलाई फ्रेन्चमा अनुवाद गर्यो।
>>npi<< Tom was hoping we'd do that with Mary.	टमलाई आशा थियो कि हामीले मरियमसँग त्यसो गर्नेछौं।
>>npi<< Tom was supposed to help me on Monday.	टमले मलाई सोमबार मद्दत गर्ने थियो।
>>npi<< Tom wasn't the only one who drank tea.	चिया पिउने टम मात्र थिएनन्।
>>npi<< Tom will never become a good musician.	टम कहिल्यै राम्रो संगीतकार बन्ने छैन।
>>npi<< We tried it again, but couldn't do it.	हामीले फेरि प्रयास गर्यौ तर गर्न सकेनौ।
>>npi<< We want a woman who's good at cooking.	हामी खाना पकाउन माहिर महिला चाहान्छौं।
>>npi<< What kind of person do you want to be?	तपाई कस्तो मान्छे बन्न चाहनुहुन्छ?
>>npi<< What's the weather like in Boston now?	बोस्टनको मौसम अहिले कस्तो छ?
>>npi<< When I got up, it was snowing outside.	म उठ्दा खेरि बाहिर हिउँ परिरहेको थियो।
>>npi<< Why does Tom like living in Australia?	टम किन अस्ट्रेलियामा बस्न मन पराउँछन्?
>>npi<< You don't have to take off your socks.	तपाईंले आफ्नो मोजाहरू फुकाउन आवश्यक छैन।
>>npi<< You know Tom won't do that, don't you?	तपाईलाई थाहा छ टमले त्यसो गर्दैन, हैन?
>>npi<< You need to be a bit more cooperative.	तिमि अलि बढी सहयोगी बन्न जरुरी छ ।
>>npi<< You need to hire people you can trust.	तपाईंले विश्वास गर्न सक्ने व्यक्तिहरूलाई भर्ना गर्न आवश्यक छ।
>>npi<< Are you waiting for me to do something?	के तिमी मलाई केही गर्न लगाउन पर्खिरहेका छौ?
>>npi<< Can't you and Tom stay a little longer?	के तपाईं र टम केही समय बस्न सक्नुहुन्न?
>>npi<< Do you know anybody who teaches French?	के तपाइँ फ्रान्सेली सिकाउने कसैलाई चिन्नुहुन्छ?
>>npi<< Don't blame yourself for what happened.	जे भयो त्यसको लागि आफैलाई दोष नदिनुहोस्।
>>npi<< Don't forget to thank Tom for the gift.	उपहारको लागि टमलाई धन्यवाद दिन नबिर्सनुहोस्।
>>npi<< Don't you have something to say to Tom?	के तपाइँसँग टमलाई भन्न केहि छैन?
>>npi<< Don't you think we should raise prices?	तपाईंलाई हामीले मूल्यवृद्धि गर्नुपर्छ जस्तो लाग्दैन ?
>>npi<< How many of you drink coffee every day?	तपाईहरु मध्ये कति जना हरेक दिन कफी पिउनुहुन्छ?
>>npi<< I didn't know that Tom was from Boston.	टम बोस्टनबाट आएको मलाई थाहा थिएन।
>>npi<< I don't like it when people yell at me.	मानिसहरूले मलाई चिच्याएको मलाई यो मन पर्दैन।
>>npi<< I don't think this is a very good idea.	मलाई लाग्दैन कि यो एकदम राम्रो विचार हो।
>>npi<< I don't think this is a very good idea.	मलाई लाग्दैन कि यो धेरै राम्रो विचार हो।
>>npi<< I don't think you'll have that problem.	मलाई लाग्दैन कि तपाईलाई त्यो समस्या हुनेछ।
>>npi<< I have enough sandwiches for everybody.	मसँग सबैजनाका लागि स्यान्डविचहरू छन्।
>>npi<< I jumped out of bed and ran downstairs.	म ओछ्यानबाट हाम फालेर तल दगुरेँ।
>>npi<< I told Tom a joke, but he didn't laugh.	मैले टमलाई चुड्किला भनेँ, तर ऊ हाँसेन।
>>npi<< I'm drinking water because I'm thirsty.	तिर्खा लागेकोले पानी पिउदै छु ।
>>npi<< I'm from Australia. Where are you from?	म अस्ट्रेलिया बाट हुँ। तिमी कहाँको हौं?
>>npi<< I'm from Australia. Where are you from?	म अस्ट्रेलिया बाट हुँ। तपाईं कहाँबाट हुनुहुन्छ?
>>npi<< I'm from Australia. Where are you from?	म अष्ट्रेलियाबाट आएको हुँ। तपाईं कहाँबाट हुनुहुन्छ?
>>npi<< I'm from Australia. Where are you from?	म अस्ट्रेलिया बाट हुँ। तिमी कहाँबाट हौ?
>>npi<< Many Japanese travel abroad every year.	हरेक वर्ष धेरै जापानीजहरु विदेश भ्रमण गर्दछन्।
>>npi<< Oranges are a good source of vitamin C.	सुन्तला भिटामिन सी को राम्रो स्रोत हो।
>>npi<< Please send in your summary by Tuesday.	कृपया मङ्गलबारसम्म आफ्नो सारांश पठाउनुहोस्।
>>npi<< Raise your hand if you have a question.	यदि तपाइँसँग कुनै प्रश्न छ भने हात उठाउनुहोस्।
>>npi<< Thanks in advance for your suggestions.	तपाईंको सुझावहरूको लागि अग्रिम धन्यवाद।
>>npi<< The last time I saw Tom was in October.	अन्तिम पटक मैले टमलाई अक्टोबरमा देखेको थिएँ।
>>npi<< There are a lot of things Tom won't do.	त्यहाँ धेरै चीजहरू छन् जुन टमले गर्नेछैन।
>>npi<< There's someone waiting for me outside.	बाहिर कोही मलाई पर्खिरहेको छ।
>>npi<< Tom finally got here around lunch time.	टम अन्ततः खाजाको समयको आसपासमा यहाँ आइपुगे।
>>npi<< Tom hasn't taken a bath in a long time.	टमले लामो समयदेखि नुहाएको छैन।
>>npi<< Tom is still in love with you, I think.	मलाई लाग्छ, टम अझै पनि तपाईंसँग प्रेममा छ।
>>npi<< Tom looks cool no matter what he wears.	टमले जस्तोसुकै लगाए पनि राम्रो देखिन्छ।
>>npi<< Tom was showing Mary how to fly a kite.	टमले मेरीलाई चङ्गा उडाउने तरिका देखाउँदै थिए।
>>npi<< Tom went straight home after the party.	टम पार्टी पछि सिधै घर गए।
>>npi<< Tom wouldn't be happy if Mary did that.	यदि मेरीले त्यसो गरिन् भने टम खुसी हुनेछैनन्।
>>npi<< Ulaanbaatar is the capital of Mongolia.	उलानबाटार मंगोलियाको राजधानी हो।
>>npi<< We have three televisions in our house.	हाम्रो घरमा तीनवटा टिभी छन्।
>>npi<< Why do you think Tom went to Australia?	तपाईलाई टम किन अष्ट्रेलिया गएको जस्तो लाग्छ?
>>npi<< You know this isn't where I want to be.	तिमीलाई थाहा छ यो त्यो ठाउँ होइन जहाँ म हुन चाहन्छु।
>>npi<< You're feeling very sleepy, aren't you?	तपाईलाई धेरै निद्रा लागेको छ, हैन?
>>npi<< You're feeling very sleepy, aren't you?	तिमीलाई धेरै निद्रा लागेको छ, हैन?
>>npi<< A man can't be judged by his appearance.	मानिसलाई उसको रूपले मूल्याङ्कन गर्न सकिँदैन।
>>npi<< Do you know what's going to happen next?	के तपाईलाई थाहा छ अब के हुने छ?
>>npi<< Do you really think you need to do that?	के तपाई साँच्चै सोच्नुहुन्छ कि तपाईले त्यसो गर्नु आवश्यक छ?
>>npi<< Every year, many Japanese travel abroad.	हरेक वर्ष धेरै जापानीजहरु विदेश भ्रमण गर्दछन्।
>>npi<< Germany is about half the size of Texas.	जर्मनी टेक्सासको आधा आकारको छ।
>>npi<< Germany is about the same size as Japan.	जर्मनीको आकार जापान जत्तिकै छ।
>>npi<< He made a great fortune in his lifetime.	उसले जिन्दगीमा धेरै सम्पति जोड्यो।
>>npi<< I can't understand what you said at all.	तपाईंले के भन्नुभयो मैले केही पनी बुझ्न सकिन।
>>npi<< I don't know how long I'll be in Boston.	मलाई थाहा छैन म कहिलेसम्म बोस्टनमा बस्छु।
>>npi<< I don't know why you're studying French.	मलाई थाहा छैन तिमी किन फ्रेन्च पढ्दै छौ।
>>npi<< I don't remember how to spell your name.	तिम्रो नाम कसरी लेख्ने मलाई याद छैन।
>>npi<< I knew that Tom was in his room reading.	मलाई थाहा थियो कि टम आफ्नो कोठामा पढिरहेको थियो।
>>npi<< I like white roses better than red ones.	मलाई रातो गुलाब भन्दा सेतो गुलाब मन पर्छ।
>>npi<< I think Tom won't be nervous doing that.	मलाई लाग्छ कि टम त्यसो गर्दा नर्भस हुनेछैन।
>>npi<< I usually eat rice at least twice a day.	म सामान्यतया दिनमा कम्तिमा दुई पटक भात खान्छु।
>>npi<< I went to the airport to meet my father.	बुबालाई भेट्न एयरपोर्ट गएँ।
>>npi<< I'd be willing to help if you need help.	यदि तपाईंलाई मद्दत चाहिन्छ भने, म मद्दत गर्न सक्छु।
>>npi<< I'm not convinced ghosts actually exist.	भूतहरू वास्तवमा छन् भन्ने कुरामा म विश्वस्त छैन।
>>npi<< I'm not particularly good at doing that.	म त्यसो गर्नमा खासै राम्रो छैन।
>>npi<< I'm sorry, could you repeat that please?	कृपया मलाई माफ गर्नुहोस्, फेरी एक पटक दोहोर्याउन सक्नुहुन्छ?
>>npi<< I'm very interested in Irish folk music.	मलाई आयरिश लोक संगीतमा धेरै रुचि छ।
>>npi<< I've finished preparations for tomorrow.	भोलिको तयारी पूरा गरिसकेको छु।
>>npi<< It has developed into a very large city.	यो एक धेरै ठूलो शहर मा विकसित भएको छ।
>>npi<< It is rumored that he has gone bankrupt.	ऊ टाट पल्टियो भन्ने हल्ला छ।
>>npi<< Thank you very much for your suggestion.	तपाईको सुझावको लागि धेरै धेरै धन्यवाद।
>>npi<< That old house is thought to be haunted.	त्यो पुरानो घरमा तर्साउने गरेको मानिन्छ ।
>>npi<< The tickets I bought are non-refundable.	मैले किनेका टिकटहरू फिर्ता हुदैनन्।
>>npi<< There are some empty bottles in the box.	बाकसमा खाली बोतलहरु छन्।
>>npi<< Tom couldn't read until he was thirteen.	टमले तेह्र वर्षको नहुँदासम्म पढ्न सकेनन्।
>>npi<< Tom doesn't have a girlfriend right now.	टमको अहिले कुनै प्रेमिका छैन।
>>npi<< Tom has asked me to lend him some money.	टमले मलाई केही पैसा उधारो दिन आग्रह गरेको छ।
>>npi<< Tom is a billionaire, not a millionaire.	टम अर्बपति हो, करोडपति होइन।
>>npi<< Tom is all alone with no one to talk to.	टम एक्लै छ जससँग कुरा गर्न कोही छैन।
>>npi<< Tom isn't here. Do you know where he is?	टम यहाँ छैन। ऊ कहाँ छ थाहा छ?
>>npi<< Tom probably went to his friend's house.	टम सायद साथीको घरमा गएको छ।
>>npi<< Tom showed Mary where he kept his money.	टमले मेरीलाई आफ्नो पैसा कहाँ राखेको देखाए ।
>>npi<< Tom will never forgive us if we do that.	यदि हामीले त्यसो गर्यौं भने टमले हामीलाई कहिल्यै माफ गर्नेछैन।
>>npi<< We have a dog, a cat and three canaries.	हामीसँग एउटा कुकुर, एउटा बिरालो र तीनवटा क्यानरीहरू छन्।
>>npi<< You don't need to finish it by tomorrow.	तपाईंले यसलाई भोलिसम्म पूरा गर्न आवश्यक छैन।
>>npi<< You may come visit whenever you want to.	तपाईले चाहानु भएको बेला घुम्न आउन सक्नुहुन्छ।
>>npi<< You'd better stay in bed for a few days.	तपाईं केही दिन ओछ्यानमै बस्नु राम्रो हुन्छ।
>>npi<< A lot of companies will do that nowadays.	आजकल धेरै कम्पनीहरूले त्यसो गर्नेछन्।
>>npi<< How many times a week do you take a bath?	तपाईं हप्तामा कति पटक नुहाउनुहुन्छ?
>>npi<< I don't feel like studying English today.	आज मलाई अंग्रेजी पढ्न मन लागेको छैन।
>>npi<< I don't know how long it's going to take.	मलाई थाहा छैन यसले कति समय लिन्छ।
>>npi<< I don't think I'll ever understand women.	मलाई लाग्दैन कि मैले महिलालाई कहिल्यै बुझ्नेछु।
>>npi<< I don't want to go to Australia with you.	म तिमीसँग अस्ट्रेलिया जान चाहन्न।
>>npi<< I first met Tom when he was 13 years old.	मैले पहिलो पटक टमलाई ऊ १३ वर्षको हुँदा भेटेको थिएँ।
>>npi<< I think you've got a really bad attitude.	मलाई लाग्छ कि तपाईंले साँच्चै नराम्रो मनोवृत्ति पाउनुभएको छ।
>>npi<< I waited by myself in front of the hotel.	म होटल अगाडि एक्लै पर्खिरहेको थिएँ ।
>>npi<< I want to become a doctor like my father.	म मेरो बुबा जस्तै डाक्टर बन्न चाहन्छु।
>>npi<< I want to get out of the car and stretch.	म कारबाट बाहिर निस्कन र जिउ तन्काउन चाहन्छु।
>>npi<< I'd like a room facing the ocean instead.	म यसको सट्टा समुद्रतिर फर्केको कोठा चाहन्छु।
>>npi<< I'll be with Tom all next week in Boston.	म अर्को हप्ता बोस्टनमा टमसँग हुनेछु।
>>npi<< It was difficult to answer that question.	त्यो प्रश्नको जवाफ दिन गाह्रो भयो।
>>npi<< It's fun to learn about foreign cultures.	विदेशी संस्कृतिको बारेमा जान्न पाउँदा रमाइलो हुन्छ।
>>npi<< It's fun to learn about foreign cultures.	विदेशी संस्कृतिको बारेमा जान्न रमाइलो हुन्छ।
>>npi<< Many Japanese travel overseas every year.	हरेक वर्ष धेरै जापानीजहरु विदेश भ्रमण गर्दछन्।
>>npi<< Mary wore a strapless dress to the party.	मेरीले पार्टीमा स्ट्र्यापलेस पोशाक लगाएकी थिइन्।
>>npi<< My mother is strict, but my father isn't.	मेरी आमा कडा हुनुहुन्छ, तर बुबा त्यस्तो हुनुहुन्न।
>>npi<< Thank you for teaching me so many things.	मलाई धेरै कुरा सिकाउनु भएकोमा धन्यवाद।
>>npi<< The truth can be more painful than a lie.	सत्य झूट भन्दा धेरै पीडादायी हुन सक्छ।
>>npi<< The young man that you saw is my brother.	तिमीले देखेको युवक मेरो भाइ हो।
>>npi<< There is a suspension bridge ahead of us.	हाम्रो अगाडि एउटा झोलुङ्गे पुल छ।
>>npi<< There's a beautiful bridge over the pond.	त्यो पोखरीको वरिपरि सुन्दर पुल छ।
>>npi<< Tom and I danced together all night long.	टम र म सँगै रातभर नाच्यौं।
>>npi<< Tom first came to Boston three years ago.	टम पहिलो पटक तीन वर्ष पहिले बोस्टन आएका थिए।
>>npi<< Tom gave almost all his money to charity.	टमले आफ्नो प्रायः सबै पैसा परोपकारलाई दिए।
>>npi<< Tom put himself and his children at risk.	टमले आफू र आफ्ना छोराछोरीलाई जोखिममा राखे।
>>npi<< Tom told me that he hasn't done that yet.	टमले मलाई भन्यो कि उसले त्यो अहिलेसम्म गरेको छैन।
>>npi<< Tom wasn't able to get the motor started.	टम मोटर सुरु गर्न सक्षम थिएन।
>>npi<< Tom will be able to do what he has to do.	टमले आफूले गर्नुपर्ने काम गर्न सक्षम हुनेछ।
>>npi<< We're beginning a long and difficult job.	हामी लामो र कठिन काम सुरु गर्दैछौं।
>>npi<< What time did you go to sleep last night?	हिजो राति कति बजे सुत्नु भएको थियो ?
>>npi<< Without me, you won't be able to do that.	म बिना, तपाईं त्यो गर्न सक्षम हुनुहुने छैन।
>>npi<< Would it be OK if I turned off the radio?	के म रेडियो बन्द गर्न सक्छु?
>>npi<< Would it be OK if I turned the radio off?	के म रेडियो बन्द गर्न सक्छु?
>>npi<< Would you mind if I turned off the radio?	के म रेडियो बन्द गर्न सक्छु?
>>npi<< Would you mind if I turned the radio off?	के म रेडियो बन्द गर्न सक्छु?
>>npi<< You don't have to answer these questions.	तपाईंले यी प्रश्नहरूको जवाफ दिनु पर्दैन।
>>npi<< "What time is it now?" "It's ten o'clock."	"अहिले कति बज्यो?" "दश बज्यो।"
>>npi<< A lot of people are starving in the world.	विश्वमा धेरै मानिस भोकै छन्।
>>npi<< Cats were sacred animals in ancient Egypt.	बिरालाहरू प्राचीन इजिप्टमा पवित्र जनावरहरू थिए।
>>npi<< Did I ever tell you why I moved to Boston?	म किन बोस्टनमा सरेँ भनेर के मैले तपाईंलाई कहिल्यै बताएको छु?
>>npi<< Do you spend more time at home or at work?	तपाई घरमा कि काममा धेरै समय बिताउनुहुन्छ?
>>npi<< Every year, many Japanese travel overseas.	हरेक वर्ष धेरै जापानीजहरु विदेश भ्रमण गर्दछन्।
>>npi<< He is the greatest singer that ever lived.	उनी अहिलेसम्मकै उत्कृष्ट गायक हुन्।
>>npi<< How many languages can you speak fluently?	तपाईं कतिवटा भाषाहरू सजिलै बोल्न सक्नुहुन्छ?
>>npi<< I haven't the faintest idea what you mean.	तपाईले के भन्न खोज्दै हुनुहुन्छ मलाई केहि थाहा छैन।
>>npi<< I like rice, but I don't eat it every day.	मलाई भात मनपर्छ, तर म हरेक दिन खान्न।
>>npi<< I really don't understand what's so funny.	म साँच्चै बुझ्न सक्दिन कि यति हास्यास्पद के हो।
>>npi<< I'd like to stay here for a few more days.	म अझै केही दिन यहाँ बस्न चाहन्छु।
>>npi<< I'll meet up with you guys this afternoon.	म आज दिउँसो तपाईंहरूसँग भेट गर्नेछु।
>>npi<< I'm not the kind of person you think I am.	म तिमीले सोचेको जस्तो मान्छे होइन।
>>npi<< I'm not used to making speeches in public.	मलाई सार्वजनिक रूपमा भाषण गर्ने बानी छैन।
>>npi<< I'm really looking forward to Tom's visit.	म साँच्चै टमको भ्रमणको लागि पर्खिरहेको छु।
>>npi<< I'm sure that Tom feels the same way I do.	म पक्का छु कि टमले पनि मैले जस्तै महसुस गर्छ।
>>npi<< Mark the words that you cannot understand.	तपाईंले नबुझेका शब्दहरूमा चिन्ह लगाउनुहोस्।
>>npi<< The policeman took the knife from the boy.	प्रहरी जवानले केटाबाट छुरी लिए।
>>npi<< The question is who will go there for Tom.	प्रश्न यो छ, टमको लागि त्यहाँ को जानेछ?
>>npi<< The weight of the snow broke the branches.	हिउँको बोझले हाँगा भाँचियो।
>>npi<< There is a parking lot behind the theater.	थिएटरको पछाडि एउटा पार्किङ छ।
>>npi<< This is one of the best-selling cookbooks.	यो सबैभन्दा धेरै बिक्री हुने कुकबुकहरू मध्ये एक हो।
>>npi<< Today's a bit warmer than usual, isn't it?	आज अरुबेला भन्दा अलि बढी गर्मी छ है ?
