>>cbk<< Who?	¿Quién?
>>cbk<< Leave the baby in the crib.	Dejá cunel batâ na cuna.
>>cbk<< Mary took off her earrings.	Ya quitá si María de suyo maga aretes.
>>cbk<< My sister married a doctor.	Ya casá mi hermana un doctor.
>>cbk<< Not every man can be happy.	Hindé todo gente puede quedá alegre.
>>cbk<< Please take off your shirt.	Favor, quitá de tuyo camisa.
>>cbk<< She abandoned her children.	Ya abandoná le de suyo magá anák.
>>cbk<< She has long arms and legs.	Largo de suyo mga braso y pierna.
>>cbk<< That makes no sense at all.	Bien lasangán man ese.
>>cbk<< That's what I want to know.	Amó se cosa yo quiere sabé.
>>cbk<< The boat can still be seen.	Ta puedé pa siempre mirá cunel barótô.
>>cbk<< The party finished at nine.	Alás nueve ya acabá el party.
>>cbk<< The trees are already bare.	Calvo ya el maga ponô.
>>cbk<< The trees are already bare.	Nuay más hojas el maga ponô.
>>cbk<< They turned to look at Tom.	Ya virá silá para mira cun Tom.
>>cbk<< This hat is from Australia.	Ya salé na Australia este sumbrero.
>>cbk<< Tom and Mary followed John.	Ya sigui si Tom y Mary cun John.
>>cbk<< Tom hasn't called Mary yet.	Nuáy pa llamá si Tom cun Mary.
>>cbk<< Tom is going to be jealous.	Ay man celos si Tom.
>>cbk<< Tom looked at the calendar.	Ya mirá si Tom cunel calendario.
>>cbk<< Tom showed me his passport.	Ya dale mirá si Tom cumigo de suyu pasaporte.
>>cbk<< Tom was at home that night.	Na casa si Tom aquel noche.
>>cbk<< Tom, look what you've done.	Tom, mirá cosa tu ya hacé.
>>cbk<< We painted the house green.	Ya pintá kamé verde cunel casa.
>>cbk<< We should be there by noon.	Necesita, mediodía, tallá ya kitá.
>>cbk<< We thought you were crying.	Pensaba kamé ta llorá tu.
>>cbk<< What are you interested in?	Cosa di tuyo mga interes?
>>cbk<< What did you do last night?	Cosa tu ya hacé anoche?
>>cbk<< What kind of person is Tom?	Cosa clase de gente si Tom?
>>cbk<< What kind of stone is this?	Cosa clase piedra esté?
>>cbk<< What time do you go to bed?	Que hora tu ta durmí?
>>cbk<< When will you go to school?	Cuando tu ay andá na escuela?
>>cbk<< Where's the nearest church?	Donde el pinakacerca iglesia?
>>cbk<< Which city should we visit?	Cosa cuidad kita debe visita?
>>cbk<< Who said I stole the money?	Quien ya hablá na ya robá yo cunel sen?
>>cbk<< Why did this happen to Tom?	Por que esté ya pasá cun Tom?
>>cbk<< Why did you give Tom money?	Por que tu ya dale sen cun Tom?
>>cbk<< You need to get a real job.	Necesita tu buscá trabajo verdadero.
>>cbk<< You need to tell the truth.	Necesita tu hablá el verdad.
>>cbk<< Your necklace is beautiful.	Bunito de tuyo cadenita.
>>cbk<< Bring me that glass of milk.	Llevá cumigo ese vaso de leche.
>>cbk<< Did Tom come here yesterday?	Ya vené ba aquí si Tom ayer?
>>cbk<< Do you go to school on foot?	¿Usted ta andá na escuela de pie?
>>cbk<< Do you go to school on foot?	¿Tú ta andá na escuela de pie?
>>cbk<< Do you go to school on foot?	¿Vos ta andá na escuela de pie?
>>cbk<< Do you go to school on foot?	¿Evos ta andá na escuela de pie?
>>cbk<< Do you go to school on foot?	¿Ta andá usted escuela de pie?
>>cbk<< Do you go to school on foot?	¿Ta andá tú escuela de pie?
>>cbk<< Do you go to school on foot?	¿Ta andá vos escuela de pie?
>>cbk<< Do you know where Tom lives?	Sabe tu donde ta quedá si Tom?
>>cbk<< Do you know who has the key?	Sabe tu quien ta agarrá cunel llave?
>>cbk<< Do you know who that guy is?	Sabe tu quien ese hombre?
>>cbk<< Do you know who's in charge?	Sabe tu quien el encargao?
>>cbk<< Do you know why I came here?	Sabe tu por qué yo ya vené aquí?
>>cbk<< Don't fail to lock the door.	Numá olvidá trancá cunel puerta.
>>cbk<< Few students can read Latin.	Poco lang estudiante ta puedé lé Latín.
>>cbk<< Have you counted the towels?	Ya contá tu cunel maga toalla?
>>cbk<< He asked for a lot of money.	Ya pidi le mucho sen.
>>cbk<< He looked up at the ceiling.	Ya mirá le para na quísame.
>>cbk<< He told me his life's story.	Ya hacé le cuento cumigo el historia de suyo vida.
>>cbk<< He wet the towel with water.	Ya mojá le el toalla cun agua.
>>cbk<< How many worms did you find?	Cuanto gusano tu ya encontrá?
>>cbk<< How much does this hat cost?	¿Cuánto el precio de este sombrero?
>>cbk<< I am looking for my brother.	Ta buscá yo de mio hermano.
>>cbk<< I can't make it without you.	Hindé yo puede asé cunese si nuáy tu.
>>cbk<< I don't know where to begin.	Nusabe yo donde yo principiá.
>>cbk<< I don't know where to begin.	Nusabe yo donde principiá.
>>cbk<< I don't want to be involved.	No quiere yo quedá envuelto.
>>cbk<< I don't want to get married.	No quiere yo casá.
>>cbk<< I don't want to lie anymore.	No quiere más yo man-embusterías.
>>cbk<< I had to go there yesterday.	Necesita yo andá allá ayer.
>>cbk<< I have a thorn in my finger.	Tiene yo tunúk na de mío dedo.
>>cbk<< I have difficulty breathing.	Difícil yo resollá.
>>cbk<< I hope Tom is in Boston now.	Era na Boston ya si Tom ahora.
>>cbk<< I knew you wouldn't help us.	Sabe yo hindê tu ayudá kanamon.
>>cbk<< I know what you want to say.	Sabe yo cosa tu quiere hablá.
>>cbk<< I thought he was my brother.	Pensaba yo hermano le de mio.
>>cbk<< I want to talk to Tom first.	Quiere yo man-cuento cun Tom primero.
>>cbk<< I won't eat breakfast today.	Ay hindé yo almuersá este día.
>>cbk<< I've seen this movie before.	Ya mirá ya yo cuneste salida antes.
>>cbk<< Most people think I'm crazy.	Manada gente ta pensá que loco yo.
>>cbk<< My grandfather raises ducks.	Ta cuidá maga pato de mío lolo.
>>cbk<< Pay attention to what I say.	Poné atención na cosa yo ta hablá.
>>cbk<< She has flowers in her hand.	Tiene le flores na de suyo mano.
>>cbk<< She turned and began to cry.	Ya virá le cara y ya principiá llorá.
>>cbk<< Take any two cards you like.	Sacá tu masquín cosa dos baraja quiere tu.
>>cbk<< Take off your socks, please.	Favor quitá tuyo calcetín.
>>cbk<< That small one is also mine.	De mío tamén se diútay alí.
>>cbk<< That's very important to us.	Bien importante gayot se kanamon.
>>cbk<< That's very important to us.	Bien importante gayot se kanaton.
>>cbk<< The bus went over the cliff.	Ya cái el bus na pampang.
>>cbk<< There is a hole in his sock.	Tiene agujero el de suyo calcetín.
>>cbk<< There was a moon that night.	Tiene luna aquel noche.
>>cbk<< There's no one sitting here.	Nuáy quien ta sintá aquí.
>>cbk<< They don't want you to know.	No quiere silá na sabé tu.
>>cbk<< Tom dialed the number again.	Yan dial si Tom cunel número otra vez.
>>cbk<< Tom handed a sandwich to me.	Ya alcanzá sandwich cumigo si Tom.
>>cbk<< Tom has solved that problem.	Ya resolvé si Tom cunaquel problema.
>>cbk<< Tom heard something outside.	Tiene cosa ya oí si Tom afuera.
>>cbk<< Tom is a pretty good driver.	Bien bueno manejá si Tom.
>>cbk<< Tom was shivering with cold.	Ta temblá si Tom por causa del frialdad.
>>cbk<< We all make mistakes, right?	Todo kita ta man camali, amo ba?
>>cbk<< We all make mistakes, right?	Todo kita ta hace malí, así?
>>cbk<< We live close to the school.	Ta quedá kamé cerca na escuela.
>>cbk<< We thought you were singing.	Pensaba kamé ta cantá tu.
>>cbk<< We've arrived a little late.	Ya llegá kamé un poco atrasáo.
>>cbk<< We've brought you a present.	Tiene kamé regalo para cuntigo.
>>cbk<< Who else will be doing that?	Quien pa ay hacé cunaquel?
>>cbk<< Why are you telling me this?	Por que tu ta ablá se cumigo?
>>cbk<< Why did you buy the flowers?	Por que tu ya comprá cunel maga flores?
>>cbk<< Why is Jupiter so beautiful?	Por que bien vale el Júpiter?
>>cbk<< You can't come over tonight.	Hindé tu puede vené aqui luego de noche.
>>cbk<< You can't come over tonight.	No puede tu vené aqui luego de noche.
>>cbk<< All of my brothers have jobs.	Todo de mío maga hermano tiene trabajo.
>>cbk<< At what time are you leaving?	Que ora tu ay salé?
>>cbk<< Can you tell me what this is?	Puede tu hablá cumigo cosa esté?
>>cbk<< Children like climbing trees.	Quiere quiere el maga batâ subí ponô.
>>cbk<< Could you lend me some money?	Puede tu dale prestá cumigo sen?
>>cbk<< Do you know how to cook fish?	Sabe tu cucí pescáo?
>>cbk<< Do you know what causes that?	Sabe tu cosa ta causá cunese?
>>cbk<< Do you know what he has done?	Sabe tu cosa le ya hacé?
>>cbk<< Do you know what it's called?	Sabe tu cosa ta llamá cunese?
>>cbk<< Don't worry about me so much.	Numá gayót man lingasa cumigo.
>>cbk<< Fortunately, no one was hurt.	Suerte, nuay quien ya sintí duele.
>>cbk<< He came back at nine o'clock.	Ya virá le aquí a las nueve.
>>cbk<< He does not have any friends.	Nuáy le ni un amigo.
>>cbk<< He is from the United States.	De Estados Unidos ele.
>>cbk<< How much is a kilo of grapes?	Cuanto el un kilo de uvas?
>>cbk<< I can't forgive what you did.	No puede yo perdoná el cosa tu ya hacé.
>>cbk<< I decided to go to Australia.	Ya decidí yo andá na Australia.
>>cbk<< I don't care what people say.	No hay yo quever cosa hablá maga gente.
>>cbk<< I don't want to die tomorrow.	No quiere yo murí mañana.
>>cbk<< I don't want to eat anything.	No quiere yo comé masquín cosa.
>>cbk<< I don't want to go to Boston.	No quiere yo andá na Boston.
>>cbk<< I don't want to talk anymore.	No quiere más yo man cuento.
>>cbk<< I gave the book to my friend.	Ya dale yo el libro na de mío amigo.
>>cbk<< I have a magazine in my room.	Tiene yo magazine na de mio cuarto.
>>cbk<< I have no money in my pocket.	No hay yo sen na mio bolsa.
>>cbk<< I have three million dollars.	Tiene yo tres millón dollar.
>>cbk<< I heard someone attacked you.	Ya oí yo tiene quien ya atacá cuntigo.
>>cbk<< I learned a lot this weekend.	Manada yo cosa ya aprendé este fin de semana.
>>cbk<< I never get tired of talking.	Nunca yo ta cansá man cuento.
>>cbk<< I put my shoes under the bed.	Ya poné yo de mio sapatos abajo del cama.
>>cbk<< I saw Tom jump into the pool.	Ya mirá yo cun Tom saltá na swimming pool.
>>cbk<< I'm not your teacher anymore.	Hindé ya yo de tuyo maestro.
>>cbk<< I'm trying to calm them down.	Ta pricurá yo calmá kanila.
>>cbk<< I've already cleaned my room.	Ya limpiá ya yo de mio cuarto.
>>cbk<< It was a full moon yesterday.	Full moon ayer.
>>cbk<< My grandfather gets up early.	Temprano ta levantá de mío abuelo.
>>cbk<< My office door's always open.	PIrmi abierto el puerta de mío oficina.
>>cbk<< No one said it was a diamond.	Nuáy quien ya ablá na diamante aquel.
>>cbk<< She has a book under her arm.	Tiene libro ipit na de suyo subaco.
>>cbk<< Tell Tom not to talk to Mary.	Hablá cun Tom numá man-cuento cun Mary.
>>cbk<< That's none of your business.	Nuay tu quever.
>>cbk<< The car was stuck in the mud.	Ya estancá na lodo el coche.
>>cbk<< The moon is shining brightly.	Ta brillá gayot el luna.
>>cbk<< The towel is in the bathroom.	Tallá na baño el toalla.
>>cbk<< They did what they were told.	Ellos ya hace el cósa kanila ya habla.
>>cbk<< They did what they were told.	Ya hace sila el cósa kanila ya habla.
>>cbk<< They did what they were told.	Sila ya hace el cósa kanila ya habla.
>>cbk<< Tom doesn't have enough food.	No hay bastante comida si Tom.
>>cbk<< Tom has more money than I do.	Mas manada sen si Tom que cumigo.
>>cbk<< Tom is Mary's brother-in-law.	Cuñáo si Tom de Mary.
>>cbk<< Tom is also a friend of mine.	Amigo también de mio si Tom.
>>cbk<< Tom put the baby in his crib.	Ya poné si Tom cunel batâ na cuna.
>>cbk<< Tom showed Mary his calendar.	Ya dale si Tom mirá cun María de suyo calendario.
>>cbk<< Tom told me it didn't matter.	Ya hablá si Tom cumigo na hindê aquel importante.
>>cbk<< Tom wrung the chicken's neck.	Ya hacé palípit si Tom cunel pescuezo del gallina.
>>cbk<< Tom's birthday was yesterday.	Ayer el cumpleaño de Tom.
>>cbk<< We arrived there before noon.	Nuay pa mediodía kamé ya llegá allá.
>>cbk<< We have a party this evening.	Tiene kamé party luego de noche.
>>cbk<< We thought you were sleeping.	Pensaba kamé ta durmí tu.
>>cbk<< What sort of a person is Tom?	Cosa clase de gente si Tom?
>>cbk<< What would you do without me?	Cosa tu hacé si nuay yo?
>>cbk<< What's that next to the door?	Cosa se na costáo del puerta?
>>cbk<< When I'm with you, I'm happy.	Alegre yo si junto yo cuntigo.
>>cbk<< Why did Tom give that to you?	Por qué ya dale si Tom cunese cuntigo?
>>cbk<< Why didn't somebody help Tom?	Por que nuáy quien ya ayudá cun Tom?
>>cbk<< Why do people dye their hair?	Por que ta mandá tiñí el maga gente cunel pelo?
>>cbk<< Will you lend me your pencil?	Dale tu prestá cumigo de tuyo lápiz?
>>cbk<< You can't live without water.	No puede tu viví si nuáy agua.
>>cbk<< Your daughter is very pretty.	Bien bonita de tuyo hija.
>>cbk<< A fly can walk on the ceiling.	Ta puedé caminá el mosca na quísame.
>>cbk<< All Tom's problems are solved.	Solváo todo el problema de Tom.
>>cbk<< All that glitters is not gold.	Hindé todo ta brillá, oro.
>>cbk<< Are you interested in the job?	Interesáo ba tu na trabajo?
>>cbk<< Bring me another fork, please.	Favor, llevá cumigo otro tenedor.
>>cbk<< Did you clean your room today?	Ya limpiá tu de tuyo cuarto este día?
>>cbk<< Did you leave the window open?	Ya dejá tu cunel ventana abierto?
>>cbk<< Did you think I wouldn't come?	Ya pensá ba tu na ay hindê yo vené?
>>cbk<< Didn't you write him a letter?	Nuay tu escribí cunele carta?
>>cbk<< Do you hear the birds singing?	Ta oí tu ta cantá el magá pajaro?
>>cbk<< Do you know what Tom is doing?	Sabe tu cosa ta hacé si Tom?
>>cbk<< Do you know what happens next?	Sabe tu cosa pasá después?
>>cbk<< Do you know when he will come?	Sabe tu cuando le ay vené?
>>cbk<< Do you know where Tom is from?	Sabe tu de donde si Tom?
>>cbk<< Do you know where my watch is?	Sabe tu donde ya de mío reloj?
>>cbk<< Don't you have anything to do?	No hay ba tu cosa hacé?
>>cbk<< He admitted that he was wrong.	Ya admití le na malí le.
>>cbk<< He doesn't talk to me anymore.	Hindé ya le tan cuento cumigo.
>>cbk<< He likes coffee without sugar.	Quiere le cafe no hay asúcar.
>>cbk<< He started talking to the dog.	Ya principiá le conversá cunel perro.
>>cbk<< I don't know what causes that.	No sabe yo cosa ta causá cunaquel.
>>cbk<< I got a lot of mosquito bites.	Bien manada yo mordedura de lamuk.
>>cbk<< I helped Mommy in the kitchen.	Ya ayudá yo cun Mamang na cucina.
>>cbk<< I left my umbrella in the cab.	Ya dejá yo de mío páyung na taxi.
>>cbk<< I promise you I won't be late.	Ta prometé yo cuntigo hindé yo atrasá.
>>cbk<< I wonder who brought the cake.	Quien gahâ ya llevá cunel cake?
>>cbk<< I'm going to miss you so much.	Man miss gayót yo cuntigo.
>>cbk<< I've already finished the job.	Ya acabá ya yo el trabajo.
>>cbk<< Mary is Tom's youngest sister.	Si Mary el pinaka-joven hermana de Tom.
>>cbk<< My friend lives in this house.	Aquí na este casa ta quedá de mío amigo.
>>cbk<< My parents know my girlfriend.	Conoce de mío tata'y nana cunel de mío novia.
>>cbk<< No one can solve this problem.	No hay quien ta puede solvá con este problema.
>>cbk<< No one understands how I feel.	No hay quien ta entendé cosa yo ta sintí.
>>cbk<< Our school is fifty years old.	Tiene ya cincuenta años diaton escuela.
>>cbk<< People don't want to see that.	No quiere se mirá maga gente.
>>cbk<< She is giving the baby a bath.	Ta dale le bañá cunel baby.
>>cbk<< She is giving the baby a bath.	Ta dale le bañá cunel batâ.
>>cbk<< Tell me what you have in mind.	Hablá cumigo cosa tu ta pensá allí na tuyo cabeza.
>>cbk<< That's my umbrella, not Tom's.	De mio se páyung, hindé se de Tom.
>>cbk<< The candle went out by itself.	Ya apagá solo solo el candela.
>>cbk<< The moon is lighting the room.	Ta alumbrá el luna cunel cuarto.
>>cbk<< This room can't be used today.	No puede usá cuneste cuarto este dia.
>>cbk<< This room is too small for us.	Bien diútay gayót este cuarto para kanamon.
>>cbk<< Tom can do that with one hand.	Puede hacé si Tom cunese con uno mano lang.
>>cbk<< Tom has a lot of French books.	Manada si Tom libro acerca del lenguaje francés.
>>cbk<< Tom has a lot of good friends.	Manada buen amigo si Tom.
>>cbk<< Tom has a new pair of glasses.	Tiene si Tom nuevo antipara.
>>cbk<< Tom has something to ask Mary.	Tiene si Tom cosa preguntá cun María.
>>cbk<< Tom has something to ask Mary.	Tiene si Tom cosa quiere preguntá cun María.
>>cbk<< Tom is looking at the ceiling.	Ta mirá si Tom na quísame.
>>cbk<< Tom likes to go fishing alone.	Quiere quiere si Tom andá pescá solo.
>>cbk<< Tom wants to go, but he can't.	Quiere si Tom andá, pero no puede le andá.
>>cbk<< Tom will visit Mary on Monday.	Ay visitá si Tom cun Mary na lunes.
>>cbk<< Tom's parents don't trust him.	Hindê ta confiá cunele el tata y nana de Tom.
>>cbk<< Two passenger ships were sunk.	Dos barco de pasajero ya sumí.
>>cbk<< We didn't stay home yesterday.	Nuáy kamé quedá na casa ayer.
>>cbk<< We play soccer every Saturday.	Todo'l Sábado ta jugá kamé soccer.
>>cbk<< We thought he was an American.	Pensaba kamé Americano ele.
>>cbk<< We thought you didn't like it.	Pensaba kamé nuay tu gustá.
>>cbk<< What kind of wine do you have?	Cosa clase de vino tu tiene?
>>cbk<< Where did Tom buy those shoes?	Donde ya comprá si Tom cunaquel maga sapatos?
>>cbk<< Where should I put my baggage?	Donde yo poné de mio mga bagaje?
>>cbk<< Who taught you how to do this?	Quien ya enseñá cuntigo hace cunese?
>>cbk<< Why are you giving this to me?	Por que tu ta dale esté cumigo?
>>cbk<< Why are you peeling the apple?	Por que tu ta cascá cunel mansanas?
>>cbk<< Why do I have to go to school?	Por que necesita yo andá na escuela?
>>cbk<< Will you go on foot or by bus?	¿Hay andá usted de pie o de bús?
>>cbk<< Will you go on foot or by bus?	¿Hay andá tú de pie o de bús?
>>cbk<< Will you go on foot or by bus?	¿Hay andá vos de pie o de bús?
>>cbk<< Will you go on foot or by bus?	¿Evos hay andá de pie o de bús?
>>cbk<< Will you go on foot or by bus?	¿Usted hay andá de pie o de bús?
>>cbk<< Will you go on foot or by bus?	¿Tú hay andá de pie o de bús?
>>cbk<< You are a beautiful butterfly.	Usted es un bonita mariposa.
>>cbk<< You are a beautiful butterfly.	Usted un bonita mariposa.
>>cbk<< You are a beautiful butterfly.	Tú es un bonita mariposa.
>>cbk<< You are a beautiful butterfly.	Tú un bonita mariposa.
>>cbk<< You are a beautiful butterfly.	Vos un bonita mariposa.
>>cbk<< You are a beautiful butterfly.	Evos un bonita mariposa.
>>cbk<< You have to leave home at six.	Necesita tu salé na casa a las seis.
>>cbk<< You may sit wherever you like.	Puede tu sintá masquín donde tu quiere.
>>cbk<< Are you a teacher or a student?	Maestro ba tu o estudiante?
>>cbk<< Come inside. It's cold outside.	Vené aquí adentro. Frío allí afuera.
>>cbk<< Did I tell you I got a new job?	Ya hablá ba yo cuntigo na tiene yo nuevo trabajo?
>>cbk<< Did you put everything in here?	Ya poné tu todo aqui?
>>cbk<< Do you know what else is wrong?	Sabe tu cosa pa el malî?
>>cbk<< Do you know what you're asking?	Sabe tu cosa tu ta pidí?
>>cbk<< Do you know when she will come?	Sabe tu cuando le ay vené?
>>cbk<< Do you know where she was born?	Sabe tu donde le ya nacé?
>>cbk<< Do you know who that person is?	Sabe tu quien ese gente?
>>cbk<< Do you know why she's so angry?	Sabe tu por qué le bien rabiao?
>>cbk<< He always leaves home at seven.	A las siete le pirmi ta salé na casa.
>>cbk<< How many more forks do we need?	Cuanto tenedor pa kitá necesita?
>>cbk<< How will we get to the airport?	Pakimodo kitá llegá na aeropuerto?
>>cbk<< I bought a dozen pencils today.	Este día ya comprá yo un docena de lápiz.
>>cbk<< I can hear the ocean from here.	Ta puede yo oí cunel oceano desde aqui.
>>cbk<< I can't make out what he wants.	Hindé yo ta entendé cosa le quiere.
>>cbk<< I didn't know Tom was a doctor.	Nuay yo sabé que doctor galê si Tom.
>>cbk<< I didn't know you played chess.	Nusabe yo na ta jugá galê tu chess.
>>cbk<< I didn't know you played chess.	Nusabe yo que ta jugá galê tu chess.
>>cbk<< I don't like this kind of food.	No quiere yo este clase de comida.
>>cbk<< I don't remember what happened.	Hindé yo ta acordá cosa ya pasá.
>>cbk<< I don't want to go to the bank.	No quiere yo andá na banco.
>>cbk<< I don't want to read this book.	No quiere yo lé cuneste libro.
>>cbk<< I got up at seven this morning.	Alas siete yo ya levantá este aga.
>>cbk<< I left the keys with my wallet.	Ya dejá yo el mana llaves con mi porta moneda.
>>cbk<< I left the keys with my wallet.	Ya dejá yo el maga llaves con mi porta moneda.
>>cbk<< I left the keys with my wallet.	Ya dejá yo el mana llaves con mi pitaca.
>>cbk<< I left the keys with my wallet.	Ya dejá yo el maga llaves con mi pitaca.
>>cbk<< I poured water into the bucket.	Ya vacia yo agua na balde.
>>cbk<< I'm going to go feed the ducks.	Andá yo dale comé cunel maga pato.
>>cbk<< I'm not sure that Tom is ready.	Hindê yo siguráo si preparáo ya si Tom.
>>cbk<< I'm still waiting for my order.	Ta esperá pa yo de mio order.
>>cbk<< I'm sure that he went to Tokyo.	Siguráo yo na Tokyo le ya andá.
>>cbk<< Is this where you found my key?	Aqui tu ya encontrá de mio llave?
>>cbk<< Parents need a lot of patience.	Necesita largo el paciencia del maga tata'y nana.
>>cbk<< She climbed down from the roof.	Ya abajá le del techo.
>>cbk<< She listens to religious music.	Ta oí le mga canción religioso.
>>cbk<< The bird was looking for worms.	Ta buscá maga gusano el pajaro.
>>cbk<< The chair is close to the door.	Cerca del puerta el silla.
>>cbk<< The doctor treated my shoulder.	Ya poné cura el doctor na mio hombro.
>>cbk<< The garden is behind the house.	Na detrás del casa el jardín.
>>cbk<< The ice watered down the juice.	Ya hacé aguáo el hielo cunel juice.
>>cbk<< The tines of the fork are bent.	Tikû el maga punta del tenedor.
>>cbk<< The train stopped in Baltimore.	Ya pará el tren na Baltimore.
>>cbk<< There are lots of things to do.	Bien manada cosa para hacé.
>>cbk<< There is no smoke without fire.	Nuáy umu si nuáy fuego.
>>cbk<< They started picking up stones.	Ya principiá silá pipiná maga piedra.
>>cbk<< This building is made of stone.	De piedra esté edificio.
>>cbk<< Today's my grandson's birthday.	Este día el cumpleaño de mío apú hombre.
>>cbk<< Tom can't answer your question.	Nupuede si Tom man-answer de tuyo pregunta.
>>cbk<< Tom doesn't know who shot Mary.	No sabe si Tom quien ya tirá cun Mary.
>>cbk<< Tom is playing cards with Mary.	Ta jugá si Tom baraja junto cun Mary.
>>cbk<< Tom is watching TV in his room.	Ta mirá si Tom TV na suyo cuarto.
>>cbk<< Tom locked himself in his room.	Ya trancá si Tom de suyu sarili na suyu cuarto.
>>cbk<< Tom understands what you don't.	Ta entendé si Tom el cosa tu hindé ta entendé.
>>cbk<< Why don't you have a boyfriend?	Por qué tu no hay novio?
>>cbk<< Why don't you take a seat here?	Por que man tu hindé sintá aqui?
>>cbk<< Will you look after my baggage?	Puede tu viciá de mío maga bagaje?
>>cbk<< You can wear anything you want.	Puede tu vistí masquín cosa tu quiere.
>>cbk<< You can't eat soup with a fork.	No puede tu comé un sopa cun un tenedor.
>>cbk<< You can't eat soup with a fork.	No puede tu comé un sopa usando un tenedor.
>>cbk<< You don't have to work so hard.	Hindé tu necesita trabajá gayót.
>>cbk<< You must keep your hands clean.	Necesita tu mantené limpio tuyu mano.
>>cbk<< You need to tell Tom the truth.	Necesita tu hablá cun Tom el verdad.
>>cbk<< You shouldn't drink this water.	No tú debe tomá este agua.
>>cbk<< You shouldn't drink this water.	No usted debe tomá este agua.
>>cbk<< An old woman was burnt to death.	Ya quemá el un vieja hasta ya murí.
>>cbk<< Are Tom and Mary really married?	De veras casáo ya kanda Tom patí Mary?
>>cbk<< Are Tom and Mary really married?	De veras casáo ya kanda Tom y Mary?
>>cbk<< Didn't you learn that in school?	Nuáy tu se aprendé na escuela?
>>cbk<< Do you eat rice in your country?	Ta comé ustedes canon alí na de ustedes país?
>>cbk<< Do you have a bigger frying pan?	Tiene tu más grande carajay?
>>cbk<< Do you know what Tom looks like?	Sabe tu cosa el hechura de Tom?
>>cbk<< Do you know what the problem is?	Sabe tu cosa el problema?
>>cbk<< Do you know what they're called?	Sabe tu cosa ta llamá cunesos?
>>cbk<< Do you know what time they came?	Sabe tu que hora silá ya vené?
>>cbk<< Do you know who sings that song?	Sabe tu quien ta cantá cunese canción?
>>cbk<< Do you know who this belongs to?	Sabe tu de quien esté?
>>cbk<< Do you know who wrote this book?	Sabe tu quien ya escribí cuneste libro?
>>cbk<< Do you know why the sky is blue?	Sabe tu por qué azul el cielo?
>>cbk<< Do you still want to talk to me?	Quiere pa tu siempre man cuento comigo?
>>cbk<< Have you finished breakfast yet?	Ya acabá ya tu almorzá?
>>cbk<< He asked me whether I like math.	Ya priguntá le cumigo si quiere yo cunel Math.
>>cbk<< He doesn't want to go to school.	No quiere le andá na escuela.
>>cbk<< I caught him stealing the money.	Ya cogí yo cunele ta robá cunel sen.
>>cbk<< I don't have a radio in my room.	No hay yo rádio adentro de mio cuarto.
>>cbk<< I don't like spiders and snakes.	Hindé yo ta gustá mga gagamba patí mga culebra.
>>cbk<< I don't understand the question.	Hindé yo ta entendé cunel pregunta.
>>cbk<< I hope Tom isn't drinking again.	Era hindê tomá olet si Tom.
>>cbk<< I know Tom isn't in the kitchen.	Sabe yo no hay na cocina si Tom.
>>cbk<< I left my gloves in the library.	Ya dejá yo de mío maga guantes na library.
>>cbk<< I left my guitar in your office.	Ya dejá yo de mío guitarra na de tuyo oficina.
>>cbk<< I saw my mother hiding the cake.	Ya mirá yo de mío nana ta escondé cunel cake.
>>cbk<< I was caught with my pants down.	Ya cují cumigo abajáo el pantalón.
>>cbk<< I will bring back a lot of food.	Llevá yo volvé manada comida.
>>cbk<< I won't let him come here again.	Hindé yo cunele mandá vené aquí olét.
>>cbk<< I'd like to know if that's true.	Quiere yo sabé si verdad ese.
>>cbk<< I'm not telling you to go alone.	Hindé yo ta ablá que andá tu solo solo.
>>cbk<< It isn't easy to memorize dates.	Hindé fácil memorizá cunel mga fecha.
>>cbk<< May I see your passport, please?	Puede yo mirá de tuyo pasaporte?
>>cbk<< May I see your passport, please?	Puede yo mirá de tuyo passport?
>>cbk<< She gave the dog to her friends.	Ya dale le el perro na de suyo maga amigo.
>>cbk<< She is afraid of her own shadow.	Medutin ele.
>>cbk<< She is afraid of her own shadow.	Tiene le miedo de suyo propio sombra.
>>cbk<< She was very happy with my gift.	Bien alegre gayot le na de mío regalo.
>>cbk<< There is a church near my house.	Tiene iglesia cerca na de mío casa.
>>cbk<< There is always something to do.	Tiene pirmi cosa para hacé.
>>cbk<< There's a reason for everything.	Todo tiene razón.
>>cbk<< They wash their hands with soap.	Ta lavá silá diila mano cun jabón.
>>cbk<< This is the book that Tom wrote.	Este el libro na ya escribí si Tom.
>>cbk<< Tom already knows what happened.	Sabe ya si Tom el cosa ya pasa.
>>cbk<< Tom isn't a man you can rely on.	Hindê si Tom gente na puede tu confiá.
>>cbk<< Tom knows you did something bad.	Sabe si Tom tiene tu cosa malo ya hacé.
>>cbk<< Tom's essay is better than mine.	Mas bueno pa el essay de Tom que de mio.
>>cbk<< What is the price of this watch?	Cosa el precio desté reloj?
>>cbk<< Where were you when it happened?	Donde tu cuando ya ocurí ese?
>>cbk<< You didn't need to tell me that.	Hindé tu necesita ablá aquel cumigo.
>>cbk<< You know that I don't like eggs.	Sabe tu no quiere yo huevos.
>>cbk<< "It won't be long." "I hope not."	"Hinde man se tarda." "Espera yo kay hinde."
>>cbk<< "May I go with you?" "Of course."	"Puede yo siguí cuntigo?" "Siempre!"
>>cbk<< A drunk man fell down the stairs.	Un hombre borracho ya cae na escalera.
>>cbk<< Can you see the nest in the tree?	Ta puede tu mirá cunel pugarán na pónô?
