>>tuk<< Go.	Gitmek.
>>tuk<< Tom couldn't think of anything else to try.	Tom synanyşmakdan başga hiç zadyň pikirini edip bilmedi.
>>tuk<< Tom doesn't know this is a tough situation.	Tom munuñ kyn ýagdaýdygyny bilenok.
>>tuk<< Tom got here a half an hour after Mary did.	Tom,Marydan ýarym sagat soň geldi.
>>tuk<< Tom has a problem and he wants to solve it.	Tom problemasyny çözmek isleýär.
>>tuk<< Tom has been working since late last night.	Tom geçen gijeden bäri gijä galyp işleýär.
>>tuk<< Tom said that I didn't look like a teacher.	Mugallyma meňzemändigimi Tom aýtdy.
>>tuk<< Tom said that Mary has finished doing that.	Tom Meriniň şony ýaňyja edip bolandygyny aýtdy.
>>tuk<< Tom said that he thought that we could win.	Tom biziň ýeňiz gazanyp biljekdigimizi pikir edendigini aýtdy.
>>tuk<< Tom said that he thought that we could win.	Tom biz utup bilerdik diýip pikir edendigini aýtdy.
>>tuk<< Tom said that he was going to be very late.	Tom örän gijä galjakdygyny aýtdy.
>>tuk<< Tom sat alone on the porch smoking a cigar.	Tom eýwanda çilim çekip ýalñyzlykda oturdy.
>>tuk<< Tom stayed in the hospital for three weeks.	Tom hassahanada üç hepdeläp galdy.
>>tuk<< Tom was wearing a gray suit with a red tie.	Tom çal penjekli we gyzyl boýunbaglydy.
>>tuk<< What time does school start in the morning?	Mekdep irden näçede başlaýar?
>>tuk<< Without Tom's help, Mary would have failed.	Tomyň kömegi bolmadyk bolsa, Mary başaryp bilmezdi.
>>tuk<< Would you like to play tennis every Sunday?	Her ýekşenbe güni tennis oýnamak islärmidiň?
>>tuk<< Would you like to play tennis every Sunday?	Her ýekşenbe güni tennis oýnamak islärmidiňiz?
>>tuk<< You look like you're looking for something.	Bir zat gözleýäne meñzeýärsiñ(iz).
>>tuk<< You were the one who did that, weren't you?	Sen ony edenleñ biridiñ, şeýle dälmi?
>>tuk<< A book worth reading is worth reading twice.	Okamaga degýän kitap, iki gezek okamaga-da degýär.
>>tuk<< Do you really think I want to go back there?	Hekykatdanam sen ol ýere yzyma dolanmak isleýändigimimi düşünýärsiň?
>>tuk<< Do you still not understand what's going on?	Häli hem näme bolandygyny düşüneñokmy.
>>tuk<< Do you think Tom will pass his driving test?	Tom sürüjilik synagyndan geçer diýip pikir edýärsiňizmi?
>>tuk<< Do you think Tom will pass his driving test?	Tom sürüjilik synagyndan geçer diýip pikir edýärsiňmi?
>>tuk<< Have you decided on a name yet for the baby?	Bäbegiňiz üçin bir at saýladyňyzmy?
>>tuk<< I can't believe you don't really like pizza.	Men seniň hakykatdan-da pizza halamaýandygyňa ynanyp bilemok.
>>tuk<< I can't communicate with Tom like I used to.	Öňkisi ýaly Tom bilen habarlaşyp bilemok.
>>tuk<< I didn't think doing that would be much fun.	Ony etmek gaty hezil bolar öýtmedim.
>>tuk<< I don't know how long the concert will last.	Konsertiň näçe wagt dowam etjekdigini men bilemok.
>>tuk<< I don't think Tom is planning on helping us.	Tomuň bize kömek etjekdigini oýlamaýaryn.
>>tuk<< I had all the tools I needed to do that job.	Mende ol işi etmek üçin gerek bolan ähli gurallar bardy.
>>tuk<< I suggest we leave before the guards see us.	Goragçylar bizi görmänkä bärsini terk etmegimizi maslahat berýärin.
>>tuk<< I thought you might like something to drink.	Bir zat içesiňiz geler diýip pikir etdim.
>>tuk<< I thought you might like something to drink.	Bir zat içesiň geler diýip pikir etdim.
>>tuk<< I told you I didn't want to go to Australia.	Men saňa Awstraliýa gitmejekdigimi aýtdym.
>>tuk<< I used to come to Boston about once a month.	Men Bostona bir aý mundan öň gelip gidýädim.
>>tuk<< I wish that I hadn't been late for the exam.	Synaga gijä galmadyk bolsadym diýip arzuw edýärin.
>>tuk<< I'll never ever forgive Tom for what he did.	Eden işi üçin Tomy hiç haçan bagyşlamaýaryn.
>>tuk<< I've been waiting for this moment for years.	Men ýyllrdan bäri bu wagty garaşýaryn.
>>tuk<< It's about thirty minutes from here on foot.	Bärden pyýada otuz minut töweregi.
>>tuk<< Maybe you shouldn't have told Tom the truth.	Belki-de sen Toma hakykady aýtmaly däldiň.
>>tuk<< Most people around here have no electricity.	Bu töwerekde köp adamda tok ýok.
>>tuk<< My father gives my mother all of his salary.	Meniň kakam ejeme aýlygynyň hemmesini berýär.
>>tuk<< No one's ever asked me that question before.	Hiçkim maňa öň bu soragy bermändi.
>>tuk<< Nobody's ever asked me that question before.	Hiçkim maňa öň bu soragy bermändi.
>>tuk<< Pay close attention to what I'm telling you.	Meniň saňa näme diýýanime üns ber.
>>tuk<< Suddenly, the door closed with a loud noise.	Birden, güýçli şakyrdy ses bilen gapy ýapyldy.
>>tuk<< There's a good chance Tom will win the race.	Tomuň bu ýaryşy utmagynyň uly mümkinçiligi bar.
>>tuk<< This is the camera he took the picture with.	Bu onuň surata düşüren kamerasy
>>tuk<< This is the place where Tom and I first met.	Bu ýer Tom we meniň ilkinji gezek duşuşan ýerimiz/
>>tuk<< This isn't the first time that Tom has lied.	Bu Tomuň ilkinji gezek aldaýşy däl.
>>tuk<< Tom asked Mary why she had to do that today.	Tom Meridan onuň näme üçin ol işi şu gün etmelidigini sorady
>>tuk<< Tom deleted all the pictures from his phone.	Tom telefonyndaky ähli suratlary pozdy.
>>tuk<< Tom has a date with Mary tomorrow afternoon.	Tomyň ertir öýlän Mary bilen duşusygy bar.
>>tuk<< Tom has a problem, and he wants to solve it.	Tom problemasyny çözmek isleýär.
>>tuk<< Tom has been to Australia before, hasn't he?	Tom öň Awstraliýada bolup gördidämi?
>>tuk<< Tom is usually on time for his appointments.	Adatça, Tom duşuşyklara wagtynda gelýär.
>>tuk<< Tom is usually on time for his appointments.	Tom adatça duşuşyklara wagtynda gelýär
>>tuk<< Tom promised that he wouldn't drink anymore.	Tom gaýdyp hiç haçan içmejekdigine söz berdi.
>>tuk<< Tom told Mary that she was his one and only.	Tom Merä onuň özüniň ýeketägidini aýtdy.
>>tuk<< Tom wanted to remind Mary about the meeting.	Tom,Maryýa ýygnagy ýatlatmak isledi.
>>tuk<< Tom was told by his doctor to remain in bed.	Toma düşeginden çykmazlygy öz lukmany tarapyndan aýdyldy.
>>tuk<< Tom was told by his doctor to remain in bed.	Toma düşeginde galmaklygy öz lukmany tarapyndan aýdyldy.
>>tuk<< We should probably postpone the competition.	Biz ýaryşy yza süýşürmeli bolsak gerek.
>>tuk<< Which do you like better, bananas or apples?	Haýsysyny has gowy görýärsiňiz, bananymy ýa-da almany?
>>tuk<< Which do you like better, bananas or apples?	Haýsysyny has gowy görýärsiň, bananymy ýa-da almany?
>>tuk<< Why aren't you doing what I asked you to do?	Sen näme üçin meniñ et diýen zadymy etmeýärsiñ?
>>tuk<< Why do you put so much sugar in your coffee?	Name üçin sen öz kofýaña kän şeker goýýañ?
>>tuk<< You don't really want to live there, do you?	Sen aňarda yaşasyn gelenok, şeyle dälmi?
>>tuk<< You're not the only one who cares about Tom.	Tom bilen gyzyklanan diňe sen dälsiň.
>>tuk<< All three of my sisters died in the accident.	Heläkçilikde aýal doganlarymyñ üçüsi hem wepat boldy.
>>tuk<< Aren't you going to be on vacation next week?	Sen näme indiki hepdede dynç alyşa gideñokmy?
>>tuk<< Can you please tell me how deep this lake is?	Siz maňa bu kölüň näçe çuňdugyny aýdyp bilersiziňizmi, haýyş?
>>tuk<< He didn't run fast enough to catch the train.	Ol otla ýetişmek üçin ýeterlik tizlikde ylgamady.
>>tuk<< He tried harder to get good marks than I did.	Gowy bahalar almak üçin menden köp taýýarlandy.
>>tuk<< I always spend Christmas Day with my parents.	Kristmas günini hemişe maşgalam bilen geçirýärin.
>>tuk<< I didn't know that you were such a good cook.	Men seniň şeýle gowy aşpezdigiňi bilmeýärdim.
>>tuk<< I don't know your reasons for not liking Tom.	Men seniň Tomy halamazlyk üçin sebäpleriňi bilemok.
>>tuk<< I don't think Tom knows everybody's name yet.	Tom häli hemmäniň adyny bilýändigini oýlamaýaryn.
>>tuk<< I don't think that Tom knows that I hate him.	Tom meniň ony ýigrenýändigimi bilýändir öýdemok.
>>tuk<< I enjoy climbing trees every once in a while.	Men käwagt agaçlara münmekden lezzet alýan.
>>tuk<< I hear you've done some pretty extreme stuff.	Sen adaty bolmadyk ep-esli zatlary edipsiň diýip eşitýärin.
>>tuk<< I looked around the room, but didn't see Tom.	Men otagyñ içine seredişdirdim, ýõne Tomy görmedim.
>>tuk<< I spent the whole day working as a volunteer.	Bütin günümi meýletinçi bolup işläp geçirdim.
>>tuk<< I spent the whole day working as a volunteer.	Bar günümi meýletinçi bolup işläp geçirdim.
>>tuk<< I think that Tom could easily have done that.	Meniňçe Tom muny aňsatlyk bilen edip bilerdi.
>>tuk<< I thought maybe you wouldn't want to do that.	Muny etmejekdigini düşünipdim.
>>tuk<< I want this luggage taken to my room at once.	Bu goşlaryñ häziriñ özünde meniñ otagyma äkidilmegini isleýärin.
>>tuk<< I'm the only one here who understands French.	Bu ýerde Fransuz diline düşünýän diňe men.
>>tuk<< If you don't feel like doing it, don't do it.	Sen muny edip bilmerin öýtseñ etme.
>>tuk<< Is Tom the only one who knows how to do that?	Onuñ edilişini bilýän ýeke täk adam Tommy?
>>tuk<< It is not easy to distinguish good from evil.	Gowyny ýamadan tapawutlandyrmak kyndyr.
>>tuk<< It is not easy to distinguish good from evil.	Gowyny ýamandan tapawutlandyrmak añsat däldir.
>>tuk<< Mary is waiting for her husband to come home.	Meri öz ýoldaşynyň öýe gelmegini garaşýar.
>>tuk<< Since both Tom and I were sick, we didn't go.	Ikimiz Tom we meniň keselländigimiz sebäpli biz gitmedik
>>tuk<< The only thing Tom does nowadays is watch TV.	Tomuň häzirki wagtda edip ýörän işi telewizor görmekdir.
>>tuk<< The population of Japan is less than America.	Ýaponiýanyñ ilat sany Amerikañkydan az
>>tuk<< The student body is opposed to the new rules.	Okuwçy bileleşigi täze kararlara garşy çykýar.
>>tuk<< These are questions that only Tom can answer.	Bu diňe Tomuň jogap berip biljek soraglary.
>>tuk<< To distinguish right from wrong is difficult.	Dogryny ýalñyşdan tapawutlandyrmak añsat däldir.
>>tuk<< To distinguish right from wrong is difficult.	Dogryny ýalñyşdan tapawutlandyrmak kyndyr.
>>tuk<< Tom came here today looking to start a fight.	Tom uruş başlatmak üçin bu gun bärik geldi.
>>tuk<< Tom did everything he possibly could to help.	Tom kömek etmek üçin elinden gelenini etdi.
>>tuk<< Tom didn't know he had to do that by himself.	Tom muny özi etmelidigini bilmeýärdi.
>>tuk<< Tom doesn't have to tell Mary how to do that.	Tom Mera ony nähili etmelidigini aýtmaly däl.
>>tuk<< Tom doesn't have to tell Mary how to do that.	Tom Mera ol işi nähili ýerine ýetirmelidigi aýtmaly däl.
>>tuk<< Tom hasn't decided what he's going to do yet.	Tom heniz özüniň näme etjekdigi barada netijä gelmedi.
>>tuk<< Tom is going to ask Mary to do that for John.	Tom Meridan ol işi Jonyň deregine etmegini sorajak bolýar.
>>tuk<< Tom locked both doors and all of the windows.	Tom iki gapyny we ähli penjireleri gulplady.
>>tuk<< Tom said that he hasn't yet done any of that.	Tom heniz olaryñ hiçisini hem eden däldigini aýtdy.
>>tuk<< Tom wanted it to be over as soon as possible.	Tom munuň çaltrak gutarmagyny isledi.
>>tuk<< Tom won't be able to find the money Mary hid.	Tom Meryñ bukan puluny tapyp bilmez.
>>tuk<< Two weeks have passed and I haven't seen you.	Iki hepde geçdi we seni görmedim.
>>tuk<< We have to play fair, whether we win or lose.	Utsagam, utulsagam, biz adalatly oýnamaly.
>>tuk<< We will have some visitors one of these days.	Bu günlerde birnäçe myhmanlarymyz boljak
>>tuk<< A wise person wouldn't do something like that.	Akylly/ Parasatly adam beýle iş etmezdi
>>tuk<< I bought some bread on the way home from work.	Men öýden bärik gelýäkäm birazajyk çörek aldym.
>>tuk<< I can't concentrate on that problem right now.	Şu wagt meselä ünsümi berip bilmerin.
>>tuk<< I decided to take his side against the others.	Başgalara garşy onuñ tarapyny saýlamaga karar berdim.
>>tuk<< I didn't think Tom would enjoy Mary's concert.	Meñ pikirimçe Tom Meryñ konserdini halamaz.
>>tuk<< I don't know how to eat sushi with chopsticks.	Men suşini nädip taýajyklar bilen iýmelidigini bilemok.
>>tuk<< I don't think I'd be interested in doing that.	Men özüm şony etmek bilen gyzyklanardym öýdemok.
>>tuk<< I don't think Tom knows anybody at our school.	Tomuň mekdepde kimdir birini tnamaýandygyny oýlamaýaryn.
>>tuk<< I don't think that Tom can help you with that.	Tom saňa kömek edip biler öýdemok.
>>tuk<< I don't think that Tom can help you with that.	Tom saňa kömek edip biler öýtmeýärin.
>>tuk<< I don't think that anyone thinks you're crazy.	Her kim sen dälisiň diýip pikir edýändir öýdemok.
>>tuk<< I don't think this is the only way to do this.	Men bu ýol şuny etmegiň ýeke-täk ýoly dälmikä diýýän.
>>tuk<< I don't want to do that the way Tom suggested.	Men ony Tomyñ maslahat berişi ýaly edesim gelenok.
>>tuk<< I don't want to hear anything you have to say.	Men seniñ näme aýtjagyñy eşitmek islämok.
>>tuk<< I ran as fast as I could to catch up with Tom.	Men Tomy tutmak ucin ylgap bilsimden calt ylgadym.
>>tuk<< I thought that Tom would stop by to say hello.	Tom salamlaşyp geçer diýip pikir etdim.
>>tuk<< I want to study German in addition to English.	Men iňlis dili bilen birlike nemes dilini öwrenmek isleýärin.
>>tuk<< I wasn't very interested in what was going on.	Men näme bolup geçýäni bilen gaty gyzyklanamokdym.
>>tuk<< I'd like to do that with you today, but can't.	Men seniň bilen ony şu gün edesim gelýär welin, ýöne edip bilmeýärin.
>>tuk<< I'm asking myself a lot of the same questions.	Men meňzeş birnäçe soraglary özime berýärin.
>>tuk<< I'm going to come back the day after tomorrow.	Men yzyma birigün gelmekçi bolýan.
>>tuk<< I'm happy to hear you're still working for us.	Häli hem biz bilen işleýändigiňi eşidenime begendim.
>>tuk<< I'm not sure if Tom is still in Boston or not.	Men Tomuň Bostondadygyna ýa-da ýokdugyna ynamly däldirin.
>>tuk<< I'm pretty sure that Tom is in love with Mary.	Marya Tom aşyk bolandygyny gowy bilýärin.
>>tuk<< If you explain it, Tom ought to understand it.	Eger-de sen düşündirseň, Tom oňa düşünäýmeli.
>>tuk<< None of the books in my library are in French.	Meniñ kitaphanamda fransuzça bir kitabam ýok.
>>tuk<< Please wash your hands properly before eating.	Haýyş iýmezden ozal elleriňizi gowy ýuwuň.
>>tuk<< Quite a few books in my library are in French.	Meniñ kitaphanamda azajyk fransuz kitaplar bar.
>>tuk<< Quite a few books in my library are in French.	Meniñ kitaphanamda fransuzça kitaplar az.
>>tuk<< Suicide is a crime in some parts of the world.	Janyña kast etmek dunyaniñ kabir boleklerinde jenayat hasaplanyar.
>>tuk<< The revolution has brought about many changes.	Rewolýusiýadan soň köp üýtgeşmeler boldy.
>>tuk<< This morning's meeting was shorter than usual.	Şu irdenki ýygnak adaty ýygnaklara seredeniňde gysga boldy.
>>tuk<< Tom and Mary think I don't know what happened.	Tom we Mary näme bolanyny men bilmeýändirin öýdýärler.
>>tuk<< Tom asked the same question to several people.	Tom şol bir soragyny birnäçe adama berdi.
>>tuk<< Tom bought a small camera to take on his trip.	Tom öz gezelenjine äkitmäge kiçi kamera satyn aldy.
>>tuk<< Tom came here to help us fill out these forms.	Tom şu formlary doldurmaga bize kömege bärik geldi.
>>tuk<< Tom couldn't understand why Mary was so angry.	Tom Marynyň şeýle gaharlanmagyna düşünip bilmedi.
>>tuk<< Tom is one of the bravest men I've ever known.	Tom meniñ tanaýanlarymyñ arasynda iñ mert adamlaryñ biri.
>>tuk<< Tom is one of the nicest kid I've ever taught.	Tom meniň okadan çagalarymyň iň gowularynyň biri.
>>tuk<< Tom said that he didn't want to do that alone.	Tom muny bur özi etmek islemeýändigini aýtdy.
>>tuk<< Tom says he doesn't want to live in Australia.	Tom Awstraliýada ýaşamak islemeýändigini aýdýar.
>>tuk<< Tom spent a lot of time checking his homework.	Tom öý işi barlap köp wagtyny sarp etdi.
>>tuk<< Tom suggested that I go to Australia with him.	Tom meniň Awstraliýa onuň bilen gitmegimi teklip etdi.
>>tuk<< Tom told me why it was a good idea to do that.	Tom ony etmegiñ näme üçin gowy pikirdigini aýtdy.
>>tuk<< You and Tom used to be friends. What happened?	Sen we Tom öň dostduňyz.Näme boldy?
>>tuk<< You said that you'd give me your answer today.	Sen maña bu gün jogap bereniñi aýtdyñ
>>tuk<< You said that you'd give me your answer today.	Bu gün sen maña jogap bereniñi aýtdyñ
>>tuk<< Did you write anything in your diary yesterday?	Sen gündeligiñe bir zatlar yazdyñmy düýn?
>>tuk<< Did you write anything in your diary yesterday?	Gündeligiñe bir zat ýazdyñmy düýn?
>>tuk<< Do you plan to stay in Australia for very long?	Awstraliýada örän uzak wagtlyk galmagy meýilleşdirýärsiñizmi?
>>tuk<< Does Tom always sneeze this much in the spring?	Tom elmydama ýazda şunuñ ýaly köp asgyrýarmy?
>>tuk<< How would you react if your wife told you that?	Eger-de seniñ aýalyñ diýen bolsa saña, sen nähili jogap bererdiñ?
>>tuk<< How would you react if your wife told you that?	Eger seniñ aýalyñ saña diýen bolsa sen näme jogap bererdiñ?
>>tuk<< I couldn't have done that if you hadn't helped.	Eger sen kömek edmedik bolsañ men ony başarmazdym.
>>tuk<< I don't think that anybody thinks you're crazy.	Her kim sen dälisiň diýip pikir edýändir öýdemok.
>>tuk<< I haven't told Tom about my financial problems.	Men Toma öz maliýe bilen baglanyşykly meselelerim barada aýtmadym.
>>tuk<< I saw Tom stealing something out of your purse.	Tomuň sumkadan bir zat ogurlandygyny gördüm.
>>tuk<< I should probably not tell Tom that I'm hungry.	Belkim Toma aç bolandygymy aýtmalydym.
>>tuk<< I shouldn't have said the things I said to you.	Men saña aýdan zatlarymy aýtmaly däldim.
>>tuk<< I think that Tom didn't need to leave so early.	Meniň pikirimçe Toma beýle ir gaýtmak gerek däldi.
>>tuk<< I was halfway to Boston when my car broke down.	Ulagym döwülende, meniň Bostona ýetmäge ýarty ýolum galypdy.
>>tuk<< I was hoping that you'd answer a few questions.	Birnäçe soraglary jogaplar diyip pikir edýärdim.
>>tuk<< I'll put the kettle on and we'll have some tea.	Men çäýnegi goýaýyn bize çaý içmek üçin
>>tuk<< I'm not scared of Tom, but Tom is scared of me.	Men Tomdan gorkmady, emma Tom menden gorkdy.
>>tuk<< I'm pretty sure they won't allow us to do that.	Men olaryñ bize muny etmäge rugsat bermejegini bilýän
>>tuk<< I'm sorry that I wasn't able to help very much.	Bagyşlañ, meniiñ kän bir kömegim degmedigine
>>tuk<< I'm sorry that I wasn't able to help very much.	Gynansakda men kän bir kömek edip bilmedim
>>tuk<< I'm sorry that I wasn't able to help very much.	Mem gynanýan size onçakly kömek edip bilmedigime
>>tuk<< I've been to Australia more times than Tom has.	Men Toma garañda Awstraliýada kän gezek boldum.
>>tuk<< I've decided it would be better not to do that.	Muny etmegiň dym gowy boljakdygyna karar berdim
>>tuk<< If you see any mistakes, please send a message.	Eger sen ýalñyş görseñ maña hatda ýazyp ugrat haýyşt.
>>tuk<< My mom always says that she will visit me soon.	Ejem hemişe meni görjekdigini aýdar.
>>tuk<< My office is significantly brighter than yours.	Meniň ofisim seniňkiden has ýagty.
>>tuk<< She takes a taxi from the station to her house.	Stansiýadan öýüne çenli taksi tutýar.
>>tuk<< Tom asked if he was really required to do that.	Tom hakykatdanam etmelimi-etmeli dälmiligini sorady.
>>tuk<< Tom doesn't remember the last time he saw Mary.	Tom iň soňky gezek ol oglanyň Maryny göreni ýadyna düşmeýär.
>>tuk<< Tom doesn't want Mary to know where he's going.	Tom özüniň nirä gidip barýandygyny barada Meriniň bilmegini islemedi.
>>tuk<< Tom gets his hair cut about three times a year.	Tom saçyny takmynan ýylda üç sapar deñledýar.
>>tuk<< Tom is very young. He's much younger than Mary.	Tom örän ýaşdyr. Ol Meria seredeniňde has hem kiçidir / ýaşdyr.
>>tuk<< Tom isn't likely to be arrested for doing that.	Tom oñ üçin tussag ediljege meñzänok.
>>tuk<< Tom shouldn't do that kind of thing by himself.	Tom onuñ ýaly zatlary ýekelikde etmeli däl.
>>tuk<< Tom usually only hires people he already knows.	Tom köplenç tanaýan adamlaryny hakyna tutýar.
>>tuk<< Tom was lying when he said he didn't know Mary.	Tom Merini tanamaýandygyny aýdanda ýalan sözleýärdi.
>>tuk<< Tom was still angry even after Mary apologized.	Meryñ ötünç soramagyna garamazdan Tom henizem oña gaharlydy.
>>tuk<< We must make arrangements with them beforehand.	Olar bilen öñünden taýýarlanmaly sen.
>>tuk<< Would it be all right if I don't do that today?	Şu gün şony etmesem ýerbe ýer bolarmy?
>>tuk<< You already know about what Tom did, don't you?	Tomuň edenlerini eýýäm bilýärsiň,dälmi?
>>tuk<< You did that without anyone's help, didn't you?	Sen ol işi hiç biriniň kömegi bilen etdiň, dogry dälmi?
>>tuk<< You should distinguish between right and wrong.	Dogry bilen ýalňyşy tapawutlandyryp bilmelisiň.
>>tuk<< Having met him before, I recognized him at once.	Ony eýýäm duşuşanlygym üçin,ony bir gezekde tanadym.
>>tuk<< How did you find a hair in the soup if I'm bald?	Sen çorbañ içinden nähili saç tapýañ? Men kelä.
>>tuk<< I almost forgot to put my passport in my pocket.	Men tasdanam pasportymy jübime salmagy ýatdan çykarypdym.
>>tuk<< I asked Tom if he knew anyone who taught French.	Toma Fransuzça öwredýen birini tanap-tanamaýandygyny soradym.
>>tuk<< I didn't really need to wait for Tom, but I did.	Maña Toma garaşmak hökman däldi, ýöne men garaşdym.
>>tuk<< I don't think Tom knows anybody who can do that.	Tomuň muny edip biljek adamy tanaýandygyny pikir etmeýärin.
>>tuk<< I don't think that I know Tom as well as you do.	Tomy seniñ tanaýşyñ ýaly tanaýandyryn öýdemok.
>>tuk<< I don't understand why Tom didn't want us there.	Men Tomyñ näme üçin biziñ ol ýerde bolmagymyzy islemeýändigine düşünemok.
>>tuk<< I haven't yet done what Tom said I needed to do.	Men entek Tomyñ et diýen zatlaryny edemok.
>>tuk<< I know that Tom isn't a better driver than Mary.	Tomuñam Merydan gowy sürüji däldigini bilýärin.
>>tuk<< I thought that I saw Tom kissing Mary yesterday.	Men düýn Tomuň Merini ogşap duranyny gördümmikäm diýdim.
>>tuk<< I thought you said you had something to tell me.	Sen maña bir zat aýtmakçy bolýansyñ öýütdim.
>>tuk<< I'm not the one who's supposed to be doing that.	Men ony etmeli adam däl.
>>tuk<< I'm sorry that I'm late. My alarm didn't go off.	Gijä galanym üçin ötünç soraýaryn. Meniň budilnigim jyrlamady.
>>tuk<< I've known Tom since we went to school together.	Bile mekdebe gidenimiz üçin Tomy tanaýaryn.
>>tuk<< Is that the real reason that you don't like Tom?	Ol seniñ Tomy halamaýanlygyñ hakyky sebäbimi?
>>tuk<< It rained every day Tom and I were in Australia.	Tom we men Awstraliýada bolanymyzda her gün ýagyş ýagypdy.
>>tuk<< Many people believe that money brings happiness.	Köp adamlar pul bagt getirýär diýip ynanýanlar.
>>tuk<< My speech will only be about three minutes long.	Meniň çykyşym diňe üç minut töweregi bolar.
>>tuk<< The man who I thought was my friend deceived me.	Dostdur öýden adamym meni aldady.
>>tuk<< There's a lot of wind this morning, isn't there?	Şu gün irden köp ýel bar, şeýle dälmi?
>>tuk<< Tom asked Mary what her father did for a living.	Tom Mara kakasynyň ýaşaýyş üçin näme edýändigini sorady.
>>tuk<< Tom cringed when he saw Mary walk into the room.	Tom Marynyň otaga tarap ýöränini görende ýaranjaňlyk etdi.
>>tuk<< Tom didn't know whether Mary could drive or not.	Tom Meryñ ulag sürüp başarýandygyny ýa-da başarmaýandygyny bilmeýärdi.
>>tuk<< Tom has been on the wanted list for three years.	Tom üç ýyldan bäri gözlenýänler sahypasynda.
>>tuk<< Tom is going to eventually learn how to do that.	Tom ahyrsoňy şony nädip etmeligini öwrener.
>>tuk<< Tom is smart enough to answer all the questions.	Tom hemme soraglary jogaplap biljek ýaly akyllydyr.
>>tuk<< Tom is still somewhere in the building, I think.	Tom hali hem binanyň içinde bir ýerlerde.
>>tuk<< Tom looked like he wasn't in a hurry to do that.	Tom ony etmäne howlukýana meñzänokdy.
>>tuk<< Tom said he thought that Mary understood French.	Tom Marynyň Fransuzça bilýändigini düşünýändigini aýtdy.
>>tuk<< Tom wanted to live in Australia with his family.	Tom Awstraliýada öz maşgalasy bilen ýaşamagy isledi.
>>tuk<< You need to do that no matter how tired you are.	Sen nähili ýadaw bolsañam ony hökman edäýmeli.
>>tuk<< You ought to tell Tom to do that more carefully.	Toma muny dym dykkatly etmelidigini aýtmalysyň.
>>tuk<< You should get back home the day after tomorrow.	Sen birigün yzyña öýe gaýtmaly.
>>tuk<< You won't be able to do anything about that now.	Sen indi ol barada hiç zat edibilmersiň.
>>tuk<< You won't be able to do anything about that now.	Siz indi ol barada hiç zat edibilmersiňiz.
>>tuk<< You're wasting your time trying to convince Tom.	Tomy ynandyrjak bolup wagtyňy biderek gidirýärsiň.
>>tuk<< "May I help you?" "Yes, I'm looking for a dress."	"Size kömek edip bilerinmi?" "Howwa, men köýnek gözelýärin."
>>tuk<< Did anyone tell Tom where he should park his car?	Toma maşynyny nirä goýmalydygyny aýdyp bilýän barmy?
>>tuk<< He would sit for hours reading detective stories.	Ol näçe sagatlap detektiw hekaýalary okap oturardy.
>>tuk<< I can teach you how to do that if you want me to.	Eger isleseñ ony nahili etmelidigini saña öwredip bilern.
>>tuk<< I didn't think Tom would tell you how to do that.	Tom saňa şony nädip etmegi aýdardy diýip pikir etmedim.
>>tuk<< I didn't think Tom would tell you how to do that.	Tom size şony nädip etmegi aýdardy diýip pikir etmedim.
>>tuk<< I didn't wake Tom up at 6:30 like he asked me to.	Men Tomy öz diýişi ýaly 6:30-da oýarmadym
>>tuk<< I don't think anyone else wants to do that today.	Bu gun şuny ýene kimdir-biri etmek islär öýdemok.
>>tuk<< I don't think anyone else wants to do that today.	Bu gun şuny ýene kimdir-biri etmek islär öýtmeýärin.
>>tuk<< I don't think anyone else wants to do that today.	Bu gun şuny ýene kimdir-biri etmek islär diýip pikir edemok.
>>tuk<< I suspect that Tom doesn't want to do that today.	Men Tomuň bu işi şu gün etmejekdigini şübheleýärin.
>>tuk<< I teach Tom's children French three times a week.	Men Tomuň çagalaryna hepdede üç gezek Fransuz dilini öwredýärin.
>>tuk<< I think Tom wouldn't be lonely if Mary were here.	Eger Mary bärde bolsady Tom ýalňyz bolmazdy diýip pikir edýärin.
>>tuk<< I think Tom wouldn't be lonely if Mary were here.	Eger Mary bärde bolsady Tom ýalňyz bolmaz öýdýärin.
>>tuk<< I think that Tom won't be in Australia very long.	Meniň pikirimçe Tom Awstraliýada gaty uzak galmaz.
>>tuk<< I thought that you might like something to drink.	Bir zat içesiňiz geler diýip pikir etdim.
>>tuk<< I thought that you might like something to drink.	Bir zat içesiň geler diýip pikir etdim.
>>tuk<< I'll probably do exactly the same thing Tom does.	Men belki hut Tomuň eden zadyny ederin.
>>tuk<< I've translated three French novels into English.	Men üç sany fransuz romanyny iňlisçä terjime etdim.
>>tuk<< Is it true that you built this house by yourself?	Şu öýi seniň özüň gurandygyň çynmy?
>>tuk<< Is it true that you built this house by yourself?	Şu öýi siziň özüňiziň gurandygyňyz hakykatmy?
>>tuk<< There was a Brazilian girl in my class last year.	Geçen ýyl meniň synpymda braziliýaly bir gyz bardy.
>>tuk<< Tom and I've decided to go to Australia together.	Tom ikimiz Awstraliýa bile gitmäge karar berdik.
>>tuk<< Tom and Mary live with their father in Australia.	Tom we Mery Awstraliýada kakalary bilen ýaşaýarlar.
>>tuk<< Tom didn't know Mary wanted to do that yesterday.	Tom Meriniň şony düýn etmek isländigini bilmedi.
>>tuk<< Tom didn't tell Mary he didn't intend to do that.	Tom Merä özüniň şony etmäge niýetlenmändigini aýtmady.
