>>aze<< I'm OK.	Mən yaxşıyam.
>>aze<< Tom really does talk a lot.	Tom həqiqətən çox danışır.
>>aze<< Tom visited Mary yesterday.	Tom dünən Mary'ə baş çəkdi.
>>aze<< Tom was a wonderful person.	Tom əla adam idi.
>>aze<< We accepted his invitation.	Biz onun dəvətini qəbul etdik.
>>aze<< We all die sooner or later.	Gec ya tez hamımız öləcəyik.
>>aze<< Where can I exchange money?	Harada pul dəyişə bilərəm?
>>aze<< Why should we learn French?	Biz niyə fransız dilini öyrənməliyik?
>>aze<< Will he come home by seven?	O, saat yeddiyə kimi evə gələcək?
>>aze<< You must perform your duty.	Siz öz vəzifənizi yerinə yetirməlisiniz.
>>aze<< An elephant has a long nose.	Filin uzun burnu olur.
>>aze<< Do you know this place well?	Bu yeri yaxşı tanıyırsan?
>>aze<< Even Tom got up early today.	Hətta Tom belə bu gün erkən yuxudan durdu.
>>aze<< Fill this bottle with water.	Bu butulkanı su ilə doldur.
>>aze<< France is in western Europe.	Fransa Qərbi Avropadadır.
>>aze<< He doesn't want you to know.	O sənin bilməyini istəmir.
>>aze<< I buy milk almost every day.	Mən demək olar ki hər gün süd alıram.
>>aze<< I don't know where to begin.	Mən bilmirəm hardan başlayım.
>>aze<< I haven't seen Tom for days.	Günlərdir ki, Tom-u görmürəm.
>>aze<< I just saw Tom kissing Mary.	Mən indicə Tomun Merini öpdüyünü gördüm.
>>aze<< I need a box about this big.	Mənə təxminən bu böyüklükdə bir qutu lazımdır.
>>aze<< I recommend that restaurant.	Mən o restoranı məsləhət görürəm.
>>aze<< I thought Tom was at school.	Mən elə bilirdim ki, Tom məktəbdədir.
>>aze<< I try not to think about it.	Bunun haqqında fikirləşməməyə çalışıram.
>>aze<< I try not to think about it.	Çalışıram ki, bunun haqqında düşünməyim.
>>aze<< I want to talk to Tom alone.	Mən Tomla təklikdə danışmaq istəyirəm.
>>aze<< I was born on April 3, 1950.	Mən 1950-ci il aprelin 3-də doğulmuşam.
>>aze<< I was very tired last night.	Ötən gecə çox yorğun idim.
>>aze<< I'll be a little late today.	Bu gün biraz gecikəcəm.
>>aze<< I'm going to need your help.	Sizin köməyinizə ehtiyacım olacaq.
>>aze<< I'm not going to drink this.	Bunu içmək fikrim yoxdur.
>>aze<< I'm not going to drink this.	Bunu içməyəcəm.
>>aze<< I'm playing with my friends.	Mən dostlarımla oynayıram.
>>aze<< I've said what I had to say.	Mən deməli olduğumu demişəm.
>>aze<< It was very windy yesterday.	Dünən çox küləkli idi.
>>aze<< It's too late for apologies.	Üzr istəmək üçün artıq çox gecdir.
>>aze<< Jesus was born in Bethlehem.	İsa Betlehəmdə doğulub.
>>aze<< Let's listen to some Chopin.	Gəl biraz Şopenə qulaq asaq.
>>aze<< Many Americans blamed Spain.	Amerikanların çoxu İspaniyanı günahlandırdı.
>>aze<< Mary is sewing baby clothes.	Meri uşaq paltarı toxuyur.
>>aze<< Mosquitoes like dark colors.	Ağcaqanadlar tünd rəngləri xoşlayırlar.
>>aze<< Mushrooms are in season now.	İndi göbələk mövsümüdür.
>>aze<< My mother has four brothers.	Anamın dörd qardaşı var.
>>aze<< Neither of them are drivers.	Onların heç birisi sürücü deyil.
>>aze<< She greeted us with a smile.	O bizi təbəssümlə salamladı.
>>aze<< She said that she was happy.	O dedi ki, xoşbəxtdir.
>>aze<< Spain is a European country.	İspaniya Avropa ölkəsidir.
>>aze<< Take two of these red pills.	Bu qırmızı həblərdən ikisini götür.
>>aze<< The dog didn't eat the meat.	İt əti yemədi.
>>aze<< There is a cat on the chair.	Stulun üstündə pişik var.
>>aze<< There's a lot we don't know.	Bizim bilmədiyimiz çox şey var.
>>aze<< These oranges are very sour.	Bu portağallar çox turşdurlar.
>>aze<< They're going to torture us.	Onlar bizə işgəncə verəcəklər.
>>aze<< This hat is too big for you.	Bu şlyapa səninçün çox böyükdür.
>>aze<< This is a pocket dictionary.	Bu cib lüğətidir.
>>aze<< This room is cleaned by Tom.	Bu otağı Tom təmizləyib.
>>aze<< Tom can no longer live here.	Tom daha burada yaşaya bilməz.
>>aze<< Tom doesn't want Mary to go.	Tom Merinin getməyini istəmir.
>>aze<< Tom is a responsible driver.	Tom məsuliyyətli sürücüdür.
>>aze<< Tom is always late to class.	Tom həmişə dərsə gecikir.
>>aze<< Tom is an aggressive driver.	Tom aqressiv sürücüdür.
>>aze<< Tom is much better than you.	Tom səndən xeyli yaxşıdır.
>>aze<< Tom is swimming in the pool.	Tom hovuzda üzür.
>>aze<< Tom is used to living alone.	Tom tək yaşamağa öyrəşib.
>>aze<< Tom might understand French.	Tom Fransızca anlaya bilər.
>>aze<< Tom never talks about money.	Tom heç vaxt pul haqqında danışmır.
>>aze<< Tom prefers speaking French.	Tom fransızca danışmağa üstünlük verir.
>>aze<< Tom said that Mary was deaf.	Tom Mary'nin eşitmə qüsurlu olduğunu söylədi.
>>aze<< Tom vomited into the bucket.	Tom vedrənin içinə qusdu.
>>aze<< Tom will be prepared for it.	Tom buna hazır olacaq.
>>aze<< We have two television sets.	Bizim iki televizorumuz var.
>>aze<< We're not in touch with Tom.	Biz Tomla əlaqə saxlamırıq.
>>aze<< Where is the south terminal?	Cənub terminalı hardadır?
>>aze<< Which newspaper do you read?	Hansı qəzeti oxuyursan?
>>aze<< Who can tell the difference?	Kim fərqi deyə bilər?
>>aze<< Why did you leave Tom alone?	Tomu niyə tək qoydun?
>>aze<< Why didn't you go to Boston?	Niyə Bostona getmədiniz?
>>aze<< Why is this happening to us?	Bu niyə bizim başımıza gəlir?
>>aze<< You are as white as a sheet.	Sən kağız kimi ağappaqsan.
>>aze<< You need written permission.	Sizə yazılı icazə lazımdır.
>>aze<< You're forgetting something.	Sən nəyisə unudursan.
>>aze<< You're making a big mistake.	Siz böyük səhv edirsiniz.
>>aze<< A lot of people aren't happy.	Çox insanlar xoşbəxt deyil.
>>aze<< Autumn is my favorite season.	Payız mənim sevimli fəslimdir.
>>aze<< Does this book belong to you?	Bu kitab sizə məxsusdur?
>>aze<< Have you bought a watermelon?	Qarpız almısan?
>>aze<< He always keeps his promises.	O həmişə sözünün üstündə durur.
>>aze<< He can speak eight languages.	O səkkiz dildə danışa bilir.
>>aze<< He was late for the 7:30 bus.	O, 7:30 avtobusuna gecikmişdi.
>>aze<< He's aware of his own faults.	O öz səhvlərindən agahdır.
>>aze<< Her sister lives in Scotland.	Onun bacısı Şotlandiyada yaşayır.
>>aze<< Her son called from New York.	Onun oğlu Nyu-Yorkdan zəng vurdu.
>>aze<< His ambition knows no bounds.	Onun ambisiyası sərhəd tanımır.
>>aze<< I am working at the workshop.	Mən emalatxanada işləyirəm.
>>aze<< I can't take my eyes off her.	Mən gözümü ondan çəkə bilmirəm.
>>aze<< I didn't want this to happen.	Mən bunun baş verməsini istəmirdim.
>>aze<< I gazed at the sea for hours.	Mən saatlarla dənizi izlədim.
>>aze<< I just want to humiliate Tom.	Mən sadəcə Tomu alçaltmaq istəyirəm.
>>aze<< I know you don't know either.	Mən bilirəm ki, siz də bilmirsiniz.
>>aze<< I know you don't know either.	Mən bilirəm ki, sən də bilmirsən.
>>aze<< I thought everyone was happy.	Mən elə bilirdim ki, hamı xoşbətdir.
>>aze<< I wrote my name on the paper.	Mən adımı kağıza yazdım.
>>aze<< I'm going to work by bicycle.	Mən işə velosipedlə gedirəm.
>>aze<< I'm not your teacher anymore.	Mən daha sənin müəllimin deyiləm.
>>aze<< I'm not your teacher anymore.	Mən daha sizin müəlliminiz deyiləm.
>>aze<< I'm trying to save your life.	Mən sənin həyatını xilas etməyə çalışıram.
>>aze<< I've done what I can for Tom.	Tom üçün edə biləcəyimi etdim
>>aze<< Idaho is famous for potatoes.	Aydaho kartofu ilə məşhurdur.
>>aze<< If that happens, let me know.	Əgər bu baş versə, mənə bildir.
>>aze<< Is it a very serious problem?	Bu çox ciddi problemdir?
>>aze<< Japan is smaller than Canada.	Yaponiya Kanadadan balacadır.
>>aze<< Men know nothing about women.	Kişilər qadınlar haqqında heç nə bilmirlər.
>>aze<< My father works at a factory.	Mənim atam fabrikdə işləyir.
>>aze<< Nixon was born in California.	Nikson Kaliforniyada doğulub.
>>aze<< None of my friends play golf.	Mənim dostlarımın heç biri qolf oynamır.
>>aze<< One language is never enough.	Bir dil heç vaxt kifayət deyil.
>>aze<< One of them was Tom's friend.	Onlardan biri Tomun dostu idi.
>>aze<< Please bring me a cup of tea.	Zəhmət olmasa, mənə bir fincan çay gətir.
>>aze<< She was there in the morning.	O səhər burada idi.
>>aze<< Spain is a developed country.	İspaniya inkişaf etmiş ölkədir.
>>aze<< The child's nose is bleeding.	Uşağın burnu qanayır.
>>aze<< The child's nose is bleeding.	Uşağın burnundan qan gəlir.
>>aze<< The monkey climbed up a tree.	Meymun ağaca dırmaşdı.
>>aze<< The train is 30 minutes late.	Qatar 30 dəqiqə gecikir.
>>aze<< These cars are made in Japan.	Bu maşınlar Yaponiyada istehsal olunub.
>>aze<< This dictionary is expensive.	Bu lüğət bahalıdır.
>>aze<< This is my daughter's school.	Bu mənim qızımın məktəbidir.
>>aze<< This is the American Embassy.	Bu Amerika səfirliyidir.
>>aze<< This is the American Embassy.	Bu ABŞ səfirliyidir.
>>aze<< This tea is called green tea.	Bu çay yaşıl çay adlanır.
>>aze<< Tom and Mary are vegetarians.	Tom və Mary vegetariandırlar.
>>aze<< Tom found a four-leaf clover.	Tom dördyarpaqlı yonca tapdı.
>>aze<< Tom hasn't yet given up hope.	Tom hələ ümidini üzməyib.
>>aze<< Tom is an old friend of mine.	Tom mənim köhnə dostumdur.
>>aze<< Tom is proud of his students.	Tom tələbələri ilə fəxr edir.
>>aze<< Tom isn't drinking green tea.	Tom yaşıl çay içmir.
>>aze<< Tom shouldn't go there alone.	Tom oraya yalnız getməməlidir.
>>aze<< Tom will be back after lunch.	Tom qəlyanaltıdan sonra geri gələcək.
>>aze<< Tom will never see you again.	Tom bir də səni heç vaxt görməyəcək.
>>aze<< We weren't always optimistic.	Biz həmişə optimist olmamışıq.
>>aze<< What is the president's plan?	Prezidentin planı nədir?
>>aze<< Why are people scared of you?	Niyə adamlar səndən qorxurlar?
>>aze<< Why don't you just apologize?	Niyə sadəcə üzr istəmirsiniz?
>>aze<< Why is my dad in the kitchen?	Atam niyə mətbəxdədir?
>>aze<< You must answer the question.	Siz suala cavab verməlisiniz.
>>aze<< You remind me of your father.	Sən mənə atanı xatırladırsan.
>>aze<< You won't find anything here.	Siz burada heç nə tapmayacaqsınız.
>>aze<< Did anybody see what happened?	Kimsə nə baş verdiyini gördü?
>>aze<< Did you buy a washing machine?	Paltaryuyan maşın almısınız?
>>aze<< Do you like apples or oranges?	Alma xoşlayırsan ya portağal?
>>aze<< Don't eat before going to bed.	Yatmazdan əvvəl yemə!
>>aze<< Don't say anything to anybody.	Heç kimə heç nə demə!
>>aze<< Don't worry about your family.	Ailənə görə narahat olma.
>>aze<< Don't worry. I'll talk to Tom.	Narahat olma. Mən Tomla danışaram.
>>aze<< He bought me a new dictionary.	O mənə yeni lüğət aldı.
>>aze<< He has fallen in love with me.	O mənə aşiq oldu.
>>aze<< He leaves for school at seven.	O, saat yeddidə məktəbə gedir.
>>aze<< He painted a picture of a dog.	O it şəkli çəkdi.
>>aze<< He returned from the workshop.	O, emalatxanadan qayıtdı.
>>aze<< He was born in Athens in 1956.	O 1956-cı ildə Afinada doğulub.
>>aze<< How many moons does Mars have?	Marsın neçə peyki var?
>>aze<< I came to Japan two years ago.	Mən Yaponiyaya iki il əvvəl gəlmişəm.
>>aze<< I didn't expect this from you.	Səndən bunu gözləmirdim.
>>aze<< I don't have time to help Tom.	Toma kömək etməyə vaxtım yoxdur.
>>aze<< I don't have to clean my room.	Mən otağımı təmizləməyə məcbur deyiləm.
>>aze<< I don't know anyone named Tom.	Mən Tom adlı heç kimi tanımıram.
>>aze<< I don't know how to thank you.	Bilmirəm sizə necə təşəkkür edim.
>>aze<< I don't know how to thank you.	Bilmirəm sənə necə təşəkkür edim.
>>aze<< I hate this part of the movie.	Filmin bu hissəsindən zəhləm gedir.
>>aze<< I have an apartment in Boston.	Mənim Bostonda mənzilim var.
>>aze<< I haven't eaten breakfast yet.	Mən hələ qəlyanaltı etməmişəm.
>>aze<< I learned to live without her.	Mən onsuz yaşamağı öyrəndim.
>>aze<< I live about a mile from here.	Mən buradan təxminən bir mil uzaqlıqda yaşayıram.
>>aze<< I saw a house with a red roof.	Mən qırmızı damlı ev gördüm.
>>aze<< I went to the airport by taxi.	Mən hava limanına taksi ilə getdim.
>>aze<< I'd like to see the agreement.	Sazişi görmək istərdim.
>>aze<< I'm not going to school today.	Mən bugün məktəbə getmirəm.
>>aze<< I'm sure Tom doesn't hate you.	Əminəm ki, Tom sizə nifrət etmir.
>>aze<< I'm sure Tom doesn't hate you.	Əminəm ki, Tom sənə nifrət etmir.
>>aze<< Isn't there a pharmacy nearby?	Buralarda bir aptek yoxdurmu?
>>aze<< It's four o'clock by my watch.	Mənim saatım dördü göstərir.
>>aze<< Japan is an industrial nation.	Yaponiya sənaye ölkəsidir.
>>aze<< Luxembourg is a small country.	Lüksemburq balaca ölkədir.
>>aze<< Oslo is the capital of Norway.	Oslo Norveçin paytaxtıdır.
>>aze<< Please wait five more minutes.	Xahiş edirəm, beş dəqiqə daha artıq gözləyəsiniz.
>>aze<< Relax, Tom. We're on vacation.	Rahat ol, Tom. Biz məzuniyyətdəyik.
>>aze<< She bought a book at the shop.	O, mağazada kitab aldı.
>>aze<< She has something in her hand.	Onun əlində nəisə var.
>>aze<< She is said to have been rich.	Deyirlər ki, o varlıdır.
>>aze<< She looked at him with hatred.	O ona nifrətlə baxdı.
>>aze<< She wants to dye her hair red.	O saçını qırmızıya boyamaq istəyir.
>>aze<< Tasmania belongs to Australia.	Tasmaniya Avstraliyaya aiddir.
>>aze<< That house is built of bricks.	O ev kərpicdən tikilib.
>>aze<< The war had lasted four years.	Müharibə dörd il çəkmişdi.
>>aze<< They became citizens of Japan.	Onlar Yaponiya vətəndaşı oldular.
>>aze<< They haven't contacted us yet.	Onlar hələ bizimlə əlaqə saxlamayıblar.
>>aze<< This box contains five apples.	Bu qutuda beş alma var.
>>aze<< This is a very difficult exam.	Bu çox çətin imtahandır.
>>aze<< This product is made in Italy.	Bu məhsul İtaliyada istehsal olunub.
>>aze<< Tom and Mary are the same age.	Tom və Meri eyni yaşdadırlar.
>>aze<< Tom died in 2013 in Australia.	Tom 2013-cü ildə Avstraliyada öldü.
>>aze<< Tom drank a glass of red wine.	Tom bir qədəh qırmızı şərab içdi.
>>aze<< Tom is too poor to marry Mary.	Tom Meriylə evlənmək üçün çox kasıbdır.
>>aze<< Tom opened a can of tuna fish.	Tom tunes balığı konservi açdı.
>>aze<< Tom said that he liked Boston.	Tom Bostonu xoşladığını dedi.
>>aze<< Tom swallowed his chewing gum.	Tom saqqızını uddu.
>>aze<< Tom washed his face and hands.	Tom üzünü və əllərini yudu.
>>aze<< Watermelons are in season now.	İndi qarpız mövsümüdür.
>>aze<< We were so young at that time.	O vaxtlar biz çox cavan idik.
>>aze<< What kind of wine do you have?	Səndə hansı şərabdan var?
>>aze<< What kind of wine do you have?	Sizdə hansı şərabdan var?
>>aze<< What time does the game start?	Oyun nə vaxt başlayır?
>>aze<< When does the restaurant open?	Restoran nə vaxt açılır?
>>aze<< Women like men with mustaches.	Qadınların bığlı kişilərdən xoşu gəlir.
>>aze<< Would you give me your number?	Mənə öz nömrəni verə bilərsən?
>>aze<< You always say the same thing.	Sən həmişə eyni şeyi deyirsən.
>>aze<< A dead leaf fell to the ground.	Yerə quru bir yarpaq düşdü.
>>aze<< Beer bottles are made of glass.	Pivə butulkaları şüşədən hazırlanır.
>>aze<< Cranes are big beautiful birds.	Durnalar böyük gözəl quşlardır.
>>aze<< He's a member of the golf club.	O, qolf klubunun üzvüdür.
>>aze<< I don't enjoy talking with you.	Mən səninlə danışmaqdan zövq almıram.
>>aze<< I don't need that kind of help.	Mənə elə kömək lazım deyil.
>>aze<< I don't understand the problem.	Mən problemi başa düşmürəm.
>>aze<< I don't want to live by myself.	Mən tək yaşamaq istəmirəm.
>>aze<< I gave her her dictionary back.	Mən onun lüğətini ona geri qaytardım.
>>aze<< I have a black and a white dog.	Mən bir qara və bir ağ itim var.
>>aze<< I hope my dream will come true.	Ümid edirəm arzum həyata keçər.
>>aze<< I hope my dream will come true.	Ümid edirəm ki, arzum reallaşar.
>>aze<< I plan on going home by myself.	Evə tək getməyi planlayıram.
>>aze<< I think I really love you, Tom.	Məncə səni həqiqətən sevirəm, Tom.
>>aze<< I wasn't aware of that problem.	Mənim o problemdən xəbərim yox idi.
>>aze<< It was a lovely autumn evening.	Xoş bir payız axşamı idi.
>>aze<< Italy invaded Ethiopia in 1935.	İtaliya 1935-ci ildə Efiopiyanı işğal etdi.
>>aze<< Japan's army was very powerful.	Yaponiyanın ordusu çox güclü idi.
>>aze<< Kyiv is the capital of Ukraine.	Kiyev Ukraynanın paytaxtıdır.
>>aze<< Madrid is the capital of Spain.	Madrid İspaniyanın paytaxtıdır.
>>aze<< My room is twice as big as his.	Mənim otağım onunkundan iki dəfə böyükdür.
>>aze<< Panda bears live only in China.	Pandalar ancaq Çində yaşayır.
>>aze<< Paris is the capital of France.	Paris Fransanın paytaxtıdır.
>>aze<< She is always dressed in black.	O həmişə qara geyinir.
>>aze<< She's two years older than you.	O səndən iki yaş böyükdür.
>>aze<< Some girls were playing tennis.	Bəzi qızlar tennis oynayırdılar.
>>aze<< Spanish is her native language.	İspan dili onun ana dilidir.
>>aze<< That has nothing to do with me.	Bunun mənə heç bir adiyyatı yoxdur.
>>aze<< That's complicating the matter.	Bu işi çətinləşdirir.
>>aze<< The capital of Ukraine is Kyiv.	Ukraynanın paytaxtı Kiyevdir.
>>aze<< The driver increased his speed.	Sürücü sürətini artırdı.
>>aze<< The letter was written by hand.	Məktub əllə yazılmışdı.
>>aze<< The news spread all over Japan.	Xəbər bütün Yaponiyaya yayıldı.
>>aze<< The squirrel ate the hazelnuts.	Dələ fındıqları yedi.
>>aze<< The talks will last three days.	Danışıqlar üç gün davam edəcək.
>>aze<< The water here is very shallow.	Burada su çox dayazdır.
>>aze<< Their plane will soon take off.	Onların təyyarəsi birazdan qalxacaq.
>>aze<< Their wedding will be tomorrow.	Onların toyu sabah olacaq.
>>aze<< These pants are too big for me.	Bu şalvar mənə çox böyükdür.
>>aze<< This dictionary has 12 volumes.	Bu lüğət 12 cildlikdir.
>>aze<< This time Tom and I are paying.	Bu dəfə Tom və mən oynayırıq.
>>aze<< Tom can't read without glasses.	Tom eynəksiz oxuya bilmir.
>>aze<< Tom doesn't like to eat onions.	Tom soğan yeməyi xoşlamır.
>>aze<< Tom is neither rich nor famous.	Tom nə varlıdır nə də məşhur.
>>aze<< Tom is probably a little tired.	Tom yəqin ki, biraz yorğundur.
>>aze<< Tom knows who broke the window.	Tom pəncərəni kimin sındırdığını bilir.
>>aze<< Tom washes his car once a week.	Tom maşınını həftədə bir dəfə yuyur.
>>aze<< We learn a good deal at school.	Biz məktəbdə çox şey öyrənmişik.
>>aze<< What are you really doing here?	Doğrudan, sən burada neynəyirsən?
>>aze<< You would make a good diplomat.	Səndən yaxşı diplomat olardı.
>>aze<< You would make a good diplomat.	Sizdən yaxşı diplomat olardı.
>>aze<< Doesn't your job start tomorrow?	Sənin işin sabah başlamır?
>>aze<< He does not live there any more.	O, artıq orada yaşamır.
>>aze<< He likes swimming in the summer.	O, yayda üzməyi xoşlayır.
>>aze<< He's good at this sort of thing.	O belə şeylərdə yaxşıdır.
>>aze<< He's leaving for China tomorrow.	O sabah Çinə yola düşür.
>>aze<< How did you know I was Canadian?	Siz hardan bildiniz ki, mən kanadalıyam?
>>aze<< I am going to Spain in the fall.	Mən payızda İspaniyaya gedirəm.
>>aze<< I am thinking about my children.	Uşaqlarımı düşünürəm.
>>aze<< I can't breathe through my nose.	Burnumla nəfəs ala bilmirəm.
>>aze<< I don't want anything from them.	Mən onlardan heç nə istəmirəm.
>>aze<< I had something else on my mind.	Mənim fikrimdə başqa şey var idi.
>>aze<< I hope you'll give me something.	Ümüdvaram ki mənə nəsə verəcəksən.
>>aze<< I looked around, but saw nobody.	Mən ətrafa baxdım amma heç kimi görmədim.
>>aze<< I will buy a new car next month.	Mən gələn ay təzə maşın alacam.
>>aze<< I'd like us to be friends again.	İstərdim ki, yenidən dost olaq.
>>aze<< I've given Tom too many chances.	Mən Tom-a çox şans vermişəm.
>>aze<< Our supply of food is exhausted.	Bizim qida ehtiyatımız tükənib.
>>aze<< Poverty is the root of all evil.	Kasıblıq bütün pisliklərin köküdür.
>>aze<< She doesn't live there any more.	O, artıq orada yaşamır.
>>aze<< She is two years older than you.	O səndən iki yaş böyükdür.
>>aze<< Soccer is very popular in Spain.	Futbol İspaniyada çox populyardır.
>>aze<< Some things are never forgotten.	Bəzi şeylər heç vaxt unudulmur.
>>aze<< Sri Lanka is a beautiful island.	Şri Lanka gözəl adadır.
>>aze<< That isn't your problem anymore.	O daha sənin problemin deyil.
>>aze<< That isn't your problem anymore.	O daha sizin probleminiz deyil.
>>aze<< That's not your problem anymore.	O daha sənin problemin deyil.
>>aze<< That's not your problem anymore.	O daha sizin probleminiz deyil.
>>aze<< The capital of Morocco is Rabat.	Mərakeşin paytaxtı Rabat şəhəridir.
>>aze<< The capital of Poland is Warsaw.	Polşanın paytaxt şəhəri Varşavadır.
>>aze<< The entire town was under water.	Bütün şəhər suyun altında idi.
>>aze<< The fire was on the first floor.	Yanğın birinci mərtəbədə idi.
>>aze<< The guitar player is my brother.	Gitaraçı mənim qardaşımdır.
>>aze<< The movie starts at ten o'clock.	Film saat onda başlayır.
>>aze<< The only vegetarian here is Tom.	Burada tək vegetarian Tom-dur.
>>aze<< The road is too narrow for cars.	Yol maşınlar üçün çox ensizdir.
>>aze<< The sand on the beach was white.	Çimərlikdəki qum ağ idi.
>>aze<< The sun always sets in the west.	Günəş həmişə qərbdə batır.
>>aze<< The train disappeared from view.	Qatar gözdən itdi.
>>aze<< Today is election day in Poland.	Bu gün Polşada seçki günüdür.
>>aze<< Tom almost never eats cucumbers.	Tom demək olar ki heç vaxt xiyar yemir.
>>aze<< Tom didn't even ask me about it.	Tom hətta bu barədə məndən soruşmadı belə.
>>aze<< Tom filled his bag with walnuts.	Tom çantasını qozla doldurdu.
>>aze<< Tom is still doing his homework.	Tom hələ ev tapşırığını edir.
>>aze<< Tom put his hand over his heart.	Tom əlini ürəyinin üstünə qoydu.
>>aze<< Tom was a professional magician.	Tom peşəkar sehrbaz idi.
>>aze<< Turkey was stronger than Greece.	Türkiyə Yunanıstandan daha güclü idi.
>>aze<< We'll be there at half past two.	Biz üçün yarısında orada olacağıq.
>>aze<< Were you an officer in the army?	Sən orduda zabit idin?
>>aze<< What would you recommend we eat?	Yeməyə nə məsləhət görərdin?
>>aze<< Where will you have lunch today?	Bu gün harada nahar edəcəksən?
>>aze<< Armenia is a mountainous country.	Ermənistan dağlıq ölkədir.
>>aze<< Don't trust anybody but yourself.	Özündən başqa heç kimə inanma.
>>aze<< Dublin is the capital of Ireland.	Dublin İrlandiyanın paytaxtıdır.
>>aze<< First, you must protect yourself.	Birincisi, sən özünü müdafiə etməlisən.
>>aze<< He came to Japan seven years ago.	O, Yaponiyaya yeddi il əvvəl gəlib.
>>aze<< How many moons does Jupiter have?	Yupiterin neçə peyki var?
>>aze<< I already told you what happened.	Mən nə baş verdiyini artıq sənə dedim.
>>aze<< I am responsible for the mistake.	Səhvə görə mən cavabdehəm.
>>aze<< I am responsible for the mistake.	Səhvə görə mən məsuliyyət daşıyıram.
>>aze<< I didn't go to school last month.	Keçən ay məktəbə getmədim.
>>aze<< I don't like your sense of humor.	Sənin yumor hissin mənim xoşuma gəlmir.
>>aze<< I don't want you to see me naked.	İstəmirəm ki, məni çılpaq görəsən.
>>aze<< I live on the same street as Tom.	Tomla eyni küçədə yaşayıram.
>>aze<< I thought I could trust you, Tom.	Mən zənn etdim ki, sənə güvənə bilərəm, Tom.
>>aze<< I wouldn't do that if I were you.	Sənin yerində olsaydım bunu etməzdim.
>>aze<< I've already been here two hours.	Mən artıq iki saatdır ki buradayam.
>>aze<< If anyone can fix this, it's Tom.	Bunu təmir edəbiləcək birisi varsa, o da Tomdur.
>>aze<< Love is the answer to everything.	Sevgi hər şeyə cavabdır.
>>aze<< My sister is playing with a doll.	Mənim bacım gəlinciklə oynayır.
>>aze<< Remember what happened last time.	Sonuncu dəfə nə baş verdiyini xatırla.
>>aze<< She was wearing dark brown shoes.	O tünd qəhvəyi ayaqqabı geyinmişdi.
>>aze<< The Virgin Mary is Jesus' mother.	Bakirə Məryəm İsanın anasıdır.
>>aze<< There are many islands in Greece.	Yunanıstanda çoxlu adalar var.
>>aze<< There is no reason for this fear.	Bu qorxu üçün heç bir səbəb yoxdur.
>>aze<< There was a strong wind that day.	O gün güclü külək var idi.
>>aze<< There's no furniture in the room.	Otaqda mebel yoxdur.
>>aze<< There's no need for Tom to hurry.	Tomun tələsməyinə ehtiyac yoxdur.
>>aze<< This house is very big, isn't it?	Bu ev çox böyükdür, elə deyil?
>>aze<< This mushroom is not good to eat.	Bu göbələk yeməli deyil.
>>aze<< Tom always complains, doesn't he?	Tom həmişə şikayətlənir, elə deyil?
>>aze<< Tom gave the dog a piece of meat.	Tom itə bir tikə ət verdi.
>>aze<< Tom has a new girlfriend already.	Tomun artıq yeni sevgilisi var.
>>aze<< Tom lived in Japan for ten years.	Tom 10 il Yaponiyada yaşadı.
>>aze<< We always have to obey the rules.	Biz həmişə qaydalara tabe olmalıyıq.
>>aze<< We can't afford to buy a new car.	Bizim yeni maşın almağa imkanımız yoxdur.
>>aze<< What does she think about my car?	O mənim maşınım haqqında nə düşünür?
>>aze<< When I woke up, I was in the car.	Mən oyananda maşında idim.
>>aze<< Where in Austria did you grow up?	Siz Avstriyanın harasında böyümüsünüz?
>>aze<< Where in Austria did you grow up?	Sən Avstriyanın harasında böyümüsən?
>>aze<< Where's the source of this river?	Bu çayın mənbəyi haradadır?
>>aze<< All the apple trees were cut down.	Bütün alma ağacları kəsilmişdi.
>>aze<< Auckland is a city in New Zealand.	Oklend Yeni Zelandiyada bir şəhərdir.
>>aze<< Belgrade is the capital of Serbia.	Belqrad Serbiyanın paytaxtıdır.
>>aze<< Do you have other pictures of her?	Səndə onun başqa şəkilləri var?
>>aze<< Elephants live in Asia and Africa.	Fillər Asiyada və Afrikada yaşayırlar.
>>aze<< English is not my native language.	İngilis dili mənim ana dilim deyil.
>>aze<< France shares a border with Spain.	Fransa İspaniya ilə həmsərhəddir.
>>aze<< He doesn't have any strength left.	Onun daha gücü qalmayıb.
>>aze<< He teaches English to his friends.	O, dostlarına ingilis dili öyrədir.
>>aze<< He was sitting and reading a book.	O oturub kitab oxuyurdu.
>>aze<< How many photos are in this album?	Bu albomda neçə fotoşəkil var?
>>aze<< I couldn't come because it rained.	Mən yağış yağdığına görə gələ bilmədim.
>>aze<< I didn't intend to break the vase.	Mən vazanı qəsdən qırmadım.
>>aze<< I don't know anything about Japan.	Mən Yaponiya haqqında heç nə bilmirəm.
>>aze<< I don't know what to do right now.	İndi nə edəcəyimi bilmirəm.
>>aze<< I don't want to see anybody today.	Mən bu gün heç kimi görmək istəmirəm.
>>aze<< I gave the dog two pieces of meat.	Mən itə iki tikə ət verdim.
>>aze<< I really hope that doesn't happen.	Mən həqiqətən də ümid edirəm ki, bu baş verməyəcək.
>>aze<< I saw my reflection in the mirror.	Mən güzgüdə öz əksimi gördüm.
>>aze<< I think my German isn't very good.	Zənn edirəm ki, almancam çox yaxşı deyil.
>>aze<< I want Tom to tell me his opinion.	İstəyirəm ki, Tom mənə öz fikrini desin.
