>>ilo<< I try.	Padasek.
>>ilo<< I'd rather stay home and watch TV.	Agtalinaedak laengen iti balay ket agbuyaak iti TV.
>>ilo<< I'll be free all Monday afternoon.	Siwayawayaak inton malem ti Lunes.
>>ilo<< I've been in Boston since October.	Addaak iti Boston idi pay Oktubre.
>>ilo<< Is there an easier way to do this?	Adda kadi nalaklaka a wagas a panangaramid iti daytoy?
>>ilo<< It has to be done a different way.	Masapul a maaramid iti sabali a wagas.
>>ilo<< Lost in thought, I missed my stop.	Iti kauneg ti panagpampanunotko, nalabsak ti pagsardengak.
>>ilo<< None of us actually saw it happen.	Awan kadatayo ti talaga a nakakita a napasamak.
>>ilo<< Painters such as Picasso are rare.	Manmano laeng dagiti pintor a kas ken ni Picasso.
>>ilo<< Please give me something to drink.	Pangngaasim ta ikkannak iti mabalin nga inumek.
>>ilo<< She has known him for a long time.	Nabayagen nga am-ammona isuna.
>>ilo<< The store might be closed already.	Amangan no nakaserra itan ti pagtagilakuan.
>>ilo<< Tom and I walk to school together.	Agkaduakami ken ni Tom a magmagna a sumrek iti eskuela.
>>ilo<< Tom didn't speak French very well.	Saan a makasao a nasayaat ni Tom iti French.
>>ilo<< We celebrate Christmas every year.	Rambakantayo ti Paskua iti tinawen.
>>ilo<< What time do you leave for school?	Ania nga oras a mapanka iti eskuela?
>>ilo<< You look so much like your mother.	Kaing-ingasmo la unay ti nanangmo.
>>ilo<< You may choose whichever you want.	Mabalinmo a pilien ti ania man a kayatmo.
>>ilo<< You must do your homework at once.	Nasken a leppasem a dagus ti asignaturam.
>>ilo<< Disneyland was established in 1955.	Nabangon ti Disneyland idi 1955.
>>ilo<< Do you know where Tom put the keys?	Ammom kadi no sadino ti nangipanan ni Tom kadagiti tulbek?
>>ilo<< Does Tom really want me to do this?	Talaga kadi a kayat ni Tom nga aramidek daytoy?
>>ilo<< He is not interested in art at all.	Awan a pulos panagayatna iti arte.
>>ilo<< He was weak from the loss of blood.	Agkakapsut isuna iti pannakaadas ti darana.
>>ilo<< I paid 300 dollars for this guitar.	Tallo gasut a doliar ti imbayadko iti daytoy a gitara.
>>ilo<< I was born in the month of October.	Nayanakak iti bulan ti Oktubre.
>>ilo<< I'd like to have my blood examined.	Kayatko a maamiris ti darak.
>>ilo<< I'm going to go out this afternoon.	Rummuarak ita a malem.
>>ilo<< It was hot, so I turned on the fan.	Nakabarbara, isu a pinaandarko ti bentilador.
>>ilo<< It's illegal to park your car here.	Maiparit nga iparadam ti kotsem ditoy.
>>ilo<< October is still three months away.	Tallo a bulan pay sa Oktubre.
>>ilo<< She was pleased to see the results.	Naragsakan isuna a nakakita kadagiti resulta.
>>ilo<< There were few people on the beach.	Bassit ti tao iti aplaya.
>>ilo<< There's only one possible decision.	Adda maymaysa laeng a mabalin a pangngeddeng.
>>ilo<< Tom didn't agree with our decision.	Saan nga immanamong ni Tom iti pangngeddengtayo.
>>ilo<< Tom didn't understand the question.	Saan a naawatan ni Tom ti saludsod.
>>ilo<< Was Tom the one who suggested this?	Ni kadi Tom ti nangisingasing iti daytoy?
>>ilo<< We captured some of the terrorists.	Nakemmegmi ti sumagmamano kadagiti terorista.
>>ilo<< What do you usually do on weekends?	Ania kadi ti masansan nga aramidenda no kasta a Sabado wenno Domingo?
>>ilo<< What would you like me to tell Tom?	Ania ti kayatmo nga ibagak ken ni Tom?
>>ilo<< Who are you to tell me what I need?	Asinoka koma a mangibaga kaniak no ania ti masapulko?
>>ilo<< Why are you telling me all of this?	Apay nga ibagbagam kaniak amin dagitoy?
>>ilo<< Why did you decide to learn French?	Apay nga inkeddengmo ti agsursuro iti French?
>>ilo<< Why did you tell Tom Mary was ugly?	Apay nga imbagam ken ni Tom a nalaad ni Mary?
>>ilo<< Why didn't you just tell the truth?	Apay a dimo latta koman imbaga ti agpayso?
>>ilo<< Would you please sign our petition?	DI la mabalin a pirmaam ti petisionmi?
>>ilo<< You didn't tell me Tom was so rich.	Dimo imbagbaga kaniak a nakabakbaknang gayam ni Tom.
>>ilo<< You may do whatever you want to do.	Mabalinmo nga aramiden ti ania man a kayatmo nga aramiden.
>>ilo<< You must clean your room every day.	Masapul a dalusam ti siledmo iti inaldaw.
>>ilo<< You should not keep people waiting.	Saan a maiparbeng a pagur-urayem dagiti tao.
>>ilo<< You wouldn't recognize Tom anymore.	Saanmon a malasin pay ni Tom.
>>ilo<< A lot has changed since I was a kid.	Adun ti nagbaliw sipud pay idi maysaak nga ubing.
>>ilo<< A lot of people are waiting for Tom.	Adu a tattao ti agur-uray ken ni Tom.
>>ilo<< Are you coming to the party tonight?	Umayka kadi iti pasken inton rabii?
>>ilo<< Ask Tom if he'll attend the meeting.	Saludsodem ken ni Tom no dumar-ay isuna iti miting.
>>ilo<< Can you get Tom to come to my party?	Mabalin kadi a sukonem ni Tom tapno umay iti panagpaskenko?
>>ilo<< Could you please wipe off the table?	DI la mabalin a punasam daydiay lamisaan?
>>ilo<< Didn't you say Tom was an architect?	Saan kadi nga imbagam a maysa nga arkitekto ni Tom?
>>ilo<< Do you know which suitcase is Tom's?	Ammom kadi no ania kadagitoy ti maleta ni Tom?
>>ilo<< Do you think they'll be back for me?	Panagkunam, agsublida ngata gapu kaniak?
>>ilo<< Does anyone know why Tom isn't here?	Adda kadi makaammo no apay nga awan ni Tom ditoy?
>>ilo<< Don't let Tom take advantage of you.	Dimo itulok a gundawayannaka ni Tom.
>>ilo<< Has that been scientifically proven?	Napaneknekan kadin a sientipikal?
>>ilo<< He died when he was scarcely thirty.	Tallopulona laeng idi matay.
>>ilo<< He encountered unexpected obstacles.	Nakasagang kadagiti saan a ninamnama a lapped.
>>ilo<< He was in the army for thirty years.	Nagpaay isuna iti armada iti uneg ti tallopulo a tawtawen.
>>ilo<< He was sitting between Mary and Tom.	Nakatugaw isuna iti nagbaetan da Mary ken Tom.
>>ilo<< How long may I borrow this notebook?	Kasano kabayag a mabalin a bulodek daytoy a kuaderno?
>>ilo<< I had my fingers caught in the door.	Naipit dagiti ramayko iti ridaw.
>>ilo<< I have a feeling you'll get the job.	Panagriknak ket maalam ti trabaho.
>>ilo<< I know Tom doesn't want to be there.	Ammok a saan a kayat ni Tom nga adda isuna ditoy.
>>ilo<< I really wish I knew how to do that.	Arapaapko la unay a masursurok no kasano nga aramiden dayta.
>>ilo<< I think we have a lot to talk about.	Panagkunak ket adu ti nasken a pagsaritaanta.
>>ilo<< I think you know what we have to do.	Panagkunak ket ammomon no ania ti rumbeng nga aramidenta.
>>ilo<< I went to the coffee shop yesterday.	Napanak sadiay pagkapean idi kalman.
>>ilo<< I'll begin doing the job right away.	Rugiakon a dagus ti trabaho.
>>ilo<< I'm actually coming home in October.	Kinapudnona ket agawidak inton Oktubre.
>>ilo<< I'm going there. No one can stop me.	Mapanak idiay. Awan ti makalapped kaniak.
>>ilo<< Mary is expecting a baby in October.	Padpadaanan ni Mary ti panagpasngayna inton Oktubre.
>>ilo<< Nobody knows it's my birthday today.	Awan makaammo a kasangayko ita.
>>ilo<< Please go away and stop annoying me.	Pangngaasim ta adaywannak ket sardengannak a kuriruen.
>>ilo<< The band sounds different this time.	Sabali ti panagtugtog ti banda ita a gundaway.
>>ilo<< This song reminds me of my hometown.	Malagipko ti nakayanakak nga ili iti daytoy a kanta.
>>ilo<< Tom died in October three years ago.	Pimmusay ni Tom iti Oktubre tallo a tawenen ti napalabas.
>>ilo<< Tom has other things to worry about.	Adda pay sabsabali a bambanag a pakasikoran ni Tom.
>>ilo<< Tom has to give Mary another chance.	Ikkan koma ni Tom ni Mary iti sabali a gundaway.
>>ilo<< Tom is going to eat with us tonight.	Makipangrabii ni Tom ita kadatayo.
>>ilo<< Tom is richer than anyone else here.	Nabakbaknang ni Tom ngem iti uray asino man ditoy.
>>ilo<< Tom is the tallest guy in his class.	Ni Tom ti katayagan a lalaki iti klasena.
>>ilo<< Tom is way too old to be doing this.	Lakay unayen ni Tom tapno aramidenna daytoy.
>>ilo<< Tom was Mary's first real boyfriend.	Ni Tom ti kaunaan a napaypayso a nobio ni Mary.
>>ilo<< Tom was captured almost immediately.	Agarup natiliw met la a dagus ni Tom.
>>ilo<< Tom wrote that song three years ago.	Insurat ni Tom dayta a kanta tallo a tawenen ti napalabas.
>>ilo<< We have a lot of things to consider.	Adu dagiti bambanag a masapul nga ikonsideratayo.
>>ilo<< We might not need to sell our house.	Mabalin a saanen a kasapulan nga ilakotayo ti balaytayo.
>>ilo<< We never lock our doors around here.	Saanmi nga ibalbalunet dagiti ridawmi ditoy.
>>ilo<< When I grow up, I want to be a king.	Inton dumakkelak, kayatko ti agbalin nga ari.
>>ilo<< When did you have your wall painted?	Kaano a pinapintaam ti didingmo?
>>ilo<< Who would you recommend for the job?	Asino kadi ti maisingasingmo para iti trabaho?
>>ilo<< Will you call me when you get there?	Awagannakto kadi no makadanonkan idiay?
>>ilo<< You always try to get what you want.	Kanayonmo nga ikagumaanan a maala no ania ti kayatmo.
>>ilo<< You don't have to tell me your name.	Saan a nasken nga ibagam kaniak ti naganmo.
>>ilo<< You need to be home before midnight.	Masapul nga addaka iti balay sakbay ti tengnga ti rabii.
>>ilo<< You promised me that you would help.	Inkarim kaniak a tumulongka.
>>ilo<< Are you sure this is where Tom lives?	Siguradoka kadi a ditoy ti pagnanaedan ni Tom?
>>ilo<< Do you think you could take me there?	Panagkunam mabalinnak nga ipan sadiay?
>>ilo<< He had three sons who became lawyers.	Tallo a putotna a lallaki ti nagbalin nga abogado.
>>ilo<< He has a large family to provide for.	Dakkel ti familiana a pakanenna.
>>ilo<< How long has Tom been a student here?	Kasano kabayagen nga estudiante ni Tom ditoy?
>>ilo<< I don't know anything about your job.	Awan a pulos ti ammok maipapan iti trabahom.
>>ilo<< I returned to Boston on October 20th.	Nagsubliak iti Boston idi maika-20 ti Oktubre.
>>ilo<< I wonder why everybody left so early.	Masdaawak no apay a nakasapsapa a pimmanaw ti amin.
>>ilo<< I'm sorry, but I can't hear you well.	Dispensarem, ngem dika mangngeg a nalaing.
>>ilo<< I'm too scared to go there by myself.	Mabutengak unay a mapanak sadiay a sisiak.
>>ilo<< I'm used to staying up late at night.	Nairuamak nga agpuypuyat iti rabii.
>>ilo<< If possible, I'd like to go home now.	No mabalin, kayatko ti agawid itan.
>>ilo<< My best friend really understands me.	Maawatannak a talaga ti kagayyemak unay.
>>ilo<< Picasso painted this picture in 1950.	Impinta ni Picasso daytoy a ladawan idi 1950.
>>ilo<< The magazine is issued twice a month.	Mamindua iti tunggal bulan a mairuruar ti magasin.
>>ilo<< The terrorists released the hostages.	Winayawayaan dagiti terorista dagiti hostage.
>>ilo<< They incited him to commit the crime.	Sinugsoganda isuna a mangaramid iti krimen.
>>ilo<< Tom and Mary became lifelong friends.	Da Tom ken Mary ket nagsinninged iti tungpal biag.
>>ilo<< Tom and Mary were married in October.	Nagkallaysa da Tom ken Mary iti Oktubre.
>>ilo<< Tom is three years younger than Mary.	Naub-ubing iti tallo a tawen ni Tom ngem ni Mary.
>>ilo<< We might not need to sign a contract.	Mabalin a saanen a masapul nga agpirmatayo iti maysa a kasuratan.
>>ilo<< We'll continue this discussion later.	Ituloytayonto daytoy a patangan inton madamdama.
>>ilo<< We've got to do something about that.	Nasken nga adda maaramidtayo a pamuspusan maipapan iti dayta.
>>ilo<< What do you think of the new teacher?	Ania ti makunam maipapan iti kabarbaro a mannursuro?
>>ilo<< What time will you have to go to bed?	Ania nga oras a mapanka maturog?
>>ilo<< Do you know how long you've been here?	Ammom kadi no kasanon kabayag nga addaka ditoy?
>>ilo<< Don't be afraid of speaking in public.	Dika agamak nga agsao iti publiko.
>>ilo<< He doesn't do stupid things like that.	Saanna nga aramiden dagiti linalanggong a bambanag a kakasta.
>>ilo<< How many hours have you been studying?	Mano nga oras a nagbasaka kadagiti leksionmo?
>>ilo<< I don't want to know what his name is.	Diak kayat a maammuan no ania ti naganna.
>>ilo<< I was disappointed with those results.	Naupayak kadagidiay a resulta.
>>ilo<< I will be fourteen years old tomorrow.	Katorsekon no bigat.
>>ilo<< Please teach me how to play this game.	Pangngaasim ta isurom kaniak no kasano nga ay-ayamen daytoy nga ay-ayam.
>>ilo<< The death penalty should be abolished.	Rebbengna a maikkat ti dusa a patay.
>>ilo<< The exhibit runs through October 20th.	Maisayangkat ti eksibit agingga iti maika-20 ti Oktubre.
>>ilo<< Tom is sitting on the sofa by himself.	Nakatugaw nga agmaymaysa ni Tom didiay sofa.
>>ilo<< Tom will be furious when he finds out.	Makapungtot la ketdi ni Tom no maammuanna.
>>ilo<< We returned to Boston on October 20th.	Nagsublikami iti Boston idi maika-20 ti Oktubre.
>>ilo<< Does anybody here know where Tom lives?	Adda kadi makaammo kadakayo ditoy no sadino ti pagnanaedan ni Tom?
>>ilo<< Don't you get it? This isn't about you.	Dimo kadi maawatan? Saan a maipanggep kenka daytoy.
>>ilo<< Don't you just hate this kind of movie?	Dimo kadi kagura ti kastoy a klase ti sine?
>>ilo<< He killed himself at the age of thirty.	Pinapatayna ti bagina iti edadna a tallopulo.
>>ilo<< He wanted to be respected by everybody.	Kayatna a respetuen isuna ti amin.
>>ilo<< He would be very glad to hear the news.	Maragsakan la ketdi isuna a makangngeg iti damag.
>>ilo<< I have neither time nor money for that.	Awan oras wenno kuartak a para iti dayta.
>>ilo<< I really need to talk to you privately.	Kasapulan unay a makisaritaak kenka a duduata laeng.
>>ilo<< I returned from Boston on October 20th.	Nagsubliak manipud Boston idi maika-20 ti Oktubre.
>>ilo<< It was a fine day, so we went swimming.	Nasayaat nga aldaw, isu a napankami naglalangoy.
>>ilo<< Japan relies on Arab countries for oil.	Agpampanuray ti Japon iti lana kadagiti Arabo a pagilian.
>>ilo<< Our teacher gives us a lot of homework.	Inikkannakami ti mannursuromi iti adu nga aramiden iti pagtaengan.
>>ilo<< That was why he entered the university.	Kasta no apay a simrek isuna iti unibersidad.
>>ilo<< That's not happening till October 20th.	Saan a mapasamak dayta agingga iti maika-20 ti Oktubre.
>>ilo<< The children were swimming in the nude.	Silalabus dagiti ubbing nga aglalangoy.
>>ilo<< Tom certainly knows why Mary left town.	Ammo la ketdi ni Tom no apay a pimmanaw ni Mary iti ili.
>>ilo<< Tom didn't understand a word Mary said.	Saan a naawatan ni Tom ti balikas nga imbaga ni Mary.
>>ilo<< What do you think of the original plan?	Ania ti makunam iti orihinal a plano?
>>ilo<< Come here. I want to show you something.	Umayka ditoy. Adda ipakitak kenka.
>>ilo<< Could you please tell me how to do this?	Di la mabalin nga ibagam no kasano nga aramiden daytoy?
>>ilo<< Do you have any idea why Tom isn't here?	Adda kadi pamalpalatpatam no apay nga awan ni Tom ditoy?
>>ilo<< Do you think we made the wrong decision?	Panagkunam kadi ket biddut ti pangngeddengtayo?
>>ilo<< Don't you just hate the way Tom behaves?	Dimo kadi, aya, kagura ti ug-ugalien ni Tom?
>>ilo<< Finding a good place to live isn't easy.	Ti panagbirok ti nasayaat nga lugar nga paggianan ket haan nga nalaka.
>>ilo<< He ordered them to release the prisoner.	Imbilinna kadakuada nga ibulosda ti balud.
>>ilo<< How many schools are there in your city?	Mano dagiti eskuela nga adda iti siudadyo?
>>ilo<< I can read German, but I can't speak it.	Makabasaak iti Gewrman, ngem diak makapagsao.
>>ilo<< I couldn't get another copy of the book.	Awanen ti maalak a sabali a kopia ti libro.
>>ilo<< I don't feel that way about you anymore.	Saankon a marikna ti kas idi kenka.
>>ilo<< I don't have as much money as you think.	Awan ti kas kaadu ti kuartak a kas iti pampanunotem.
>>ilo<< I lost the watch that my father gave me.	Napukawko ti relo nga inted ni tatangko.
>>ilo<< I need your passport and three pictures.	Masapulko ti pasaportem ken tallo a ladawam.
>>ilo<< I want to become a doctor in the future.	Kayatko ti agbalin a doktor iti masakbayan.
>>ilo<< None of us did what Tom wanted us to do.	Awan kadatayo ti nangaramid iti kayat ni Tom nga aramidentayo.
>>ilo<< Sputnik was launched on October 4, 1957.	Naipatayab ti Sputnik idi Oktubre 4, 1957.
>>ilo<< The public was notified on October 20th.	Napakaammuan ti publiko idi maika-20 ti Oktubre.
>>ilo<< They were all surprised to see me there.	Nasdaawda amin a nakakita kaniak idiay.
>>ilo<< Tom didn't think that would ever happen.	Saan nga ipagarup ni Tom a mabalin a mapasamak dayta.
>>ilo<< Tom is saving money so he can go abroad.	Agur-urnong ni Tom iti kuarta tapno makapan iti sabali a pagilian.
>>ilo<< Tom promised me that he would come back.	Inkari ni Tom kaniak nga agsubli isuna.
>>ilo<< What's your favorite television program?	Ania ti paboritom a programa iti telebision?
>>ilo<< "Where's your cousin?" "She's just left."	"Sadino ti ayanna ti kasinsinmo?" "Kapampanawna laeng."
>>ilo<< Absence of rain caused the plants to die.	Ti kaawan ti tudo ti makaigapu iti pannakatay dagiti mula.
>>ilo<< As for me, I have nothing to complain of.	No siak la a maysa, awan ti reklamok.
>>ilo<< Do you know what Tom's favorite color is?	Ammom kadi no ania ti paborito ni Tom a maris?
>>ilo<< He called his mother up from the airport.	Inawaganna ti nanangna manipud iti eropuerto.
>>ilo<< How long have you and Tom been roommates?	Kasano kabayagen nga agkakuartuankayo ken ni Tom?
>>ilo<< How would you feel if your wife left you?	Ania ti mariknam no pinanawannaka ti baketmo?
>>ilo<< I had no difficulty in finding his house.	Saanak a narigatan a nangsapul iti balayna.
>>ilo<< I will tell it to him at the proper time.	Ibagakto kenkuana iti maitutop a panawen.
>>ilo<< Run fast, or you will be late for school.	Partakam ti agtaray, maladawkan iti eskuela.
>>ilo<< The doctors are still trying to save Tom.	Padpadasen pay laeng dagiti doktor nga alawen ni Tom.
>>ilo<< The pyramids were built in ancient times.	Naaramid dagiti piramide kadagiti duog a panawen.
>>ilo<< The rest of us all had the smoked salmon.	Ti dadduma kadatayo amin ket bagitayo ti sinuoban a salmon.
>>ilo<< They showed me a lot of beautiful photos.	Pinakitaandak iti adu a nagpipintas a retrato.
>>ilo<< Tom didn't think you would like the idea.	Saan nga ipagarup ni Tom a magustuam ti idea.
>>ilo<< Tom knew why Mary wanted to quit her job.	Ammo ni Tom no apay a kayat ni Mary ti agikkat iti trabaho daytoy.
>>ilo<< Tom might go to Boston to look for a job.	Amangan no mapan idiay Boston ni Tom nga agbirok iti trabaho.
>>ilo<< Tom, Mary and John have all been invited.	Naawis amin da Tom, Mary ken John.
>>ilo<< We must stop Tom before he kills himself.	Masapul a lapdantayo ni Tom sakbay a mapatayna ti bagbagina.
>>ilo<< When the cat is away, the mice will play.	No awan ti pusa, agay-ayam dagiti bao.
>>ilo<< Who's the boy that's swimming over there?	Asino daydiay ubing a lalaki nga aglanglangoy idiay?
>>ilo<< Call your mom and tell her you'll be late.	Awagam ni inam ken ibagam nga maladawka.
>>ilo<< I don't think there's much to worry about.	Panagkunak ket awan met ti pakadanagan unay.
>>ilo<< I have already finished reading this book.	Nalpaskon a nabasa daytoy a libro.
>>ilo<< I took shelter under my friend's umbrella.	Nakilinongak iti payong ti gayyemko.
>>ilo<< I wish our classroom were air-conditioned.	De-aircon koma ti siled-pagadalanmi.
>>ilo<< I've got accustomed to speaking in public.	Nairuamakon nga agsao iti publiko.
>>ilo<< Tom looked so different after his haircut.	Sabalin unayen ti langa ni Tom kalpasan a makapagpapukis.
>>ilo<< Tom plans to stay in Boston until October.	Panggep ni Tom ti agtalinaed iti Boston agingga iti Oktubre.
>>ilo<< We need to save up money to buy a new car.	Masapul nga agurnongtayo iti kuarta tapno makagatangtayo iti baro a kotse.
>>ilo<< What would you do if you were in my place?	Ania ti aramidem no sika ti adda iti lugarko?
>>ilo<< Cowards die many times before their deaths.	Mamin-adu a matay dagiti takrot sakbay ti ipapatayda.
>>ilo<< His main object in life was to become rich.	Ti kangrunaan a panggepna iti biag ket ti agbalin a baknang.
>>ilo<< How long have you and Tom been living here?	Kasano kabayagnan nga agnanaedkayo ken ni Tom ditoy?
>>ilo<< I am interested in studying German culture.	Interesadoak a mangadal iti kultura nga Aleman.
>>ilo<< I was taken to a circus for the first time.	Intugotdak iti circus iti umuna a gundaway.
>>ilo<< I've been saving up to buy a new saxophone.	Agur-urnongak tapno adda igatangko iti baro a saxophone.
>>ilo<< It was raining and the game was called off.	Agtudtudo isu a naisardeng ti ay-ayam.
>>ilo<< She prides herself on her skill in cooking.	Ipagpampannakkelna ti kinalaingna nga agluto.
>>ilo<< The journalist was kidnapped by terrorists.	Kinidnap dagiti terorista ti agiwarwarnak.
>>ilo<< Tom and Mary are the only ones still alive.	Da laengen Tom ken Mary ti adda a sibibiag pay.
>>ilo<< Tom begged Mary to give him another chance.	Nagpakaasi ni Tom ken ni Mary nga ikkanna iti sabali pay a gundaway.
>>ilo<< Tom closed his eyes and thought about Mary.	Nagkidem ni Tom ket pinanunotna ni MAry.
>>ilo<< Tom got his first car when he was eighteen.	Naaddaan ni Tom iti kotse idi agtawen iti sangapulo-ket-walo.
>>ilo<< Tom is the only person who can help me now.	Ni Tom laeng ti kakaisuna a tao a makatulong ita kaniak.
>>ilo<< Tom makes lots of promises he doesn't keep.	Adu ti ikarkari ni Tom a dina met tungtungpalen.
>>ilo<< Tom saved all of the letters Mary sent him.	Inurnong ni Tom amin a surat nga impatulod ni Mary kenkuana.
>>ilo<< We caught him trying to go out of his room.	Natiliwanmi isuna nga agpanggep a rummuar iti siledna.
>>ilo<< Your plan requires a large amount of money.	Agkasapulan ti planom iti dakkel a gatad ti kuarta.
>>ilo<< At the foot of the hill is a beautiful lake.	Adda napintas a dan-aw iti sakaanan ti turod.
>>ilo<< Congress approved the resolution in October.	Inanamongan ti kongreso ti resolusion idi Oktubre.
>>ilo<< Do you think these letters are worth saving?	Panagkunam adda kadi serbina nga idulinko dagitoy a surat?
>>ilo<< Even the hard-hearted can be moved to tears.	Uray ti katatangkenan ti pusona ket aglua met.
>>ilo<< He crossed the Pacific Ocean in thirty days.	Binallasiwna ti Taaw Pacifico iti uneg ti tallopulo nga al-aldaw.
>>ilo<< I have abandoned the idea of buying a house.	Linipatkon ti panggepko a gumatang iti balay.
>>ilo<< I know why you're planning to quit your job.	Diak ammo a panggepmo ti agikkat iti trabahom.
>>ilo<< I really need to take care of some business.	Kasapulan unay nga asikasuek ti sumagmamano a negosio.
>>ilo<< I really need to talk to Tom sometime today.	Kasapulan unay a makasaritak ni Tom iti uray ania nga oras ita nga aldaw.
>>ilo<< I waited for my husband till after midnight.	Inur-urayko ti lakayko agingga iti limbes ti tengnga ti rabii.
>>ilo<< Tom is saving money for a trip to Australia.	Agur-urnong ni Tom iti kuarta para iti biahena idiay Australia.
>>ilo<< We need to stop Tom before he hurts himself.	Masapul a lapdantayo ni Tom sakbay a saktanna ti bagbagina.
>>ilo<< What time are you going to leave for London?	Ania nga oras a mapanka idiay London?
>>ilo<< Why would anybody live in a place like this?	Apay nga agnanaed ti maysa a tao iti maysa a lugar a kastoy?
>>ilo<< Did you know that Tom was a friend of Mary's?	Ammom kadi a ni Tom ket gayyem ni Mary?
>>ilo<< Don't you ever get tired of listening to Tom?	Dika kadi mabannog a mangim-imdeng ken ni Tom?
>>ilo<< He didn't start to paint until he was thirty.	Sa la nangrugi nga agpinta idi tallopulona.
>>ilo<< I thought I was never going to see Tom again.	Kunak no saankon a pulos a makita pay ni Tom.
>>ilo<< My mother bought two bottles of orange juice.	Gimmatang ni nanangko iti dua a botelia a tubbog ti kahel.
>>ilo<< The last time I saw him, he was very healthy.	Iti naudi a pannakakitak kenkuana, nakasalsalun-at pay la isuna.
>>ilo<< The old man walked across the road carefully.	Siaannad a bimmalasiw ti lakay iti kalsada.
>>ilo<< Tom didn't think the rain would last so long.	Saan nga ipagarup ni Tom nga agbayag iti kasta unay ti tudo.
>>ilo<< Tom is scheduled to come to Boston next week.	Nakaiskediul nga umay ni Tom iti Boston inton umay a lawas.
>>ilo<< Would the last one out please close the door?	Di la mabalin a ti maudi ket irikepna ti ridaw?
>>ilo<< Do you think Tom would be able to repair this?	Panagkunak kabaelan ni Tom a tarimaanen daytoy?
>>ilo<< He asked me when I was going to buy a new car.	Sinaludsodna kaniak no kaano a gumatangak iti baro a kotse.
>>ilo<< I parked on the street in front of your house.	Nagparkingak iti kalsada iti sanguanan ti balayyo.
>>ilo<< I prefer reading books to watching television.	Kaykayatko ti agbasa kadagiti libro ngem iti agbuya iti telebision.
>>ilo<< Imagination affects every aspect of our lives.	Apektaran ti imahinasion ti tunggal aspekto ti biagtayo.
>>ilo<< Let's talk about what to do with the stranger.	Pagsasaritaantayo no ania ti aramidentayo iti ganggannaet a tao.
>>ilo<< Most people only want to hear their own truth.	Kaaduanna a tao ket kayatda laeng a mangngegan ti bukodda a kinapudno.
>>ilo<< Only then did he realize he had been deceived.	Idi laeng a naamirisna a naallilaw isuna.
>>ilo<< Don't be shy about speaking in front of people.	Dika agbabain nga agsao iti sanguanan ti tattao.
>>ilo<< Don't you even want to know what Tom gave Mary?	Dimo la kadi, aya, kayat a maammuan no ania ti inted ni Tom ken ni Mary?
>>ilo<< He lives in a posh apartment near Central Park.	Agnanaed isuna iti nangina a pagtaengan iti asideg ti Central Park.
>>ilo<< I'm sorry, I didn't mean to hurt your feelings.	Dispensarem, diak inggagara a saktan ti riknam.
>>ilo<< The rain didn't stop them from doing their job.	Saan a napasardeng ti tudo ti panangiwayatda kadagiti obrada.
>>ilo<< Tom didn't trust Mary and she didn't trust him.	Saan nga agtalek ni Tom ken ni Mary ket saan met nga agtalek ni Mary ken ni Tom.
>>ilo<< You shouldn't judge a person by his appearance.	Saanmo a rebbeng a kedgnan ti maysa a tao babaen ti kalalangana.
>>ilo<< Are you the only one who has a key to this door?	Sika kadi laeng ti addaan iti tulbek iti daytoy a ridaw?
>>ilo<< Did Tom ever tell you where he hid the diamonds?	Imbaga kadi kenka ni Tom no nangilemmenganna kadagiti diamante?
>>ilo<< Do you feel pain in any other part of your body?	Makariknaka kadi iti sakit iti ania man a paset ti bagim?
>>ilo<< Don't you realize everything Tom said was a lie?	Dimo kadi maamiris nga am-amin nga imbaga ni Tom ket bin-ig a kinaulbod?
>>ilo<< He regretted having borrowed that book from her.	Agbabbabawi a nangbulod iti daydiay a libro manipud kenkuana.
>>ilo<< I have been to the airport to see my father off.	Napanak iti eropuerto ta kinitak ti tatangko nga agbiahe.
>>ilo<< I'm surprised you and Tom don't like each other.	Masdaawak a sika ken ni Tom ket saan nga agkasunguan.
>>ilo<< No country on earth is safe in this nuclear age.	Awan ti pagilian iti lubong a natalged iti daytoy a panawen a nuklear.
>>ilo<< We have little money available for the research.	Bassit ti adda a kuartatayo a para iti panagsukisok.
>>ilo<< He satisfied his hunger with a sandwich and milk.	Inep-epna ti bisinna babaen ti tinapay ken gatas.
>>ilo<< I would like to place an order for the following.	Kayatko ti agorder kadagiti sumaganad.
>>ilo<< None of us had any idea what was going to happen.	Awan kadatayo ti addaan iti idea no ania ti mapasamak.
>>ilo<< Tom didn't think that anyone would recognize him.	Saan nga ipagarup ni Tom a mabigbig isuna ti asino man.
>>ilo<< Tom didn't trust Mary as much as she trusted him.	Saan a pagtalkan ni Tom ni Mary a kas iti panagtalek daytoy kenkuana.
>>ilo<< Tom has finally paid back all his gambling debts.	Nabayadan met la aminen ni Tom dagiti utangna iti sugal.
>>ilo<< Tom is saving up money so he can go to Australia.	Agur-urnong ni Tom iti kuarta tapno makapan isuna idiay Australia.
>>ilo<< Unless it rains, the game will be held on Sunday.	Malaksid no agtudo, maangay ti paay-ayam inton Domingo.
>>ilo<< We must be careful that this never happens again.	Masapul nga annadantayo a saanen a pulos a mapasamak manen ti kastoy.
>>ilo<< We need some more information about that product.	Masapulmi ti ad-adu pay nga impormasion maipapan iti dayta a produkto.
>>ilo<< We sometimes judge others based on their actions.	No maminsan, kedngantayo ti dadduma maibatay kadagiti tignayda.
