>>hrv<< Who?	Tko?
>>hrv<< We listened carefully in order not to miss a single word.	Slušali smo pažljivo da ne propustimo ni jednu riječ.
>>hrv<< High tariffs have become a barrier to international trade.	Visoke cijene su postale zapreka međunarodnoj trgovini.
>>hrv<< I have so many clothes I don't know what to wear tomorrow.	Imam toliko odjeće da ne znam što obući sutra.
>>hrv<< The university was founded by his father twenty years ago.	Sveučilište je osnovao njegov otac prije dvadeset godina.
>>hrv<< I can't remember her phone number no matter how much I try.	Ne mogu zapamtiti njezin broj telefona, unatoč velikom trudu da zapamtim.
>>hrv<< Tom doesn't want you to share this information with anyone.	Tom ne želi da podijeliš ovu informaciju s bilo kime.
>>hrv<< A terrible battle took place at Kasserine in western Tunisia.	Strašna bitka se dogodila na Kasserineu u zapadnom Tunisu.
>>hrv<< Tom asked Mary to tell him where she had hidden the diamonds.	Tom je pitao Mary da mu kaže gdje je sakrila dijamante.
>>hrv<< Tom always thought that John and Mary were such a nice couple.	Tom je oduvijek mislio da su John i Mary krasan par.
>>hrv<< A quarterly growth of 1.2% means an annual growth rate of 4.8%.	Tromjesečni rast od 1.2% znači godišnji rast od 4.8%.
>>hrv<< Husbands and wives should help each other as long as they live.	Supruzi i supruge bi trebali pomagati jedno drugome dokle god žive.
>>hrv<< I want to go to Australia once more before my passport expires.	Želim otići u Austraiju još jednom prije nego što mi putovnica istekne.
>>hrv<< If she had been a little more patient, she could have succeeded.	Da je bila malo strpljivija, mogla je uspjeti.
>>hrv<< Light waves travel through space and various kinds of materials.	Svjetlosni valovi prolaze kroz prostor i različite materijale.
>>hrv<< You are working too hard. Sit down and take it easy for a while.	Radiš previše. Sjedni i odmori malo.
>>hrv<< Her composition is very good except for a few errors in spelling.	Njezin sastav je vrlo dobar, osim nekoliko grešaka u izgovoru.
>>hrv<< My office is on the fourth floor of that gray six-story building.	Moj ured je na četvrtom katu sive šesterokatnice.
>>hrv<< The fire had spread to the next building before the firemen came.	Vatra se proširila na susjednu zgradu prije nego što su vatrogasci pristigli.
>>hrv<< The quarterly growth of 1.2% means an annual growth rate of 4.8%.	Tromjesečni rast od 1.2% znači godišnji rast od 4.8%.
>>hrv<< When she was in Los Angeles, she had at least six different jobs.	Kada je bila u Los Angelesu, imala je najmanje 6 različitih poslova.
>>hrv<< If I tell my mother, she'll worry, so I don't think I'll tell her.	Kažem li svojoj majci, brinut će se, zato mislim da joj neću reći.
>>hrv<< The government is not doing its best to solve the housing problem.	Vlada ne daje sve od sebe da bi riješila stambeno pitanje.
>>hrv<< There were many things that we needed to do to prepare for our trip.	Bilo je nužno učiniti mnoge stvari oko priprema za putovanje.
>>hrv<< Tom can't even play one song on his ukulele without making mistakes.	Tom ne može niti jednu pjesmu odsvirati na svom ukulele bez pogrješke.
>>hrv<< What was the name of the hotel where you stayed in Boston last year?	Kako se zvao hotel u Bostonu u kojem si bio prošle godine?
>>hrv<< What was the name of the hotel where you stayed in Boston last year?	Kako se zvao hotel u Bostonu u kojem si bila prošle godine?
>>hrv<< I was going to run over the notes one last time, but there wasn't time.	Mislio sam proći po bilješkama još jedan put, ali nije bilo vremena.
>>hrv<< In China, there's a saying that you can't judge a person by appearance.	U Kini postoji izreka da ne možeš suditi čovjeka po izgledu.
>>hrv<< In Japan, relations between neighbors are apt to be cooler than in USA.	Susjedski odnosi u Japanu su obično hladniji nego u SAD-u.
>>hrv<< Would you please stop singing so loudly? This is not a cheap drinking place.	Možete li prestati pjevati tako glasno? To nije nekakva krčma.
>>hrv<< I'm sure this will cause additional problems for you, but it can't be helped.	Znam da će ti ovo uzrokovati dodatne probleme ali ništa se ne može napraviti.
>>hrv<< With this price, your product would not be competitive in the Japanese market.	S takvom cijenom vaš proizvod neće preživjeti konkurenciju na japanskom tržištu.
>>hrv<< The politician had sticky fingers, and 5% of every contract ended in his pocket.	Političar je imao ljepljive prste, jer je 5% od svakog ugovora završilo u njegovom džepu.
>>hrv<< The average American living space is twice as large as the living space in Japan.	Prosječni prostor življenja u Americi je dva puta veći nego u Japanu.
>>hrv<< Louis Braille, who was blind from the age of three, invented a way for the blind to read.	Louis Braille, slijep od treće godine, je izumio način kako slijepi mogu čitati.
