>>nds<< Run!	Loop!
>>nds<< The two mountains are of equal height.	De twee Bargen sünd lieker hoog.
>>nds<< The view from the summit is very nice.	De Utblick von ’n Topp is temlich schöön.
>>nds<< There are 340 species of hummingbirds.	Dat gifft 340 Soorten von Kolibris.
>>nds<< There are two zombies inside my house.	Dor sünd twee Zombies in mien Huus.
>>nds<< There were a lot of birds in the tree.	Dor weer en Barg Vagels in ’n Boom.
>>nds<< There's almost no water in the bucket.	Dor is meist keen Water in ’n Ammel.
>>nds<< They're in trouble. Can you help them?	Se hebbt Malesch. Kannst du jem helpen?
>>nds<< We tried it again, but couldn't do it.	Wi hebbt dat noch wedder versöcht, aver kunnen dat nich doon.
>>nds<< We've finished cleaning our classroom.	Wi sünd mit dat Reinmaken von uns Klassenruum trech worrn.
>>nds<< What do you call this bird in English?	Wo heet disse Vagel op Engelsch?
>>nds<< What's your favorite operating system?	Wat is dien leevst Bedrievssysteem?
>>nds<< Which is larger, the sun or the earth?	Wat is grötter, de Sünn oder de Eer?
>>nds<< You should have completed it long ago.	Du schusst dat al lang trech hebben.
>>nds<< All you have to do is press the button.	Allens, wat du doon musst, is, den Knoop to drücken.
>>nds<< General Motors laid off 76,000 workers.	General Motors hett 76.000 Lüüd aflohnt.
>>nds<< He speaks as though he knew everything.	He deed snacken, as wenn he allens wüss.
>>nds<< Her novel was translated into Japanese.	Ehr Romaan is op Japaansch översett worrn.
>>nds<< His daughter has become a pretty woman.	Sien Dochter is en smucke Froo worrn.
>>nds<< I got a cramp in my leg while swimming.	Ik heff bi ’t Swemmen en Ramm in ’t Been kregen.
>>nds<< I listened, but I didn't hear anything.	Ik heff tolüüstert, aver ik heff nix höört.
>>nds<< I often played tennis when I was young.	Ik heff faken Tennis speelt, as ik jung weer.
>>nds<< I received a letter three months later.	Ik heff dree Maand later en Breev kregen.
>>nds<< I'm reading a book on American history.	Ik lees en Book över amerikaansche Geschicht.
>>nds<< My pencil fell off the edge of my desk.	Mien Bleesticken is von mien Disch dalfullen.
>>nds<< One of Jesus' disciples was named Paul.	Een von Jesus sien Apostels hett Paulus heten.
>>nds<< One of the children left the door open.	Een von de Kinner hett de Döör apen stahn laten.
>>nds<< She didn't try to translate the letter.	Se hett nich versöcht, den Breev to översetten.
>>nds<< She didn't want him to stay any longer.	Se wull nich, dat he noch länger blifft.
>>nds<< She had an appointment with the doctor.	Se harr en Termin bi ’n Dokter.
>>nds<< She invited him in for a cup of coffee.	Se hett em op en Köppken Koffie inlaadt.
>>nds<< She stood as close to him as she could.	Se stünn so dicht bi em as dat güng.
>>nds<< She talked him into buying a new house.	Se hett em rümsnackt, en neet Huus to köpen.
>>nds<< The first month of the year is January.	De eerste Maand von ’t Johr is de Januar.
>>nds<< The picture looks better at a distance.	Dat Bild sütt von wieden beter ut.
>>nds<< The rebels took control of the capital.	De Rebellers hebbt de Kuntroll över de Höövdstad övernahmen.
>>nds<< The youngsters were singing folk songs.	De jungen Lüüd hebbt Volksleder sungen.
>>nds<< There is no bus service to the village.	Dor föhrt keen Bus na dat Dörp.
>>nds<< There was a castle here many years ago.	Vör veel Johren stünn hier en Slott.
>>nds<< This bike belongs to my little brother.	Dit Fohrrad höört mien lütten Broder to.
>>nds<< This high humidity makes me feel tired.	De hoge Luftfuchtigkeid maakt mi ganz dösig.
>>nds<< This is the book that I told you about.	Dat is dat Book, von dat ik di vertellt heff.
>>nds<< This lake is the deepest lake in Japan.	Disse See is de deepste See in Japan.
>>nds<< Washington's army has captured Trenton.	Washington sien Armee hett Trenton innahmen.
>>nds<< You're holding my hand in that picture.	Op dat Bild höllst du mien Hand.
>>nds<< A drunken man was sleeping on the bench.	En dunen Keerl slööp op de Bank.
>>nds<< A frog in a well doesn't know the ocean.	En Pogg in en Sood kennt ’n Ozeaan nich.
>>nds<< A lot of people starved during that war.	Veel Lüüd sünd in den Krieg verhungert.
>>nds<< Africa is a continent; Greenland is not.	Afrika is en Weltdeel, Gröönland nich.
>>nds<< Did you write down the telephone number?	Hest du de Telefoonnummer opschreven?
>>nds<< He only paid ten dollars for that shirt.	He hett man teihn Dollar för dat Hemd betahlt.
>>nds<< Her dress is blue with white polka dots.	Ehr Kleed is blau mit witte Plackens.
>>nds<< I know the reason that she quit her job.	Ik kenn den Grund, worüm as se ehr Steed opgeven hett.
>>nds<< I was annoyed that she was still asleep.	Ik heff mi argert, dat se jümmer noch slapen hett.
>>nds<< I'm ashamed to go out dressed like this.	Ik schaam ruttogahn, so antagen.
>>nds<< I'm not able to translate this sentence.	Ik kann dissen Satz nich översetten.
>>nds<< If you want a pencil, I'll lend you one.	Wenn du en Bleesticken bruukst, lehn ik di een.
>>nds<< Language and culture can't be separated.	Spraak un Kultur laat sik nich vonenanner lösen.
>>nds<< Mary is the prettiest girl in her class.	Maria is de smuckste Deern in ehr Klass.
>>nds<< My father has five brothers and sisters.	Mien Vadder hett fiev Bröder un Süstern.
>>nds<< My income is twice as large as yours is.	Ik verdeen dubbelt so veel as du.
>>nds<< My son can already count to one hundred.	Mien Söhn kann al bet hunnerd tellen.
>>nds<< Please put a lump of sugar in my coffee.	Deist du mi en Kluuntje in mien Koffie?
>>nds<< Red-haired people tend to have freckles.	Roodhoorte Lüüd hebbt faken Sünnsprütten.
>>nds<< Scary movies will frighten the children.	Grulige Films warrt de Kinner woll bangmaken.
>>nds<< Seeing the fresh lobster made me hungry.	As ik den frischen Hummer sehn heff, bün ik hungerig worrn.
>>nds<< She gave him all the money that she had.	Se hett em all dat Geld geven, wat se harr.
>>nds<< She looked after my children last night.	Se hett vergangen Nacht op mien Kinner oppasst.
>>nds<< She scolded him for not mowing the lawn.	Se schell em ut, dat he den Rasen nich meiht harr.
>>nds<< She seems to be in love with my brother.	Dat lett, as wenn se in mien Broder verleevt is.
>>nds<< That boy talks as if he were a grown up.	De Jung snackt as en grootwussen Minsch.
>>nds<< The building is one hundred meters high.	Dat Huus is hunnert Meter hoog.
>>nds<< The building is one hundred meters high.	Dat Gebüüd is hunnerd Meter hoog.
>>nds<< The bus arrived ten minutes behind time.	De Bus keem teihn Minuten to laat.
>>nds<< The children should go outside and play.	De Kinner schullen na buten gahn un spelen.
>>nds<< The girl kissed her father on the cheek.	De Deern küss ehr Vader op de Back.
>>nds<< The sale of cigarettes should be banned.	Dat Verköpen von Zigaretten schull verbaden wesen.
>>nds<< The soldier's boot was stuck in the mud.	De Stevel von ’n Soldaat bleev in ’n Modder sitten.
>>nds<< The town was exactly the same as before.	De Stad weer jüst as vörher.
>>nds<< The worst thing about spring is the mud.	Dat Slimmste an ’t Vörjohr is de Mudd.
>>nds<< There are a lot of earthquakes in Japan.	Dat gifft veel Eerdbeven in Japan.
>>nds<< There are many galaxies in the universe.	Dat gifft veel Galaxien in ’t Universum.
>>nds<< There are only three girls in the class.	Dat gifft man dree Deerns in ’e Klass.
>>nds<< We can't see the other side of the moon.	Wi köönt de Achtersied von ’n Maand nich sehn.
>>nds<< We're worried about Grandpa and Grandma.	Wi maakt uns Sorgen över Oma un Opa.
>>nds<< What Tom said gave a lot of people hope.	Wat Tom seggt hett, hett veel Lüüd Hööp geven.
>>nds<< A few months later, Israel invaded Egypt.	En poor Maand later is Israel in Ägypten inmarscheert.
>>nds<< A swarm of hornets attacked the children.	En Swarm Peerhöörnken hett de Kinner angrepen.
>>nds<< After a brief peace, war broke out again.	Na en korten Freden deed wedder Krieg utbreken.
>>nds<< After the storm, the sea was quiet again.	Na ’n Storm weer de See wedder rohig.
>>nds<< Are you saying that I don't have a brain?	Wullt du seggen, dat ik keen Bregen heff?
>>nds<< Buenos Aires is the capital of Argentina.	Buenos Aires is de Höövdstad von Argentinien.
>>nds<< Go get her medicine and a glass of water.	Haal man ehr Medizin un en Glas Water.
>>nds<< He doesn't know what he's supposed to do.	He weet nich, wat he doon schall.
>>nds<< He has grown three centimeters this year.	He is dit Johr dree Zentimeter wussen.
>>nds<< How many tractors did you sell last week?	Woveel Treckers hest du vergangen Week verköfft?
>>nds<< I asked my mother if breakfast was ready.	Ik heff mien Moder fraagt, wat dat Fröhstück trech is.
>>nds<< I didn't know where to go, or what to do.	Ik wüss nich, woneem ik hengahn oder wat ik doon schull.
>>nds<< I don't like this shirt. Show me another.	Mi gefallt dit Hemd nich. Wies mi en anner.
>>nds<< I haven't heard from him for a long time.	Ik heff al lang nix mehr von em höört.
>>nds<< I just hope nothing goes wrong this time.	Ik hööp man bloot, dat disse Tuur nix scheev geiht.
>>nds<< I saw the teacher walk across the street.	Ik heff den Schoolmeester över de Straat gahn sehn.
>>nds<< I spent the weekend reading a long novel.	Ik heff dat Wekenenn tobröcht, en lang Romaan to lesen.
>>nds<< I stayed at my uncle's during the summer.	Ik heff den Sommer bi mien Unkel verbröcht.
>>nds<< My life would be meaningless without you.	Mien Leven deed nix bedüden ahn di.
>>nds<< My neighbor's dog won't eat dry dog food.	De Hund von mien Naver will keen Dröögfoder freten.
>>nds<< One of the suitcases is completely empty.	Een von de Kuffers is ganz leddig.
>>nds<< She attacked him with a pair of scissors.	Se hett em mit en Scheer angrepen.
>>nds<< She is no less beautiful than her sister.	Se is nich minner smuck as ehr Süster.
>>nds<< She sat next to him with her eyes closed.	Se deed blangen em sitten un harr de Ogen slaten.
>>nds<< She talked him into going to the concert.	Se hett em rümsnackt, na dat Kunzert to gahn.
>>nds<< She was stupid enough to go out with him.	Se weer dumm noog, mit em uttogahn.
>>nds<< Strawberries are expensive in the winter.	Eerdbeern sünd in ’n Winter düür.
>>nds<< The farmer keeps his tractor in the barn.	De Buur hett sien Trecker in ’e Schüün stahn.
>>nds<< The pyramids were built in ancient times.	De Pyramiden sünd in ’e antike Tied boot worrn.
>>nds<< The size of the universe is unimaginable.	De Grött von dat Universum is unvörstellbor.
>>nds<< The worst thing about summer is the heat.	Dat Slimmste an ’n Sommer is de Hitt.
>>nds<< The worst thing about winter is the snow.	Dat Slimmste an ’n Winter is de Snee.
>>nds<< The young man that you saw is my brother.	De Jungkeerl, den du sehn hest, is mien Broder.
>>nds<< Those who know me know that I'm Catholic.	De, de mi kennt, weet, dat ik kathoolsch bün.
>>nds<< We're expecting a good harvest this year.	Wi verwacht en gode Oost dit Johr.
>>nds<< What happened to you? You look miserable.	Wat is di mallöört? Du süst gresig ut.
>>nds<< When you're hungry, anything tastes good.	Wenn du Hunger hest, smeckt allens good.
>>nds<< You have little to gain and much to lose.	Du hest wenig to winnen un veel to verleren.
>>nds<< You look tired. You should rest a little.	Du süst mööd ut. Du schusst di en beten utrohn.
>>nds<< A whale is no more a fish than a horse is.	En Waal is lieker veel en Fisch as en Peerd dat is.
>>nds<< All you need is to get a driver's license.	Allens wat du bruukst, is en Föhrerschien to maken.
>>nds<< Always have your dictionary close at hand.	Heff jümmer dien Wöörbook bi ’e Hand.
>>nds<< Can you make out what he is trying to say?	Kannst du verstahn, wat he seggen will?
>>nds<< He has two sisters who both live in Kyoto.	He hett twee Süstern, de all beid in Kyoto leevt.
>>nds<< He is always complaining of ill treatment.	He jabbelt jümmer, dat he slecht behannelt warrt.
>>nds<< He was forced to resign as prime minister.	He müss as Premierminister Bott geven.
>>nds<< I grind my own coffee beans every morning.	Ik mahl elk Morgen mien egen Kaffebohnen.
>>nds<< I'm looking for your sister. Where is she?	Ik söök na dien Süster. Woneem is de?
>>nds<< I'm standing outside the church right now.	Ik stah jüst buten de Kark.
>>nds<< It isn't easy to learn a foreign language.	Dat is nich licht, en frömme Spraak to lehren.
>>nds<< It isn't enough to know only one language.	Dat reckt nich, man een Spraak to könen.
>>nds<< It's not enough to know only one language.	Dat reckt nich, man een Spraak to könen.
>>nds<< Many countries have problems with poverty.	Veel Länner hebbt Probleems mit Armood.
>>nds<< Many weeds were growing among the flowers.	Mank de Blomen wüss veel Unkruud.
>>nds<< She couldn't convince him to ride a horse.	Se kunn em nich övertügen, op en Peerd to rieden.
>>nds<< She didn't even try to do the right thing.	Se hett nich maal versöcht, dat richtige to doon.
>>nds<< She repeatedly said that she was innocent.	Se hett jümmer wedder seggt, dat se unschüllig is.
>>nds<< Switch on the light. I can't see anything.	Maak dat Licht an. Ik kann nix sehn.
>>nds<< Thai is the official language of Thailand.	Thai is de Amtsspraak von Thailand.
>>nds<< That store sells newspapers and magazines.	Disse Laden verköfft Dagbläder un Tiedschriften.
>>nds<< That's the stupidest thing I've ever said.	Dat is dat Dümmste, wat ik mien Leevdag seggt heff.
>>nds<< The clock stopped. It needs a new battery.	De Klock is stahnbleven. De bruukt en ne’e Batterie.
>>nds<< The policeman took the knife from the boy.	De Schandarm nehm ’n Jung dat Mest af.
>>nds<< The tanker has only a small crew on board.	De Tanker hett man en lütte Kru.
>>nds<< Tom hasn't seen Mary for more than a year.	Tom hett Mary al mehr as een Johr nich mehr sehn.
>>nds<< We know of more than 100 billion galaxies.	We kennt mehr as 100 Milljarden Galaxien.
>>nds<< What will you live on while you are there?	Wo wullt du von leven, wenn du dor büst?
>>nds<< What's your favorite programming language?	Wat is dien leevste Programmeerspraak?
>>nds<< Will you lend me your bicycle for an hour?	Lehnst du mi dien Fohrrad för en Stünn?
>>nds<< All you have to do is push this red button.	Allens, wat du doon musst, is dissen roden Knoop drücken.
>>nds<< Are there still enough chairs for everyone?	Sünd dor noog Stöhl för all?
>>nds<< As for me, I like chicken better than pork.	Wat mi angeiht, ik mag lever Hohn as Swien.
>>nds<< Astronomy deals with the stars and planets.	Astronomie hannelt von Steerns un Planeten.
>>nds<< Dad, will you please let me borrow the car?	Papa, dröff ik mi dat Auto utlehnen?
>>nds<< Guns don't kill people. People kill people.	Wapen bringt keen Minschen üm. Minschen bringt Minschen üm.
>>nds<< He will arrive on the afternoon of the 5th.	He schall namiddags an ’n Föfften ankamen.
>>nds<< Her behavior isn't normal for a young girl.	Ehr Verhollen is nich normaal för en jung Deern.
>>nds<< How long have you been waiting for the bus?	Wo lang hest du op ’n Bus töövt?
>>nds<< I like to go to the movies with my friends.	Ik gah geern mit mien Frünnen na ’t Kino.
>>nds<< I read five different magazines each month.	Ik lees elk Maand fiev verscheden Tiedschriften.
>>nds<< I told you to open the hood, not the trunk.	Ik heff di seggt, du schasst de Motoorluuk apenmaken, nich den Kuffer.
>>nds<< I've made a list of things I'd like to buy.	Ik heff en List mit Saken opstellt, de ik geern köpen deed.
>>nds<< If you were in my place, what would you do?	Wat deedst du an mien Steed?
>>nds<< In the morning, he was still in a bad mood.	He weer morgens noch ganz gnuddelig.
>>nds<< It is not easy to learn a foreign language.	Dat is nich licht, en frömme Spraak to lehren.
>>nds<< Life is not an exact science, it is an art.	Dat Leven is keen exakte Wetenschop, dat is en Kunst.
>>nds<< Malaria is a disease that mosquitoes carry.	Malaria is en Krankheit, de von Moskitos överdragen warrt.
>>nds<< Many trees lose their leaves in the winter.	Veel Bööm smiet jemehr Loff in ’n Winter af.
>>nds<< More tractors meant fewer horses and mules.	Mehr Treckers hebbt minner Peer un Muuldeerten bedüüdt.
>>nds<< She couldn't convince him to give a speech.	Se kunn em nich övertügen, en Reed to hollen.
>>nds<< She didn't want him to pamper the children.	Se wull nich, dat he de Kinner verpimpelt.
>>nds<< She scolded him for not doing his homework.	Se schell em ut, dat he sien Huusopgaven nich daan harr.
>>nds<< She was always quarreling with her parents.	Se hett sik jümmer mit ehr Öllern streden.
>>nds<< Show me the doll that you bought yesterday.	Wies mi de Popp, de du güstern köfft hest.
>>nds<< That sort of flattery will get you nowhere.	Disse Flatteree bringt di gornix.
>>nds<< The policeman suspected the man was guilty.	De Schandarm deed em för schüllig hollen.
>>nds<< There are fifty stars on the American flag.	De amerikaansche Flagg hett föfftig Steerns.
>>nds<< There are nine million bicycles in Beijing.	Dat gifft negen Milljonen Fohrrääd in Peking.
>>nds<< This is the end of the world as we know it.	Dat is dat Enn von de Welt as wi ehr kennt.
>>nds<< We are the same age, but different heights.	Wi sünd lieker oold, man verscheden groot.
>>nds<< Would you mind waiting another ten minutes?	Maakt di dat wat, wenn du nochmaal teihn Minuten töven musst?
>>nds<< Would you prefer a window or an aisle seat?	Wullt du lever en Sitt an ’t Finster oder an ’n Gang hebben?
>>nds<< You should return home before it gets dark.	Du schusst man na Huus gahn, ehr dat düüster warrt.
>>nds<< A bright red ladybug landed on my fingertip.	En hell rode Goddskoh is op mien Fingerdopp lannt.
>>nds<< A new school building is under construction.	En nee Schoolhuus warrt jüst boot.
>>nds<< Children who are thirsty should drink water.	Döstige Kinner schullen Water drinken.
>>nds<< Her hair was long enough to reach the floor.	Ehr Hoor weer so lang, dat dat bet an ’e Eer recken deed.
>>nds<< I bought a dozen spoons and two dozen forks.	Ik heff en Dutz Löpels un twee Dutz Gaveln köfft.
>>nds<< I wish I had gone to the theater last night.	Ik wull, ik weer güstern avend in ’t Theater gahn.
>>nds<< If I knew his address, I would write to him.	Ik deed em schrieven, wenn ik sien Adress wüss.
>>nds<< In each beehive there can only be one queen.	In elk Immen kann dat man een Immenmoor geven.
>>nds<< It was a long time before she understood me.	Dat hett lang duurt, bet dat se mi verstahn hett.
>>nds<< My cat purrs when I scratch behind his ears.	Mien Katt snurrt, wenn ik ehr achter de Ohren krau.
>>nds<< Real friendship is more valuable than money.	Echte Fründschop is mehr weerd as Geld.
>>nds<< She is curious to find who sent the flowers.	Se is neeschierig, ’keen ehr de Blomen tostüürt hett.
>>nds<< She's not the kind of girl you think she is.	Se is nich de Soort Deern, de du denkst.
>>nds<< Ten years have gone by since my father died.	Teihn Johr sünd nu rüm, dat Vadder doodbleven is.
>>nds<< That isn't going to happen, and you know it.	Dor kummt nix na un dat weetst du ok.
>>nds<< The male peacock has colorful tail feathers.	Dat Heken von ’n Pageluun hett bunte Steertfeddern.
>>nds<< There are fifty states in the United States.	De Vereenigten Staten hebbt föfftig Bundsstaten.
>>nds<< They want to take part in the Olympic Games.	Se wüllt bi de Olympschen Spelen mitmaken.
>>nds<< This book is to me what the Bible is to you.	Dit Book is för mi dat, wat för di de Biebel is.
>>nds<< This is a problem for young people to solve.	Dit is en Probleem, dat junge Lüüd lösen mööt.
>>nds<< Which do you prefer, white wine or red wine?	Wat wullt du lever, Wittwien oder Roodwien?
>>nds<< Would you please look after my dog tomorrow?	Kannst du morgen op mien Hund oppassen?
>>nds<< A crowd soon gathered around the fire engine.	Gau sammel sik en Hümpel Lüüd üm ’t Füüwehrauto.
>>nds<< A stranger is standing in front of the house.	En Frömmen steiht vör dat Huus.
>>nds<< Alexander Graham Bell invented the telephone.	Alexander Graham Bell hett dat Telefoon utklamüsert.
>>nds<< He's got the biggest eyebrows I've ever seen.	He hett de gröttsten Ogenbraan, de ik je sehn heff.
>>nds<< His new book is going to come out next month.	Sien neet Book schall tokamen Maand rutkamen.
>>nds<< His plane has not arrived at the airport yet.	Sien Fleger is noch nich an ’n Flegerhaven ankamen.
>>nds<< I must have lost my purse in the supermarket.	Ik mutt mien Geldbüdel in ’n Supermarkt verloren hebben.
>>nds<< I want a car, but I have no money to buy one.	Ik will en Auto hebben, man ik heff keen Geld üm een to köpen.
>>nds<< I was able to swim faster when I was younger.	Ik kunn gauer swemmen as ik jünger weer.
>>nds<< I wonder why tennis is played in mini-skirts.	Ik fraag mi, worüm se Tennis in Miniröck speelt?
>>nds<< It is difficult for me to pronounce the word.	Dat fallt mi swoor, dat Woord uttospreken.
>>nds<< It looks like the dog wants something to eat.	Sütt ut, as wenn de Hund wat to freten hebben will.
>>nds<< She has known him since they were very young.	Se hett em von lütt op an kennt.
>>nds<< She heard him cry in the middle of the night.	Se hett em merrn in ’e Nacht wenen höört.
>>nds<< The actress looks younger than she really is.	De Schauspelerin sütt jünger ut as wat se is.
>>nds<< The boy and the girl seem to know each other.	De Jung un de Deern kennt sik woll.
>>nds<< The dog was covered in mud from head to foot.	De Hund weer von Kopp bet Foot mit Mudd vullkleit.
>>nds<< The gardener didn't let us walk on the grass.	De Goorner hett uns nich verlöövt, op dat Gras to lopen.
>>nds<< The horse chafed at the bit put in its mouth.	Dat Peerd deed dör dat Bitt in sien Muul unrohig warrn.
>>nds<< The ice on the lake couldn't bear his weight.	Dat Ies op ’n See kunn sien Wicht nich dregen.
>>nds<< There are not enough chairs for us to sit on.	Dor sünd nich noog Stöhl, dat wi all sitten köönt.
>>nds<< They regarded the man as a danger to society.	Se hebbt den Mann as Gefohr för de Sellschop ansehn.
>>nds<< A tuft of hair showed from underneath her cap.	En Pull Hoor keek ünner ehr Huuv rut.
>>nds<< A tuft of hair showed from underneath her cap.	En Pull Hoor keek ünner ehr Mütz rut.
>>nds<< Don't ever compare your wife to another woman.	Vergliek dien Froo nienich mit en annere Froo.
>>nds<< For a moment there, I thought he had gone mad.	För en Ogenblick heff ik dacht, dat he dull worrn weer.
>>nds<< He listened to the music with his eyes closed.	He deed mit toe Ogen Musik hören.
>>nds<< He loves to make a mountain out of a molehill.	He maakt geern en Barg ut en Mollhümpel.
>>nds<< He selected a pair of socks to match his suit.	He deed en Poor Söcken utsöken, de to sien Antog passen deden.
>>nds<< He was absent from school because he was sick.	He weer nich in ’e School, denn he weer krank.
>>nds<< I bought the book for myself, not for my wife.	Ik heff dit Book för mi sülvs köfft, nich för mien Froo.
>>nds<< I bought the novel on which the film is based.	Ik heff den Romaan köfft, von den de Film kummt.
>>nds<< I can talk about anything with my best friend.	Ik kann mit mien besten Fründ över allens snacken.
>>nds<< I don't want to have anything to do with that.	Ik will dor nix mit to doon hebben.
>>nds<< I would like to read some books about Lincoln.	Ik wull geern en poor Böker över Lincoln lesen.
>>nds<< J.F. Kennedy was buried in Arlington Cemetery.	J. F. Kennedy is op ’n Karkhoff Arlington begraven.
>>nds<< Learning a foreign language requires patience.	Dat Lehren von en Frömdspraak feddert Gedüür.
>>nds<< My brother loves taking pictures of mountains.	Mien Broder maakt geern Biller von Bargen.
>>nds<< She kissed me on the cheek and said goodnight.	Se deed mi op de Back küssen un seed mi gode Nacht.
>>nds<< She looks young, but in reality she's over 40.	Se sütt jung ut, man in Wohrheid is se över 40.
>>nds<< She talked him into buying her a diamond ring.	Se hett em rümsnackt, ehr en Demantring to köpen.
>>nds<< Some people like coffee and others prefer tea.	Welk Lüüd möögt Kaffe un anner Lüüd möögt lever Tee.
>>nds<< The Socialist Party only got 18% of the votes.	De Sozialistische Partei hett man 18% von de Stimmen kregen.
>>nds<< The first edition was published ten years ago.	De eerste Utgaav is vör teihn Johr rutkamen.
>>nds<< The lawyer believed in his client's innocence.	De Avkaat deed an de Unschuld von sien Mandant glöven.
>>nds<< The moment he caught sight of me, he ran away.	Glieks as he mi to sehn kreeg, lööp he weg.
>>nds<< The potato was so hot that it burned my mouth.	De Kartuffel weer so heet, dat se mi den Mund verbrennt hett.
>>nds<< The robot was so lifelike that it was uncanny.	De Roboter weer so levensecht, dat dat grugelig weer.
>>nds<< There aren't many students who can read Latin.	Dat gifft nich veel Schölers, de Latiensch lesen köönt.
>>nds<< They want to participate in the Olympic Games.	Se wüllt bi de Olympschen Spelen mitmaken.
>>nds<< This book is easy enough for children to read.	Dit Book is eenfach noog, dat ook Kinner dat lesen köönt.
>>nds<< This camel is so tame that anyone can ride it.	Dit Kameel is so tamm, dat elkeen dat rieden kann.
>>nds<< This flower is yellow and the others are blue.	Disse Bloom is geel un de annern sünd blau.
>>nds<< Today is Saturday and tomorrow will be Sunday.	Vondaag is Sünnavend un morgen is Sünndag.
>>nds<< You can hear the water dripping from the pipe.	Du kannst dat Water ut de Piep drüppen hören.
>>nds<< He married twice and had more than 20 children.	He hett twee Maal heiraadt un harr mehr as twintig Kinner.
>>nds<< How can you say that our soldiers died in vain?	Wo kannst du seggen, dat uns Soldaten för nix storven sünd?
>>nds<< How long did it take us to translate this book?	Wo lang hebbt wi bruukt, dit Book to översetten?
>>nds<< I can't remember where this little doodad goes.	Ik weet nich mehr, wo dit lütte Dingsbums rinhöört.
>>nds<< I have a friend who feeds his dog strawberries.	Ik heff en Fründ, de sien Hund Eerdbeern to freten gifft.
>>nds<< I went to church every Sunday when I was a boy.	As Jung bün ik jeden Sünndag na Kark gahn.
>>nds<< India gained independence from Britain in 1947.	Indien is 1947 von Grootbritannien unafhängig worrn.
>>nds<< It's hard for him to live on his small pension.	Dat is hart för em, mit sien lütte Rent dörtokamen.
>>nds<< Just one year has gone by since my friend died.	Is nu jüst een Johr verleden, dat mien Fründ doodbleven is.
>>nds<< Kelantan is one of the states in West Malaysia.	Kelantan is een von de Staten in West-Malaysia.
>>nds<< She couldn't convince him to buy her a new car.	Se kunn em nich övertügen, ehr en neet Auto to köpen.
>>nds<< She didn't want him to go out with other women.	Se wull nich, dat he mit annere Froonslüüd utgeiht.
>>nds<< She is trying to save as much money as she can.	Se versöcht so veel to sporen as man geiht.
>>nds<< The picture on the wall was painted by Picasso.	Dat Bild an ’e Wand is von Picasso maalt worrn.
>>nds<< The students hold their teacher in high regard.	De Schölers estemeert jemehr Schoolmeester temlich.
>>nds<< There's going to be a three-mile race tomorrow.	Dat schall morgen en Dree-Mielen-Rennen geven.
>>nds<< Thousands of foreigners visit Japan every year.	Dusende Frömme besöökt Japan elk Johr.
>>nds<< Tom puts salt on just about everything he eats.	Tom deit an meist allens, wat he itt, Solt.
>>nds<< What is the student population at your college?	Woveel Studenten hett diene Universität?
>>nds<< You alone can do it, but you can't do it alone.	Du alleen kannst dat doon, aver du kannst dat nich alleen doon.
>>nds<< You should set a good example to your children.	Du schusst dien Kinner en good Vörbild wesen.
>>nds<< A healthy man does not know the value of health.	En gesunnen Minsch weet de Gesundheid nich to estemeren.
>>nds<< A strange figure suddenly came through the door.	En gediegen Postüür keem opmaal rin ’e Döör.
>>nds<< God gave her a beautiful face and a sweet voice.	Godd hett ehr en smuck Gesicht un en söte Stimm geven.
>>nds<< He feels this new law will restrict his freedom.	Em weer, dat dat ne’e Gesett sien Freeheid minnern schull.
>>nds<< He went to America to study American literature.	He is Amerika gahn üm amerikaansche Literatur to studeren.
>>nds<< I closed the door so that they wouldn't hear us.	Ik möök de Döör dicht, dat se uns nich hören deden.
>>nds<< I haven't eaten anything in the past three days.	Ik heff in de vergangen dree Daag nix eten.
>>nds<< I often use SSH to access my computers remotely.	Ik bruuk faken SSH üm von annerwegens op mien Reekner roptokamen.
>>nds<< I saw a fishing boat about a mile off the shore.	Ik heff en Fischerboot üm un bi een Miel von de Küst af sehn.
>>nds<< I was searching for something that didn't exist.	Ik weer op de Söök na wat, wat dat nich geven deed.
>>nds<< It's been a long time since I last spoke French.	Dat is al lang her, dat ik toletzt Franzöösch snackt heff.
>>nds<< Many people are suffering from the lack of food.	Veel Lüüd hebbt ünner en Mangel an Eten to lieden.
>>nds<< My sister was on a diet for a week, but gave up.	Miene Süster hett för een Week Diät maakt, aver denn opgeven.
>>nds<< New York City policemen wear dark blue uniforms.	De Schandarms in New York draagt düüsterblaue Uniformen.
>>nds<< Rocket technology improved during World War Two.	De Raketentechnologie is düchtig vörankamen in ’n Tweten Weltkrieg.
>>nds<< She has two cats. One is white and one is black.	Se hett twee Katten, een is witt un een swart.
>>nds<< The cat chased the mouse, but couldn't catch it.	De Katt jöög de Muus, man kunn ehr nich fangen.
>>nds<< The village is located high up in the mountains.	Dat Dörp liggt hoog baven in ’e Bargen.
>>nds<< To make a tart, you need eggs, butter and sugar.	Üm en Tort to maken, bruukst du Eier, Botter un Sucker.
>>nds<< Two months have passed since he left for France.	Dat is twee Maand her, dat he na Frankriek gahn is.
>>nds<< Cover your mouth when you cough, sneeze, or yawn.	Holl de Hand vör ’n Mund, wenn du kröchst, pruuscht oder jappst.
>>nds<< He drank a cup of tea and then asked for another.	He drünk en Köppken Kaffe un hett denn üm noch een beden.
>>nds<< I had hardly gone to bed when the telephone rang.	Ik weer jüst in ’t Bedd gahn, as dat Telefoon klingel.
