>>dtp<< Help!	Uhupai!
>>dtp<< My sister will be getting married soon.	Sawaan i taka ku do tiinu.
>>dtp<< She has become more and more beautiful.	Lobi ongolumis isido.
>>dtp<< She was happy that she passed the exam.	Otood ginawo disido tu nakalantoi id panantaban.
>>dtp<< The hard disk was completely destroyed.	Naraag ngawi ilo kakamot haddis.
>>dtp<< Tom's dog likes to lick people's faces.	Orohian o tasu di Tom silaon id turos do wokon.
>>dtp<< We can get along very well without you.	Osonong yahai kopio miampai do aiso iya.
>>dtp<< What prevented you from coming earlier?	Nunu kobolingkangan nu rikoton hiti'd tosopung?
>>dtp<< Any watch will do as long as it's cheap.	Nunu nopo jaam piya nga milo' do solinaid nopo daa omura gatang dau.
>>dtp<< I like to decorate my room with flowers.	Orohian oku do polumison bilik ku maya do tusak bunga.
>>dtp<< I want two hot dogs with lots of pepper.	Manu oku daa duo hut dug miampai dot ogumu lado'.
>>dtp<< I'd rather discuss this at a later time.	Somoonu yahai kopibooboros dilo kawagu.
>>dtp<< Something is wrong with this calculator.	Haro kobolingkangan iti kakulator.
>>dtp<< Tom didn't know where to burn the trash.	Au i Tom koilo hombo potutudan do rinomos.
>>dtp<< Tom has a date with Mary this afternoon.	Haro timpu pinirubaan i Tom miampai di Mary dangadau diti.
>>dtp<< What time do you think Tom will be back?	Jaam kopiro muli di Tom do tiinu?
>>dtp<< Where were you born and how old are you?	Hombo kinosusuon nu om piro no toun nu?
>>dtp<< Cats have the ability to see in the dark.	Haro o tungau do milo mintong dot otuong.
>>dtp<< Don't you want to come to Boston with me?	Au ko moi hiti Boston miampai doho?
>>dtp<< He doesn't know what he's supposed to do.	Au iyau koilo do nunu dot apatut mangan dau.
>>dtp<< His advice encouraged me to try it again.	Boros dau lo minonuduk doho umbalan po kawagu.
>>dtp<< How can something so wrong feel so right?	Nokuro tu haro nopo kisala' nga otopot nogi?
>>dtp<< I can't do that unless I have Tom's help.	Au oku milo wonsoyon dilo nga mogot daa haro uhupan di Tom.
>>dtp<< I have expected his death for six months.	Kapatai matu iyau id onom tulan kangku daa.
>>dtp<< I played trumpet in our high school band.	Nokoumbal oku pinopouni do torumpit id tontok posikulan do tiim.
>>dtp<< I thought that you guys had already left.	Andasan ku nopo daa om nokoongoi kou di.
>>dtp<< I'm reading the Bible for the first time.	Mongomoi oku do baibol id koiso.
>>dtp<< It is dangerous to fly in this heavy fog.	Haro koligagaanan nung tumulud hilo'd lisohu dot akapal.
>>dtp<< She wouldn't allow me to read the letter.	Au isido doho papabasa diri surat.
>>dtp<< There's more ways than one to kill a cat.	Haro lobi po mantad ko songulun mamatai do tungau.
>>dtp<< There's more ways than one to kill a cat.	Haro lobi po mantad ko tiso mamatai do tungau.
>>dtp<< They dropped an atomic bomb on Hiroshima.	Pinorotu diolo do bodilan atom hodi Hiroshima.
>>dtp<< Tom and Mary adopted a child from Russia.	Minongkibit i Tom om i Mary do tanak mantad hilo'd pogun Russia.
>>dtp<< Tom chose the color to paint our offices.	Momili i Tom do wotik montok powotikon do tupis dati.
>>dtp<< Tom noticed that Mary had washed the car.	Nokoilo i Tom di Mary tu nokosusi nodi do kurita.
>>dtp<< Tom told me that he hadn't done that yet.	Pinoilo oku di Tom tu au po momongo dilo.
>>dtp<< Tom, what do you want to have for dinner?	Oi Tom, nunu siakan nu don totuong diti?
>>dtp<< Will you kindly let me have a look at it?	Mintong ko po dilo hodi do toruhai?
>>dtp<< You said you needed me to sign something.	Manu ko doho mananda longon ku dilo hodi kanu dii.
>>dtp<< He promised me that he would come at four.	Minamatos iyau korikot id jaam kaapat.
>>dtp<< I didn't drink the wine Tom poured for me.	Au oku moginum do wain do ponuangan di Tom.
>>dtp<< I've been waiting for almost half an hour.	Mangandad oku do solinaid satanga jam.
>>dtp<< It is against my principles to tell a lie.	Iti nopo nga kababakan do undang-undang ku nung poiloon ku do tudut.
>>dtp<< It's your decision whether you go or stay.	Iti no pokionuan nu tam siongoi toi ko mangandad.
>>dtp<< Let me know if there is anything I can do.	Poiloo oku nung haro o numaan.
>>dtp<< She stayed in that area for a short while.	Noiyon isido hilo'd kinoiyonon dot oruhai.
>>dtp<< That island's population lives on fishing.	Ogumu poingiyon hilo'd pogun tokoro maan pagapon.
>>dtp<< The company is on the verge of bankruptcy.	Osomok-somok nodi ilo sarikat do korikot id korutuman do kousinan.
>>dtp<< Tom seems to know exactly what he's doing.	Miagal do noilaan i Tom do numaan dau.
>>dtp<< Tom should already be in Australia by now.	Apatut no korikot i Tom hilo'd pogun Australia dinondo.
>>dtp<< Tom told me you used to live in Australia.	Nokosunud i Tom kumaa doho tu poingiyon ko hilo'd pogun Australia.
>>dtp<< Tom wanted Mary to say that she loved him.	Manu i Tom do boros di Mary kaka guminawo iyau disio.
>>dtp<< What would you do if you were in my place?	Nu mangan nu id walai ku tinu?
>>dtp<< Generally speaking, history repeats itself.	Ih kosoruan nga mimban-simban iri susuyan dau.
>>dtp<< I didn't arrive until the meeting was over.	Au oku rumikot po gisom dot aawi iri pirubaan.
>>dtp<< I didn't know that you were looking for me.	Au oku oilaan tu iya mongilot doho.
>>dtp<< I like to visit cemeteries. Is that normal?	Siongoi oku hilo'd pamalabangan. Obuli?
>>dtp<< I'm looking forward to getting your letter.	Andadon ku mongintong suatan nu.
>>dtp<< I'm sure Tom won't be willing to work late.	Oilaan oku daa di Tom amu no kadalaai do kumaraja.
>>dtp<< The beginning of the story was interesting.	Kolihis ginawo ilo potimpuunan do tangon.
>>dtp<< The nail that sticks up gets hammered down.	Nababak ilo sondulu do monokot dilo hodi.
>>dtp<< The teacher told the boy not to make noise.	Minogodu i mongingia kumaa tanak kusai tu agangau dau i.
>>dtp<< The thief ran away when he saw a policeman.	Nokoidu i manakau soira nokokito iyau do pulis.
>>dtp<< There were three women standing at the bar.	Tolu no tondu poingkakat hilo'd bar.
>>dtp<< There's still plenty that needs to be done.	Haro po momongoh dot kawagu.
>>dtp<< This grocery store only sells organic food.	Haro padagangan do taakanon kiruganik hilo'd kadai pomolian taakanon.
>>dtp<< This is the first time I've ridden a horse.	Kumoinsan ku do sumalakoi do kuda.
>>dtp<< Tom and Mary hurried up the steps together.	Pinoposiau i Tom om i Mary do wayaan laang.
>>dtp<< Tom hasn't finished writing the report yet.	Au po minomongo i Tom do ripot.
>>dtp<< Tom will be a university student this year.	Silihon i Tom do susumikul id uniborsiti toun diti.
>>dtp<< Tom's body was found along a deserted road.	Haro tinan di Tom hilo'd wayaan do tindal.
>>dtp<< Water the flowers before you eat breakfast.	Tuntugai ilo tusak tintod do mangakan dongkosuabon.
>>dtp<< Why don't you go out and get some firewood?	Obuli ko daa mooi pokisuduon?
>>dtp<< You have plenty of time to catch the train.	Haro no kosiwatan nu do momogusa dilo tinjin.
>>dtp<< At last, her dream to be a doctor came true.	Au alaid diti, korikot nodi kalansanan dau sabaagi do dukutur.
>>dtp<< I wonder whether Tom is free this afternoon.	Tam osimbayan i Tom dangadau diti toi ko amu.
>>dtp<< Nobody can live to be two hundred years old.	Aiso tulun milo poimpasi gisom do duo nahatus toun.
>>dtp<< The cake was all eaten up before I got home.	Naakanan no dilo kiik ngawi tintod do muli dualai.
>>dtp<< The cow gave birth to a calf with two heads.	I sapi nopo nokosusu do songinan tampanak miampai duo tulu.
>>dtp<< The garden was surrounded by a wooden fence.	Haro tansar do kayu id posorili do tumo.
>>dtp<< The house was struck by lightning yesterday.	Notinggorudan do walai kosodop.
>>dtp<< The spider web glistened in the morning dew.	Nayapasan do walai korut o bolobou dongkosuabon.
>>dtp<< This box is very heavy, so I can't carry it.	Awagat tomod iti kaban, au oku milo kumakat diti.
>>dtp<< Tom really wanted a cup of hot black coffee.	Manu kopio i Tom do sanggalas kupi talasu.
>>dtp<< What'll happen to you if you don't obey Tom?	Nunu o kaantakan nung au ko rumamit di Tom?
>>dtp<< Chicken pox is a common sickness in children.	Lubpu nopo ti nga kosoruan do toruol kumaa di tanganak.
>>dtp<< Finally, I found the answer to your question.	Nokokito oku no sisimbar montok ponguhatan nu.
>>dtp<< He asked me to wait there until he came back.	Suminunud iyau doho moi pagandad hilo gisom do gulion dau.
>>dtp<< He left the room without even saying goodbye.	Sumoliwan iyau mantad do bilik miampai aiso boros "hino ko no".
>>dtp<< I don't like this shirt. Show me another one.	Mada oku dilo hodi basaan, pokitonon oku do kawagu.
>>dtp<< I don't like this shirt. Show me another one.	Mada oku dilo hodi rasuk, pokitonon oku do kaagu.
>>dtp<< I don't work as many hours a day as Tom does.	Au oku kumaraja do togumu timpu miagal do karaja di Tom.
>>dtp<< I hope to get away from Tokyo for a few days.	Alansan oku daa mugad mantad id Tokyo do piipiro tadau.
>>dtp<< I want to talk to as many people as possible.	Monongkiboros oku daa do piipiro tulun diri.
>>dtp<< I wasn't as angry as everybody thought I was.	Tootopot ti nga au oku otogod tu ondos diolo koinsanai nopo daa yoku nga otogod.
>>dtp<< I'd like you to help me gather some firewood.	Mumang oku diya mooi pokisuduon.
>>dtp<< I'm not sure whether Tom will do that or not.	Tou no i Tom mangan toi ko amu kangku daa.
>>dtp<< Rabbits are related to beavers and squirrels.	Miagal o Labit maya kawo o bongol om bosing.
>>dtp<< The first half of the story is set in Boston.	Tangon nopo kumoinsan do satanga nga hiri'd Boston.
>>dtp<< The real issue is how to prevent the disease.	Kobolingkangan nopo ti nga poingkuro ma angkang mantad diri toruol.
>>dtp<< There's a fireplace, but there's no firewood.	Haro o ropuan hilo nga ingaa o suduon.
>>dtp<< Tom and Mary never kiss each other in public.	Au i Tom om Mary kopitungub id labus walai.
>>dtp<< Tom goes to the supermarket almost every day.	Mongoi i Tom hilo'd kadai pomolian tagayo monikid tadau.
>>dtp<< Tom has been in the hospital for three weeks.	Nokorikot no tolu minggu i Tom id supital.
>>dtp<< Tom has been in the hospital for three weeks.	Nokorikot no tolu minggu i Tom id lamin pongusapan.
>>dtp<< Vaccinations help prevent childhood diseases.	Milo o vasinasi do monguhup tangaanak do angkang toruol.
>>dtp<< After he had done his homework, he watched TV.	Kopongo do karaja sikul dau, mintong iyau do TV.
>>dtp<< He accidentally hit his thumb with the hammer.	Naantakan disio do gondoling sondiri o dunsul.
>>dtp<< I have to go to the airport to meet my cousin.	Mongoi oku ruba kama di pinsan ku hilo'd tutumpoon kapal tutumulud.
>>dtp<< I thought it would be better to remain silent.	Andasan ku daa om mogot nogi pakadaada no.
>>dtp<< One's teachers should be treated with respect.	Apatut no manahak do pantang kumaa di mongingia.
>>dtp<< Parents punish their children for misbehavior.	Natagadan di tanganak do komolohingan tu oruya iyolo.
>>dtp<< She came back ten minutes after the explosion.	Nokouli isido do hopod minit katalib do timpu kokoboongon.
>>dtp<< She's sitting in the kitchen and drinking tea.	Mirikau isido hilo'd dompuran om monginum do tii.
>>dtp<< The army was advancing in the wrong direction.	Nakasalu' i susumangod do wayaan.
>>dtp<< They had not fought for more than forty years.	Aiso nodi saapan diolo lolobi do apat nohopod toun.
>>dtp<< Tom put the lid back on the peanut butter jar.	Monompon i Tom dilo bakas tumau sapi kasang.
>>dtp<< Tom sat at the end of the bar, nursing a beer.	Minirikau i Tom hodi pompod do kadai poginuman, om kakatan dau do bior.
>>dtp<< Tom tried to make sense of what just happened.	Umbalan i Tom poiloon do nunu kinaantakan.
>>dtp<< Do you know any good places to eat around here?	Nokoilo ko do hombo pangakanan dot osonong hiti posorili tiiyonon?
>>dtp<< I believe that everyone will like this picture.	Otumbayaan oku dot orohian i koinsanan dilo gambar.
>>dtp<< I still haven't told Tom why I want to do that.	Au oku po poiloon kumaa di Tom do nunu sabap maan ku dilo.
>>dtp<< I thought this pair of shoes would last longer.	Andasan ku nopo ilo kolumpa nga katahan di.
>>dtp<< I will be watching TV about this time tomorrow.	Mintong oku do TV id maamaso do suab.
>>dtp<< Illness prevented him from attending the party.	Toruol disio mangantob iyau mongoi hiri'd karamaian.
>>dtp<< People wear masks to prevent getting a disease.	Monompon o tongoulun do tuping montok do angkang do rolihan toruol.
>>dtp<< Tom always tries to do what he thinks is right.	Umbalan i Tom kasasari do nunu nopo topot id pomusarahan dau.
>>dtp<< Tom didn't know he no longer needed to do that.	Au i Tom oilaan tu au tagal maan no dilo.
>>dtp<< Why did you suddenly leave yesterday afternoon?	Nokuro tu minooi ko konihab dangadau di?
>>dtp<< Do you have any tickets for today's performance?	Aiso tikit nu montok abaabayan dinondo di?
>>dtp<< Please do your chores before you go out to play.	Maai po karaja nu id walai tintod do moi pamain id labus.
>>dtp<< She is in the habit of jogging before breakfast.	Oubas isido moi panangkus tintod do taakanon dongkosuabon.
>>dtp<< Six hundred thousand men were killed or wounded.	Tam minatai toi ko korualan di onom nahatus ribu o tulun.
>>dtp<< The boy was accused of cheating during the exam.	Minonondos i tanak kusai tu mongudut id timpu do panantaban id sikul.
>>dtp<< The doctor advised my father to give up smoking.	Mamason i dukutur kumaa di tama ku do tingkodon momungkus.
>>dtp<< Tom has probably already been to the bank today.	Nokoongoi matu i Tom hilo'd walai poopian tusin dinondo.
>>dtp<< Tom says doesn't have the time to eat right now.	Aiso timpu mangakan baino ka di Tom.
>>dtp<< Tom should have known better than to trust Mary.	Apatut no noilaan i Tom mantad ko mumboyo di Mary.
>>dtp<< Your parents are just worried about your safety.	Tumongob i komolohingan nu do kosonong-sonong nu.
>>dtp<< Did Tom say he didn't think we needed to do that?	Okon ko boros ka di Tom dot au yau ondos nopo manu dahai maan dilo?
>>dtp<< Don't ask me why but, he ran away when he saw me.	Kada oku uhoto nga minogidu iyau sondiri soira koruba doho.
>>dtp<< I caught a big fish yesterday with my bare hands.	Minanabpo oku do sada maya longon ku kosodop.
>>dtp<< I have a friend whose father is a famous pianist.	I tapa di tambalut ku nopo nga songulun pamain piano do nointutunan.
>>dtp<< I'd like to know more about what happened to Tom.	Monongkoilo oku kokomoi do kinaantakan di Tom.
>>dtp<< Tom could hear birds chirping outside his window.	Korongou i Tom do tuni tombolog id soliwan do liligaon dau.
>>dtp<< A piano is expensive, but a car is more expensive.	Apagon gatang ilo piano nga lobi apagon gatang nogi iri korita.
>>dtp<< Eating healthfully can help prevent heart disease.	Mangakan do taakanon tolidas milo papaharo do angkang tundu-undu’ toruol.
>>dtp<< I don't think I've heard that word in a long time.	Alaid matu au nokorongou diri boros dot sorohon ku.
>>dtp<< I hope he'll be able to come! I'd like to see him.	Alansan no daa korikot isio di! Siruba oku disio.
>>dtp<< Tom wanted to go, but he had lots of things to do.	Manu i Tom mongoi, nga haro karaja dau amu nootus nopongo.
>>dtp<< Why have the apes evolved more than other animals?	Nokuro tu ogumu tongo kara mantad ko dupot wokon?
>>dtp<< You know how to change it, you just don't want to.	Noilaan ko' do poposimban diri, nga mada ko' dii.
>>dtp<< Do you plan to spend your summer vacation with Tom?	Tumanud ko mongoi tombului id tontok koundarangan miampai di Tom?
>>dtp<< Do you want to spend the rest of your life in jail?	Manu ko do sogimpasi hiri suang jiil?
>>dtp<< I've been able to drive for more than twenty years.	Nokoilo' oku papapanau do korita lolobi po mantad duo nohopod toun.
>>dtp<< It was in 1939 that the Second World War broke out.	Tontok do toun 1939 nodi nokoimbulai o pisangadan do pomogunan koduo.
>>dtp<< Never in my life have I seen such a peaceful sight.	Au oku insan momuriman iri kokitanan dot kalansahan.
>>dtp<< Please be careful with this knife. It's very sharp.	Intang-intangan no iti pais. Alawis tomod iti bo.
>>dtp<< Her health has been declining these past few months.	Amu osonong kolidasan tinan disido id piipiro tulan.
>>dtp<< I'm going to find you wherever you are and kill you.	Ihumon ku ndo diya id hinonggo-nonggo nopo om patayon tiya.
>>dtp<< Tom lay on his bed and cried softly into his pillow.	Lumii i Tom id toodopon dau om mihad-ihad id timpak do bantal dau.
>>dtp<< You can't just leave us here with no food and water.	Au kou milo tongkiadai dahai hiti miampai do ingaa o taakanon om waig.
>>dtp<< I recently broke up with my boyfriend of three years.	Tuminongkiad oku id solinaid piginawaan ku maya tanakwagu ku do tolu' toun di tinu.
>>dtp<< I think this has something to do with Tom's problems.	Iri no matu do kobolingkangan di Tom kangku daa.
>>dtp<< I've got the most ideas, and I've got the best ideas.	Haro toilaan ku kogumuan om dot ongosonong nogiddi.
>>dtp<< Addition and subtraction are functions of mathematics.	Fungsi nopo poruhangan om pokurian nga pongintaban.
>>dtp<< Can you remember the first time you heard the Beatles?	Kosorou ko' po soira kumoinsan ko' mokinongou sinding Beatles?
>>dtp<< He was in the habit of taking a walk before breakfast.	Asaru iyau manau-panau tintod do mangakan dongkosuabon.
>>dtp<< I wonder if she'll recognize me after all these years.	Kosorou isido po nangku doho id piipiro toun nakatalib diti?
>>dtp<< If it rains the day after tomorrow, I'll stay at home.	Nung arasaman suabino, undorongon ku hiti'd walai.
>>dtp<< Whether we will go on the trip depends on the weather.	Kuroyon no pakayaan om tombuluyon dahai nga tumanud moti tadau dau.
>>dtp<< Tom said he didn't understand what Mary said in French.	Au i Tom karati do nunu boros di Mary kad boros Poransis.
>>dtp<< You don't need to apologize. You've done nothing wrong.	Au tagal no pokiampun. Aiso sala minaan nu.
>>dtp<< Do you know how far it is from the station to city hall?	Koilo ko' nangku songkuro sinodu ralan mantad hiti'd sitisin gisom hilo'd bandar?
>>dtp<< I would rather throw the money away than give it to him.	Asaga oku do pataaman do tusin mantad ko manahak dau.
>>dtp<< In order to stay awake, I may have to drink more coffee.	Ih tomodon ku nopo au koodop nga ogumu do inumon kupi.
>>dtp<< Tom tried to sneak out of the office without being seen.	Umbalan i Tom moi idu mantad id tupis om au pinologos dau pokitonon do wokon.
>>dtp<< It's been a while since I've eaten anything with mustard.	Alaid nodi au oku minangakan do nunu miampai do rinapa mastad.
>>dtp<< Some students were sitting on the bench and having lunch.	Haro no susumikul do poingirikau hilo om mogiakan-akan.
>>dtp<< The students didn't remember what they read in that book.	Au kosorou i tongo susumikul do nunu binasa diolo do buuk.
>>dtp<< Tom has a good grasp of grammar, but is weak in spelling.	Abaal i Tom do puralanboros nga araat kopio ijaan dau.
>>dtp<< Tom told me that he couldn't remember the teacher's name.	Momuara i Tom kumaa doho do au iyau kosorou do ngaran di monunuduk.
>>dtp<< Unfortunately, I didn't get the chance to see the castle.	Iri podi kaala tu aiso kosiwatan ku mintong diri istana.
>>dtp<< You will save yourself a lot of time if you take the car.	Osiyau ko' do timpu sondiri nung sumakai do korita sakayon.
>>dtp<< On the table, there was a plate with three fried eggs on it.	Haro no iso pinggan maya do tolu tontolu ginuring id timpak do mija.
>>dtp<< I ate half the apple before I noticed there was a worm in it.	Nakaakan oku dilo ipol tintod do nokokito hodi giuk.
>>dtp<< Rosa Parks refused to give up her seat for a white passenger.	Au i Rosa Parks mumang do popoirikau id tirikohonon dau kumaa do tulun topurak.
>>dtp<< The room was so dark that we had to feel our way to the door.	Otuong tomod hodi suang bilik om ihum-ihumon dahai do wayaan id totobon.
>>dtp<< Tom expected at least a ten percent return on his investment.	Andasan di Tom nopo inbismin dau nga hopod pihatus do pogulion.
>>dtp<< Burj Khalifa is currently the tallest skyscraper in the world.	Burj Khalifa nopo nga walai kagagampot tawan dot akawas hiti'd sompomogunan.
>>dtp<< Didn't anybody tell you that you didn't have to be here today?	Ingaa toi tulun poiloon tiya au tagal moi rikot hiti baino?
>>dtp<< I don't feel like working. How about going to a movie instead?	Au oku songkuro koopud do karaja. Manu daa moi intong do wayang?
>>dtp<< You were in the second year of middle school last year, right?	Ika doid toun koduo do kalas hilo'd sikul pitangaan do toun nakatalib kon?
>>dtp<< If you believe what politicians say, it's really your own fault.	Nung mumboyo ko' nopo boros ka di mimpupulitik, kasalu' kopio diya.
>>dtp<< Tom wouldn't mind eating meat and potatoes every day of the week.	Au i Tom monguro mangakan do daging om kantang monikid tadau.
>>dtp<< The engineers blew up the bridge because it was about to collapse.	Mamaraag i tongo injiniur dilo sunsuyon tu karaag dot oruhai.
>>dtp<< Tom asked Mary if she would ever consider going out with John again.	Minuhot i Tom di Mary nung moi isido ruba di John do kawagu.
>>dtp<< Some people claim that there are no more heroes in the Western world.	Ondos nopo dombokon nga aiso nodi gunsiou do kogumuan hiri'd kotonobon pogun.
>>dtp<< Tom looked distant and distracted while Mary told him her life story.	Au osonong topirumanan di Tom soira i Mary manangon kokomoi kopoposion disido.
>>dtp<< We need apples, oranges, bread and peanut butter from the supermarket.	Mumang yahai do ipol, urin, ruti om kasang montiga mantad do supamakit.
>>dtp<< If I remember correctly, Tom sold his car to Mary for only 500 dollars.	Nung kosorou oku diri tootopot nga pinapadagang i Tom do korita dau kumaa di Mary do gatang 500 Dollar nopo.
>>dtp<< It would be better if you didn't climb such a high mountain in the winter.	Mogot nogi do au ko mooi takad hiri nulu takawas do musim tososogit.
>>dtp<< The research done by them shows that Americans are not interested in Japan.	Tumanud ponoriukan diolo, amu i tulun Amorika orohian kokomoi di Gipun.
>>dtp<< Washing your hands regularly is a good way to prevent catching some diseases.	Momoug do longon nopo nga kararalano do angkang tosonong mantad do rolihon do toruol.
>>dtp<< A study reports that 53,000 Americans die each year as a result of secondhand smoke.	Tumanud kopoilaan do ripot, soginumu 53,000 tulun Amorika napatai do tikid toun tu sabap nopo momungkus mantad sandad do momungkus.
>>dtp<< The government will provide interest-free loans to firms that participate in the program.	Pohoroon o kopolintaan do oloson dot au gatangon montok popokito do kohompit id abaabayan.
>>dtp<< Bornean orangutans, a critically endangered species, give birth approximately every eight years.	Koligaganan nopo ginumuan kogiu mantad pulou Borneo dot osusuan id lolobi po walu toun.
